users,topic,text,times,quote
 Гость ,Travel,А чем он компенсирует оплату аренды квартиры ?," 01 января, 18:46 ",Чем вы ему компенсируете его оплату общей коммуналки и еды? Своим богатым внутренним миром?
 Автор ,Travel,"Подскажите, кто бывал на юго-востоке Турции, что посоветуете к просмотру?? Планируется маршрут Хатай- Газиантеп-Шанлыурфа-Мардин. Большое спасибо за советы, всех с наступающим☺️"," 31 декабря 2022, 18:09 ",
 Василий ,Travel,Обязательно просмотрите Хатай- Газиантеп-Шанлыурфа-Мардин.," 01 января, 19:17 ",
 Валя ,Travel,"Мы решили на Бора-Бора, 2 числа вылетаем. Подружки кто в Европу, кто на Мальдивы. А вы куда планируете поехать на отдых? #путешествияв2022"," 31 декабря 2022, 10:54 ",
 ВВ ,Travel,А вы где? В Азии?," 31 декабря 2022, 11:10 ",
 Валя ,Travel,"Нет, я пока что в Москве. Завтра улетаю отдыхать"," 31 декабря 2022, 11:12 ",А вы где? В Азии?
 Валя ,Travel,*точнее 2 числа," 31 декабря 2022, 11:13 ","Нет, я пока что в Москве. Завтра улетаю отдыхать"
 ВВ ,Travel,"Ну Москва это Европа, как подруги могли из Европы улететь в Европу? Или у вас с географией не лады?"," 31 декабря 2022, 11:14 ","Нет, я пока что в Москве. Завтра улетаю отдыхать"
 Лорик ,Travel,"Разводка. Ты автор лучше бы шла ветки еловые седня продавать, что бы на койко-место в Анапе в следующем году скопить 😂"," 31 декабря 2022, 11:16 ",
 Анна ,Travel,"Несколько раз ездила за границу, ничего не запомнилось кроме того что безумно устала от самолета и сидения в аэропорту. Никакой радости и впечатлений не было (( Это нормально? Мои подруги постоянно куда то ездили выкладывали фотки - ну блин, вообще ничего интересного))) Или со мной что-то не так? #путешествия"," 30 декабря 2022, 19:21 ",
 Гость ,Travel,С тобой точно не так.," 30 декабря 2022, 20:07 ",
 Гость ,Travel,"Терпеть не могу путешествия, для меня 3 часа в самолете уже пытка."," 30 декабря 2022, 20:07 ",
 Гость ,Travel,"Обожаю путешествовать, но тоже устаю и для меня это стресс, потому что все незнакомое, непривычное, говорят не на моем языке, боишься опоздать на самолет итд"," 30 декабря 2022, 20:08 ",
 Гость ,Travel,"Если в экономе лететь, то да, очень неудобные места. Если в бизнес классе, то удобные и кормят вкусно"," 30 декабря 2022, 20:09 ","Терпеть не могу путешествия, для меня 3 часа в самолете уже пытка."
 Гость ,Travel,"Обожаю летать на самолете. Это классно. В аэропорту есть немного напряг от ожидания.Лежать на берегу моря или плавать - кайф летом. Еще мне нравится обстановка - отель, еда, культурные люди вокруг."," 30 декабря 2022, 20:10 ",
 . ,Travel,"Летом хочу в Питер поехать, посмотреть город. Расскажите где недорого остановится в отеле? Что вообще по погоде там летом? Вообще главное что надо знать) буду благодарна) #путешествияв2022 #путешествияпороссии"," 28 декабря 2022, 23:46 ",
 Гость ,Travel,Ты доживи до января.А там видно будет.," 29 декабря 2022, 00:02 ",
 Автор ,Travel,Главное не ехать туда.," 29 декабря 2022, 00:06 ",
 Гость ,Travel,"В Питере никто не знает какая погода завтра будет, не то что летом."," 29 декабря 2022, 00:13 ",
 . ,Travel,В смысле?," 29 декабря 2022, 00:20 ",Главное не ехать туда.
 Гость ,Travel,Деловая капец. Тебе сочинение должны люди написать на твой абстрактный вброс? Читай в инете," 29 декабря 2022, 00:26 ",
 Tatty ,Travel,"С какого возраста вы начали путешествовать с детьми? Например, на море . Тяжело ли будет с годовалым ребенком поехать отдыхать? #ребенок"," 28 декабря 2022, 16:38 ",
 Пополамщик-нищеброд ,Travel,Тяжело," 28 декабря 2022, 16:47 ",
 Гость ,Travel,"С годовалым вы не отдохнете, ведь вы будете за ним присматривать."," 28 декабря 2022, 16:48 ",
 Гость ,Travel,"Чем раньше начнете приучать ребенка к отдыху на море, тем быстрее он адатпируется к новым условиям и научится вести себя так, чтобы вам отдых был не в тягость."," 28 декабря 2022, 16:51 ",
 Гость ,Travel,"Да, с 3-х лет, когда уже начинает есть нормальную еду."," 28 декабря 2022, 17:03 ",
 Гость ,Travel,"С 5, если нет необходимости куда-то ехать раньше. Ребёнку до этого возраста все ваши поездки до лампочки, ему проще и спокойней на даче/в деревне без смены климата и в знакомой обстановке. До этого Вы своими поездками только замучаете себя, ребёнка и окружающих."," 28 декабря 2022, 17:09 ",
 Автор ,Travel,Парни поехали на великах в другую страну.," 28 декабря 2022, 15:41 ",
 Гость ,Travel,декабрь же на улице. замерзнешь нафих.," 28 декабря 2022, 15:52 ",
 Гость ,Travel,Да всем покую.Ск-ко раз нужно спроситьЧтобы в сотый раз - один и тот же ответ получить?," 28 декабря 2022, 15:52 ",
 Гость ,Travel,Сейчас ты никуда не уедешь - границы охраняются везде особо тщательно," 28 декабря 2022, 16:17 ",
 Цапка ,Travel,"Автор, пошел в жёппу. Десятый раз уже эта тема"," 28 декабря 2022, 16:25 ",
 Гость ,Travel,Когд а," 28 декабря 2022, 16:39 ",
 Не помню пароль ,Travel,"вас сейчас огорчает тот факт,что больше вообще никогда туда не сможем выехать,ну по крайней мере ещё точно очень долго"," 28 декабря 2022, 14:46 ",
 Гость ,Travel,продвинутые люди каждый день могут по европе (и не только) онлайн путешествовать," 28 декабря 2022, 14:53 ",
 Вау🐈 ,Travel,"Визы пока дают, только лететь неудобно стало."," 28 декабря 2022, 14:54 ",
 Гость ,Travel,"Так они и придцмали для нищеты, чтоб мы онлайн только путешествовали"," 28 декабря 2022, 15:08 ",продвинутые люди каждый день могут по европе (и не только) онлайн путешествовать
 Не помню пароль ,Travel,"Вот именно,что пока,да и много отказов говорят"," 28 декабря 2022, 15:10 ","Визы пока дают, только лететь неудобно стало."
 Не помню пароль ,Travel,"Ну не все же такие,многие люди тоже мечтали поехать посмотреть европейские города,кто ж знал…,"," 28 декабря 2022, 15:12 ",я всю европу обьехала поэтому уже туда не хочу
 ANNA ,Travel,"Короче, я собрала сумки в отпуск наконец-то. Я незнаю что из этого получится, надеюсь все будет хорошо. У меня обидчивый характер, а мой мужчина любитель подколоть, с нелегким характером. В отпуск едем с 1 или 2 до 10.Я незнаю куда даже, он молчит. Говорит узнаешь в дороге😂Сумасшествие короче. Надеюсь мы отпразднует нормально Новый год 31,а потом проведём отпуск. Мне так хочется чтоб все боло хорошо... 🙏я так устала от его характера и проблем... знаете девочки, просто хочется нормального женского счастья для себя и всем вам желаю того же. Это так важно. Поддержите меня пожалуйста. Я даже подругам боюсь говорить, просто хочу дожить спокойно до 31 вечера, пока мой мужчина приедет. #отпуск #новыйгод #путешествия"," 28 декабря 2022, 02:28 ",
 Гость ,Travel,"С праздником вас и с отпуском! И учитесь пропускать ерунду мимо ушей, не надо обижаться на каждое слово."," 28 декабря 2022, 09:48 ",
 Гость ,Travel,куррорт," 28 декабря 2022, 10:51 ",
 Гость ,Travel,"в лесополосу увезёт и ... , потом весной найдут вместе с подснежниками"," 28 декабря 2022, 11:05 ",
 Василий ,Travel,"Да, измучилась. сердечная, в ожиданиях. Надеюсь, назад он её не привезёт."," 28 декабря 2022, 19:49 ",
 ANNA ,Travel,"Спасибо, самый лучший совет, честно, вот это мне и нужно научиться. С праздниками вас так же😘"," 29 декабря 2022, 01:34 ","С праздником вас и с отпуском! И учитесь пропускать ерунду мимо ушей, не надо обижаться на каждое слово."
 Автор ,Travel,"Привет всем! Мы из поселка рядом с Новосибирском, у нас такая холодрыга уже, а ещё месяца 3 так будет. Хотим встретить НГ в тепле, недельки хватит. Смотрим в Крыму будет +10 на НГ, можно много гулять. Но пока не решили куда именно отправиться. Ялта..или Севастополь или может вы что нибудь посоветуете? Отель хочется со спа центром."," 24 декабря 2022, 12:55 ",
 Министр вумановских дел ,Travel,"Смотри как бы отель с химарсом не получить. Я бы вообще воздержался от поездок в Крым и подобные близлежащие города вроде Сочи, Краснодара, Ростова."," 24 декабря 2022, 13:10 ",
 г0сть что в г0рле к0сть ,Travel,"О, а я живу в Краснодаре!"," 24 декабря 2022, 13:19 ",
 Гость ,Travel,Мы вам сочувствуем.," 24 декабря 2022, 13:31 ","О, а я живу в Краснодаре!"
 Гость ,Travel,"Не боитесь, что вас там дронами поджарят, и нг вы встретите в окопе? Их, кстати, уже вырыли."," 24 декабря 2022, 13:32 ",
 Гость ,Travel,"Краснодар, ах.... воспоминания бабушка и дедушка... уже там не живут, бабушка переехала в Подмосковье 10 лет назад"," 24 декабря 2022, 13:45 ",
 Вика ,Travel,"И кто собирает вещи, когда назад из отеля? #путешествия"," 23 декабря 2022, 22:07 ",
 Гость ,Travel,Каждый свой чемодан собирает," 23 декабря 2022, 22:25 ",
 Гость ,Travel,"Я собираю. Муж вообще хочет ездить с одним маленьким рюкзаком, я всегда настаиваю на 10 кг тележке, сама ее складываю."," 23 декабря 2022, 22:29 ",
 Автоответчик ,Travel,"Туда и обратно жена. Мне много не надо, в основное её барахло. Даже когда я еду в командировку один в РФ, навяливает мне багаж (пустой чемодан), что бы я его наполнил на обратном пути."," 23 декабря 2022, 22:51 ",
 Гость ,Travel,"В путешествие каждый сам собирает свои вещи. Кладём их в одно место - муж пакует чемодан (нам одного хватает).В отеле я его разбираю, всё развешивпю-раскладываю.Собираемся домой - то же самое, только проще: складываем всё своё на кровать, муж пакует чемодан.А дома я его разбираю."," 23 декабря 2022, 22:55 ",
 -desire° ,Travel,Каждый собирает свой чемодан.," 23 декабря 2022, 23:40 ",
 Автор ,Travel,На великах в другую страну с парнями," 23 декабря 2022, 10:21 ",
 Гость ,Travel,о я тоже так умею:на роликах с обедом на работуна парашюте на море с чемоданомна троллейбусе с пальмой до метро и тд и тп," 23 декабря 2022, 11:05 ",
 Василий ,Travel,"На Новый год? поезжайте, потом расскажете. Тут одна хвалилась циститом и пиелонефритом, может и вам повезёт...."," 23 декабря 2022, 19:46 ",
 Гость ,Travel,Вы достали если честно умник на умнике," 23 декабря 2022, 19:58 ","На Новый год? поезжайте, потом расскажете. Тут одна хвалилась циститом и пиелонефритом, может и вам повезёт...."
 Ирина ,Travel,"Без всякой поддержки, при этом, не имея нормальной профессии?"," 22 декабря 2022, 17:08 ",
 Гость ,Travel,"А зачем так мучится, когда можно просто выйти замуж?"," 22 декабря 2022, 17:28 ",
 Гость ,Travel,"Я переехала одна в Израиль, еще в начале девяностых. Это трудно, очень. И только через годы становится виден результат усилий."," 22 декабря 2022, 17:31 ",
 Гость ,Travel,А что вы имеете в виду под «по силам»?," 22 декабря 2022, 17:33 ",
 Мрр ;) ,Travel,какая вам поддержка нужна? финансовая? моральная? что будете делать в другой стране без профессии? где жить? как легализуетесь?," 22 декабря 2022, 17:35 ",
 Гость ,Travel,"с таким умищем то, ты вряд ли сможешь формуляры заполнитьхотя в Емиратах, 1500$ - и дают рабочую визу, если английский знаешь - на рецепшен в отель, уборщицей, горничной, проституткой, массажисткой, продавщицей, стюардессой.конечно нужно сбережения иметь на первое время, на жилье включая залог"," 22 декабря 2022, 17:48 ",
 Автор ,Travel,"Сейчас живу в Германии, недавно переехала. Получаю гуманитарное образование, поэтому не факт, что найду здесь работу + не хочу учить немецкий, но с английским может прокатить. Думаю о перепоступлении в Москву, но я никогда там не жила. Само впечатление о городе: не люблю мегаполисы, не представляю, как люди там живут, но где жить ещё в России не знаю. В Германии комфортно в плане города, но в плане технологий и это прошлый век! Москва ушла далеко вперёд, она более развитая и ухоженная.Что бы выбрали вы?"," 22 декабря 2022, 15:09 ",
 Гость ,Travel,"сегодня какое-то нашествие лахтинскиходна по березкам в Турции скачает, вторая в Германииало, уважаемые, отдуплитесь. НИКТО и НИКОГДА в РФ из стран тёплого верхнего либерально-демократического строя не возвращалсяможете здесь перемогу не разгонять"," 22 декабря 2022, 15:17 ",
 Гость ,Travel,"ахахаа тем временем дефицит бюджета в РФ, падение ВВП - в РФ, минус 100-200 тыс работоспособных молодых самцов - тоже в РФну прям реальная многоходовочка, эбать"," 22 декабря 2022, 15:18 ",Выбирай Родину. Европа уже пописала себе смертный приговор.
 Гость ,Travel,"я тоже жила в ганновере. Не знаю как у вас где вы не пишите эмигранты жить не дают. Вечером в нашем городе на улицу выходить нельзя. Грабят, поджигают магазины и машины. Я уехала в Адлер купила небольшой домик за 4 мил. и пока довольна и нет чувства что хочется что то исправить"," 22 декабря 2022, 15:20 ",
 Гость ,Travel,"И всё то ты знаешь, ципсошник мелкий. Не надорвись от усилий"," 22 декабря 2022, 15:21 ","ахахаа тем временем дефицит бюджета в РФ, падение ВВП - в РФ, минус 100-200 тыс работоспособных молодых самцов - тоже в РФну прям реальная многоходовочка, эбать"
 Гость ,Travel,"В Москве хорошо с деньгами жить. С нуля тут подниматься крайне тяжело, тем более с гуманитраным образованием. А так, при наличии денег, конечно Москву бы выбрала."," 22 декабря 2022, 15:22 ",
 Автор ,Travel,#путешествияв2022," 22 декабря 2022, 11:54 ",
 Гость ,Travel,Из интересногоВьетнам открыли кстати Южная Корея как вариант …Какой бюджет?," 22 декабря 2022, 12:25 ",
 Гость ,Travel,На ж оппе с горки ! Весело и бюджетно," 22 декабря 2022, 12:58 ",
 Гость ,Travel,"Нижний Новгород, Воронеж, Минск"," 23 декабря 2022, 16:50 ",
 Автор ,Travel,"У нас с мужем дилемма: где провести отпуск в январе. Муж предлагает Питер (были там неоднократно), я - Владивосток (ни разу не были). А еще есть вариант съездить к друзьям в Минск (там были и я, и муж). Вы бы что посоветовали? Вариант ""проваляться отпуск на диване"" тоже принимаются #путешествияв2022 #отдыхвроссии #путешествиевпитер #туризмвовладивостоке"," 21 декабря 2022, 08:22 ",
 Вау⬜❤️⬜ ,Travel,"Я бы Минск выбрала. Я сама из СПб, во Владивосток не хочу вообще. Минск приятный. Ещё лучше Львов, но туда сейчас никак и смысла нет)"," 21 декабря 2022, 08:57 ",
 Полиция Вумана ,Travel,"Езжайте куда угодно, но не в Питер. Задолбали. Просто уже не проехать не пройти. За месяц все отели забронировали и квартиры. Заполонили город мой любимый. То беженцы, то москвичи."," 21 декабря 2022, 09:04 ",
 джентщина-вулкан ,Travel,"Э э ээ, дамочка, ну какое к друзьям? Вы любите халяву? В магадан езжайте."," 21 декабря 2022, 09:13 ",
 Гость ,Travel,"Во Львове я была, совершенно не понравился. Не знаю, за что его все так любят"," 21 декабря 2022, 09:31 ","Я бы Минск выбрала. Я сама из СПб, во Владивосток не хочу вообще. Минск приятный. Ещё лучше Львов, но туда сейчас никак и смысла нет)"
 Гость ,Travel,"Питер не люблю. Ничего личного, просто погода"," 21 декабря 2022, 09:32 ","Езжайте куда угодно, но не в Питер. Задолбали. Просто уже не проехать не пройти. За месяц все отели забронировали и квартиры. Заполонили город мой любимый. То беженцы, то москвичи."
 Ккккккк ,Travel,"Кто была или живёт в Новосибирске, куда обязательно надо сходить? Прям никак без этого? #путешествияв2022 #чтопосетитьвновосибирске #Новосибирск"," 20 декабря 2022, 09:27 ",
 Гость ,Travel,В зоопарк и оперный театр," 20 декабря 2022, 09:56 ",
 Оксана ,Travel,на вокзал а от туда подальше от ебучего новосибирска," 20 декабря 2022, 14:12 ",
 Автор ,Travel,"Лучше лететь а/к Эмирейтс за 900$ (6 часов) со всеми удобствами или на лоу-костере pegasus за 350$ (с остановкой, в об. сложности 8 часов 45 мин.) ? #путешествия"," 19 декабря 2022, 21:59 ",
 Гость ,Travel,Если есть возможность лети за 900$," 19 декабря 2022, 22:08 ",
 Гость ,Travel,"Возможность есть, не последние деньги. Но как 350$ увидела, аж жаба задушила, разница всё-таки неплохая."," 19 декабря 2022, 22:11 ",Если есть возможность лети за 900$
 Автор ,Travel,"Лоукостеры это ад. Хоть не смартавиа летишь, уже хорошо."," 19 декабря 2022, 22:12 ",
 Гость ,Travel,"Мне аэрофлот-норд, нордавии и победы в своё время хватило. Never again"," 19 декабря 2022, 22:17 ","Лоукостеры это ад. Хоть не смартавиа летишь, уже хорошо."
 Гость ,Travel,"Лететь прямым рейсом. Я относительно недавно летела лоу костером просто потому что прямой рейс в удобное время. Было вполне нормально, там был бизнес-класс) самолёт это общественный транспорт, чем меньше времени в нем проводишь тем лучше."," 19 декабря 2022, 22:25 ",
 ANNA ,Travel,"Нормально ли это, если мы живём в Америке, встречаемся с мужчиной, а он предложил поехать в отпуск, но разделить расходы? Мотивировал типа сейчас у него туго с деньгами, ну это правда я думаю, и если бы у него была возможность, он бы даже не спросил, а сам все оплатил, но пока не может. Я обиделась сначала.... а теперь незнаю, права ли я? Или нужно войти в его положение? #путешествияв2022 #отношения #финансы"," 19 декабря 2022, 03:04 ",
 Гость ,Travel,"Если только, как друзья и жить будете в разных номерах. Ну, как если бы вы поехали отдохнуть и встретили там знакомого."," 19 декабря 2022, 08:11 ",
 Золотая Рыбка ,Travel,"Мне бы такое не понравилось. Раз не может заплатить за меня, что и приглашать ехать вдвоём? Я бы не поехала с ним, а поехала бы с подругой."," 19 декабря 2022, 08:14 ",
" Ой, да, да, отвали только ",Travel,"Смотря какие отношения. Меня сейчас заклюют, но у нас в паре за отдых отвечаю я)))))) откладываю и выбираю направленияНа парне многое другое - оплата квартиры, обслуживание машины, бытовуха частично Забейте на предрассудки, если хотите отдохнуть, оплатите половину, жаба задушила - сидите на *** ровно или одна съездейте"," 19 декабря 2022, 11:35 ",
 ANNA ,Travel,Дело не в жабе😁просто хотелось услышать что он все сделает. Я бы и так спросила и конечно дала половину. Я знаю что у него расходы сейчас. Чисто по женски хотелось услышать что он старается ради меня," 19 декабря 2022, 14:35 ","Смотря какие отношения. Меня сейчас заклюют, но у нас в паре за отдых отвечаю я)))))) откладываю и выбираю направленияНа парне многое другое - оплата квартиры, обслуживание машины, бытовуха частично Забейте на предрассудки, если хотите отдохнуть, оплатите половину, жаба задушила - сидите на *** ровно или одна съездейте"
 Mary ,Travel,"Дело в том, что я практически ни в каких городах не была. В январе отпуск, хочется проехаться по красивым местам. Сразу уточню, моря и заграницы не интересуют. Хотим именно посмотреть наиболее красивые города России. В Санкт- Петербург планируем поехать летом. Интересно, кто где живет или бывал. Что посоветуете посмотреть? #путешествия #путешествияв2022"," 18 декабря 2022, 20:25 ",
 Dark Night Rider ,Travel,"Лучше остаться дома. В России отдыхать смешно - только деньги зря переводить. Все российские города одинаковые. Казань сможете отличить от Хабаровска? То-то же. Если вы москвичи, то всё ещё хуже - каждый первый абориген до вас будет докапываться с претензиями. Испортите себе праздник только."," 18 декабря 2022, 20:54 ",
 Гость ,Travel,Кавказ," 18 декабря 2022, 21:20 ",
 Гость ,Travel,"Ярославль,Суздаль. По Золотому кольцу."," 18 декабря 2022, 21:30 ",
 Гость ,Travel,"Москва, калининград, Иркутск байкал, Очень понравилось в Волгограде. Отлично сьездила в Крым севастополь."," 18 декабря 2022, 21:37 ",
 Mary ,Travel,"Ну каждому свое. Мне хочется поездить по своей стране. Живу в Красноярске, но родом с Хабаровска. Так что Хабаровск от Казани отличить смогу. А сидение дома не считаю праздником, у нас в семье другие интересы"," 18 декабря 2022, 22:01 ","Лучше остаться дома. В России отдыхать смешно - только деньги зря переводить. Все российские города одинаковые. Казань сможете отличить от Хабаровска? То-то же. Если вы москвичи, то всё ещё хуже - каждый первый абориген до вас будет докапываться с претензиями. Испортите себе праздник только."
 9 Мая ,Travel,Это 2 южных города на разных концах мира. Но я себя поймала на том что у меня есть ощущение неуловимой схожести этих городов. Во тоже так показалось? Что это может быть? Как по вашему?," 17 декабря 2022, 18:34 ",
 Гость ,Travel,"Многие жители зарубежья мечтают получить российскую грин-карту и поселиться в Сочи, в их числе и жители некоторых городов Калифорнии."," 17 декабря 2022, 19:05 ",
 Гость ,Travel,"Есть. Буквы С, О, И."," 17 декабря 2022, 19:22 ",
 Мышильда ,Travel,"""Что это может быть? Как по вашему?""Шизофрения."," 17 декабря 2022, 19:28 ",
 Глория ,Travel,В Сочи красивее," 17 декабря 2022, 19:41 ",
 Гость ,Travel,"А вы были в Сан Франциско, чтобы делать такие выводы? В Сочи есть тюрьма, которую видно с любой точки города? А в СФ есть - это Алькатрас, стоящий на острове посередине залива."," 17 декабря 2022, 19:51 ",
 Автор ,Travel,"Свадьба будет на каникулах, после едем в свадебное путешествие. Изначально думали, что пропущу первую неделю учебы, не критично. Но сейчас узнаю, что вылет позже, и это примерно 2 неделя семестра. Как быть? Врать, что болею? Врать не люблю. Но сказать правду тоже себе дороже. Не ехать - точно не вариант, все оплачено уже"," 17 декабря 2022, 16:24 ",
 Гость ,Travel,"Мне вот эта девушка гадала, обратилась по совету подруги! Берет или 500 рублей, или вообще сколько дам! Много положительных отзывов.ватс ап+7 977 629 49 97vk. com/taro love 30Вот её страничка вк ( Марина Клинова гадалка)"," 17 декабря 2022, 17:20 ",
 meow meow ,Travel,"Так езжайте, что вы там пропустите то за неделю. По-началу и так одни лекции бесполезные. Если что спишете их у одногруппников"," 17 декабря 2022, 17:25 ",
 Автор ,Travel,"Добрый вечер. Кто в теме и шарит. Операторы, проводники и т.д. Хочу съездить в Беларусь. Ориентировочно, март-апрель 2023г. Но на сайте и в приложении пишет что билетов нет. Мест нет. Все раскупили, или в продажу пока не поступили билеты? Капец какой то.Всем заранее спасибо за ответы.С Наступающим Новым годом.🎄 #путешествия"," 15 декабря 2022, 20:39 ",
 Гость ,Travel,В продажу еще не поступили. Мои наблюдения.," 15 декабря 2022, 20:52 ",
 Лорик ,Travel,За 90 суток продажи открываются.," 15 декабря 2022, 20:57 ",
 А.Н.Оним ,Travel,за 60 дней поступают билеты на сайте," 15 декабря 2022, 21:12 ",
 Лорик ,Travel,На сайте РЖД МСК-Минск доступны за 90 суток. Сегодня можно купить на 14 марта.," 15 декабря 2022, 21:20 ",
 Гостья ,Travel,"слишком рано. Продажу билетов на март-апрель. Откроют не раньше января 2023, к концу месяца."," 15 декабря 2022, 21:23 ",
 Автор ,Travel,"В общем ситуация такая. Живу в Рф в провинции, общаюсь активно с иностранцами. В общем общалась с парнем из Южной Кореи, он предложил приехать в Москву. Я согласилась, тоже выпросила отпуск, решила поехать в Мосвку с ним встретится. Но последнее время очень терзают сомнения, парень непонятный, не сказать что сильно нравится. Но в целом готова была присмотреться.И вот на днях было две ситуации, первую я даже тему создала, его друг увидел меня на сайте где мы познакомились, и начались обвинения в мой адрес, потом вроде я доказала ему чтоини с кем больше не общаюсь, отправила скриншоты из мессендеров. Вроде закрыли тему. Потом выяснилось что парень любит выпить, ну в принципе для Кореи это норма. Не думаю что он прям бухарь какой то. Работает в целом. После той ситуации у нас резко упало доверие. И вообще есть какое то чувство внутри что не понравится он мне. Несколько раз вытаскивала по три карты таро, всегда плохие выпадают на него. Неудача. Или Башня.Короче есть мысль не тратить на него отпуск а полететь в Тайланд олной или в Оаэ. Как бы вы поступили? С другой стороны интересно посмотреть на него. Думала развести его на поездку в Корею)) но вот сомнения сейчас. #путешествияв2022 #отношения"," 14 декабря 2022, 08:12 ",
 Roshen ,Travel,"И как же вы общаетесь ?))) У нас в провинции люди свободно говорят на английском, да ещё и в ОАЭ и тай запросто летают в нынешнее время?)))))) Смешно, смешно"," 14 декабря 2022, 08:34 ",
 Гость ,Travel,"Да представляете себе, люди в провинции еще не такое умеют)"," 14 декабря 2022, 08:36 ","И как же вы общаетесь ?))) У нас в провинции люди свободно говорят на английском, да ещё и в ОАЭ и тай запросто летают в нынешнее время?)))))) Смешно, смешно"
 Roshen ,Travel,"Ага, ну конечно"," 14 декабря 2022, 08:40 ","Да представляете себе, люди в провинции еще не такое умеют)"
 Гость ,Travel,Есть че по теме," 14 декабря 2022, 08:40 ","Ага, ну конечно"
 Гость ,Travel,А зачем вам этот пьющий работяга из Кореи?," 14 декабря 2022, 08:44 ",
 Автор ,Travel,"Летела дней десять назад авиакомпанией. Видела нашего капитана еще до рейса-уже тогда он показался странным. Как с будуна. Рожа красная. Ну думаю может у чела давление или еще что. Во время полета видела его как он выходил и он реально выглядел ненормально: лицо пунцовое, весь какой то он распаренный что ли, глаза бессмысленные. Ну вот реально бухой. Вот я думаю что в такой ситуации сделать? Написать жалобу им в авиакомпанию, проверяют ли они своих пилотов после рейсов? Как считаете? #пилот"," 13 декабря 2022, 21:20 ",
 Гость ,Travel,"он предполетную медкомиссию прошел, так что тебе никто не поверит"," 13 декабря 2022, 21:28 ",
 Гость ,Travel,"Пора взлетать, пока не развезло.."," 13 декабря 2022, 21:29 ",
 Гость ,Travel,Диагноз по фотографии ставите?," 13 декабря 2022, 21:30 ",
 Li ,Travel,Перед рейсом медосмотр," 13 декабря 2022, 21:35 ",
 Гость ,Travel,Можно снять на видео и предоставить к жалобе," 13 декабря 2022, 21:36 ",
 Автор ,Travel,"Вам понравилось в Таиланде? Никогда там не была, но очень хочется в какую то экзотическую страну, решила что начать надо с Тая. Но пугает одно, что там пауки, змеи, тараканы. Особенно тараканы. Я их боюсь до инфаркта. Читала много отзывов, и часто пишут что в номерах ползают эти жуткие монстры, часто в ванной их можно встретить. Причём даже в дорогих гостинницах. Расскажите как у вас было и как выбрать гостиницу без насекомых? Где гарантия что их не будет? Пишут, что они ночью по головам ползают, это же кошмар. И люди едут туда все равно. В общем, страшно мне. Посоветуйте что нибудь #путешествияв2022"," 13 декабря 2022, 11:28 ",
 Гость ,Travel,"Дык это не наши бытовые "" стасики"", а просто жуки,которые обитают в этой природной зоне. В Египте,например,в нашем номере свободно разгуливало ,а том числе и по стенам,потолку семейство ящериц.Гораздо хуже, когда в номере клопы,как было у нас в Париже😫, я так боялась их домой притащить в чемодане, хрен их потом выведешь"," 13 декабря 2022, 13:50 ",
 Автор ,Travel,"Понимаю что жуки, но мне хватило этой радости на Канарах, снимали виллу, тараканы бегали ночью по кровати"," 13 декабря 2022, 13:53 ","Дык это не наши бытовые "" стасики"", а просто жуки,которые обитают в этой природной зоне. В Египте,например,в нашем номере свободно разгуливало ,а том числе и по стенам,потолку семейство ящериц.Гораздо хуже, когда в номере клопы,как было у нас в Париже😫, я так боялась их домой притащить в чемодане, хрен их потом выведешь"
 Молочная кислота ,Travel,Едем в гости в Алмату. Что можно привезти в подарок из России? То чего нет у них или что они любят #сувениры #путешествияв2022 #путешествияпороссии," 12 декабря 2022, 22:55 ",
 Гость ,Travel,Дык у них и спроси.," 12 декабря 2022, 22:59 ",
 Таня ,Travel,"Матрёшки, балалайка, ушанка, икра."," 12 декабря 2022, 23:02 ",
 Молочная кислота ,Travel,"Это люди обеспеченные и тут нужно, что то необычное и креативное"," 12 декабря 2022, 23:12 ",Дык у них и спроси.
 Аделина ,Travel,Везде всё есть.," 12 декабря 2022, 23:20 ",
 Гость ,Travel,"зачем им нахрен ваше ""креативное""? вам лучше знать, что они любят и чему могут обрадоваться."," 12 декабря 2022, 23:46 ","Это люди обеспеченные и тут нужно, что то необычное и креативное"
 Автор ,Travel,"Было время, путешествовал и я. Это конечно был массовый туризм массовые места. Но даже и там, общаясь с людьми, я понимал уровень их доходов. Для них это грубо говоря - были копейки, примерно скажем так для рядового 100-тысячника в РФ суммы в 1-2-3 тысячи рублей.на их фоне, конечно же я чувствовал себя неуютно, осознав что истратил на данный ""отдых"" 1-2 месячные з/п.Что скажИте, и что у ВАС? #путешествияв2022"," 11 декабря 2022, 17:47 ",
