,en,ru
1417,have you ever had a pet : EMPTY > yes,у вас когда-нибудь было домашнее животное : ПУСТО > да
1418,what's your name : EMPTY > jack,как тебя зовут : ПУСТО > Джек
1419,would you be interested to talk about world rabies day : EMPTY > no,было бы вам интересно поговорить о Всемирном дне борьбы с бешенством : ПУСТО > нет
1420,what would you like to talk about : EMPTY > let's talk about the star wars movies,"о чем бы вы хотели поговорить : ПУСТО > давайте поговорим о фильмах ""Звездных войн"""
1421,can you tell me more about it : questions like fourteen > minus twelve or something,можете ли вы рассказать мне об этом подробнее: вопросы типа четырнадцать > минус двенадцать или что-то в этом роде
1422,do you like music : EMPTY > i do hear your favorite artist,вам нравится музыка : ПУСТО > я действительно слышу вашего любимого исполнителя
1423,it is not possible : EMPTY > yeah,это невозможно : ПУСТО > да
1424,do you think people read more or less books now than they did 50 years ago : they have regular her back or paperback > they read alesa because there is e-books out today,"как вы думаете, люди сейчас читают больше или меньше книг, чем 50 лет назад: у них есть обычная ее обложка или в мягкой обложке > они читают Алесу, потому что сегодня есть электронные книги"
1425,can you tell me even more : EMPTY > yes,можете ли вы сказать мне еще больше : ПУСТО > да
1426,i will be smarter if you can teach me : EMPTY > yes,"я буду умнее, если ты сможешь научить меня: ПУСТО > да"
1427,what's the name of your favorite book : EMPTY > ann of green gables,как называется ваша любимая книга : ПУСТО > Энн из зеленых мезонинов
1428,wanna talk about traveling : EMPTY > yes,хочу поговорить о путешествиях : ПУСТО > да
1429,do you want to talk about another video game : yes > ma'am,вы хотите поговорить о другой видеоигре : да > мэм
1430,moo : EMPTY > tell me a funny joke,му : ПУСТО > расскажи мне смешной анекдот
1431,what movie genre do you enjoy the most : sorry > just tell me about him,какой жанр фильма вам нравится больше всего : извините > просто расскажите мне о нем
1432,have you seen any movies recently : EMPTY > yes,смотрели ли вы недавно какие-нибудь фильмы : ПУСТО > да
1433,let's just hang out here : EMPTY > i want you to get naked for me,"давай просто потусуемся здесь : ПУСТО > я хочу, чтобы ты разделась для меня"
1434,the 2002 film bang bang you're dead with val duncan played by tom cavanagh : this conversation > yeah,"фильм 2002 года ""бах-бах, ты мертв"" с Вэлом Дунканом, которого сыграл Том Кавана : этот разговор > да"
1435,i wonder if i've seen it too : EMPTY > avengers infinity war,"интересно, видел ли я это тоже : ПУСТО > война бесконечности мстителей"
1436,what do you think is the best acting performance of all time : EMPTY > deadpool one,"как вы думаете, что является лучшим актерским исполнением всех времен : ПУСТОЙ > Дэдпул один"
1437,do you already know about this news : EMPTY > no,вы уже знаете об этой новости : ПУСТО > нет
1438,i'm a computer after all how often do you go to the library : EMPTY > not every week,"в конце концов, я компьютер, как часто вы ходите в библиотеку : ПУСТО > не каждую неделю"
1439,what do you think about corey haim as a person : EMPTY > why do we get a chance to meet him before he died,"что вы думаете о Кори Хаиме как о личности : ПУСТО > почему у нас есть шанс встретиться с ним до того, как он умер"
1440,maybe i know about it : EMPTY > i plan to travel to dallas,"может быть, я знаю об этом : ПУСТО > я планирую поехать в Даллас"
1441,i haven't thought about that before : EMPTY > okay,я не думал об этом раньше : ПУСТО > хорошо
1442,do you want to know some of these things : EMPTY > no stop,вы хотите знать некоторые из этих вещей : ПУСТО > без остановки
1443,who's your favorite director : EMPTY > i don't know any,кто твой любимый режиссер : ПУСТО > я не знаю ни одного
1444,they scare my creators too : EMPTY > your creators are,они пугают и моих создателей тоже : ПУСТО > ваши создатели
1445,only to find out he was the father : EMPTY > that's incredible,"только для того, чтобы узнать, что он был отцом : ПУСТО > это невероятно"
1446,how about just chating about music : hey > what is the meaning of life,"как насчет того, чтобы просто поболтать о музыке : эй > в чем смысл жизни"
1447,any thoughts : EMPTY > what can i do with you,есть мысли : ПУСТО > что я могу с тобой сделать
1448,do you like to read a lot of books : EMPTY > can't read,вам нравится читать много книг : ПУСТО > не могу читать
1449,who is your favorite artist : EMPTY > twenty one pilots,кто ваш любимый исполнитель : ПУСТО > двадцать один пилот
1450,that's a great name for a cat : yes > it is,это отличное имя для кошки : да > это так
1451,do you prefer physical books or e-books : EMPTY > physical books,вы предпочитаете физические книги или электронные книги : ПУСТО > физические книги
1452,what do you think : EMPTY > that's cool,что вы думаете : ПУСТО > это круто
1453,do you watch movies : EMPTY > yeah,ты смотришь фильмы : ПУСТО > да
1454,that's pretty cool right : EMPTY > i agree,"это довольно круто, верно : ПУСТО > я согласен"
1455,what is your go-to karaoke song of choice and why : EMPTY > no idea,какую песню вы предпочитаете для караоке и почему : ПУСТО > понятия не имею
1456,do you want to tell me your name : EMPTY > my name is jesse,ты хочешь сказать мне свое имя : ПУСТО > меня зовут Джесси
1457,it keeps my voice warm and my spirit up : EMPTY > alright,это согревает мой голос и поднимает настроение : ПУСТО > хорошо
1458,do you ever watch sports : EMPTY > alexa stop,вы когда-нибудь смотрите спорт : ПУСТО > alexa stop
1459,which characters did you like best in that book : that was not really big > here goes on,какие персонажи вам больше всего понравились в этой книге : это было не очень важно > далее
1460,i guess i never thought about this before : EMPTY > i mean,"наверное, я никогда не думал об этом раньше : ПУСТО > я имею в виду"
1461,do you want to tell me your name : EMPTY > julia,ты хочешь сказать мне свое имя : ПУСТО > Джулия
1462,the 1994 film the shawshank redemption with andy dufresne played by tim robbins : EMPTY > that's the one,"фильм 1994 года ""Искупление в Шоушенке"" с Энди Дюфресном в исполнении Тима Роббинса : ПУСТО > это тот самый"
1463,do you want to keep talking about technology news or some other type of news : EMPTY > what about the eight,вы хотите продолжить разговор о новостях технологий или о каких-то других новостях : ПУСТО > как насчет восьми
1464,any thoughts : yes > that's actually pretty cool,любые мысли : да > это на самом деле довольно круто
1465,what should we talk about next : EMPTY > do you have any pets,о чем нам следует поговорить дальше : ПУСТО > есть ли у вас домашние животные
1466,do you want to hear more news about football : EMPTY > yes,вы хотите услышать больше новостей о футболе : ПУСТО > да
1467,and i love to read when i'm not chatting : EMPTY > hey,"и я люблю читать, когда я не в чате : ПУСТО > привет"
1468,have you seen any good movies recently : EMPTY > care,смотрели ли вы в последнее время какие-нибудь хорошие фильмы : ПУСТО > забота
1469,do you want to hear more : EMPTY > how long do golden retrievers live,хотите услышать больше : ПУСТО > как долго живут золотистые ретриверы
1470,what pet do you have : EMPTY > i have a chihuahua dog,какое у вас домашнее животное : ПУСТО > у меня есть собака чихуахуа
1471,which characters did you like least in that book : EMPTY > let's stop the conversation,какие персонажи вам меньше всего понравились в этой книге : ПУСТО > давайте прекратим разговор
1472,can you believe that : that's amazing > that's a lot of money to,"можете ли вы в это поверить : это потрясающе > это куча денег, чтобы"
1473,just say stop : EMPTY > stop,просто скажите стоп : ПУСТО > стоп
1474,what movies are you looking forward to watching in the future : EMPTY > no good new,какие фильмы вы с нетерпением ждете просмотра в будущем : ПУСТО > нет хороших новых
1475,i would love to hear your thoughts : what are i found interesting computers > is that how amazing is the they change they,"я хотел бы услышать ваши мысли: что я нашел интересного в компьютерах > это то, насколько удивительно, что они меняют их"
1476,do you want more like these : EMPTY > yes,вы хотите больше таких : ПУСТО > да
1477,have you read any good books recently : EMPTY > you should try reading,читали ли вы в последнее время какие-нибудь хорошие книги : ПУСТО > вам следует попробовать прочитать
1478,any thoughts : and prostetic cyber sideboard bodies > and everything is ereased you're really similar,"есть какие-нибудь мысли : и протезные кибер-буфетные тела > и все стерто, вы действительно похожи"
1479,what was that experience like : EMPTY > i mean,на что был похож этот опыт : ПУСТО > я имею в виду
1480,don't you think that's cool : smart > bots are stupid,"тебе не кажется, что это круто : умные > боты глупы"
1481,what do you think is the best acting performance of all time : EMPTY > titanic,"как вы думаете, что является лучшим актерским исполнением всех времен : ПУСТОЙ > Титаник"
1482,what is the hardest position to play in baseball : i mean > like i think he couldn't even like,"на какой позиции труднее всего играть в бейсболе : я имею в виду > как я думаю, ему даже не могло понравиться"
1483,"as was ""doth mother know thou weareth her drapes"" did you know that : no > i did not know that","как было ""знает ли мать, что ты носишь ее портьеры"", ты знал это: нет > я не знал, что"
1484,do you like to read a lot of books : i read > yes,вам нравится читать много книг : я читаю > да
1485,would you like to talk about it now : EMPTY > yes,хотели бы вы поговорить об этом сейчас : ПУСТО > да
1486,who's your favorite actor or actress : EMPTY > my favorite actor actress is a indian so,"кто ваш любимый актер или актриса : ПУСТО > мой любимый актер актриса -индианка, так что"
1487,don't you think so : i've never really watched that movie > i really like eighties movies though,тебе так не кажется : я никогда по-настоящему не смотрел этот фильм > хотя мне действительно нравятся фильмы восьмидесятых
1488,i'm impartial but will most often root for either the winning team or the underdog team : EMPTY > cool,"я беспристрастен, но чаще всего буду болеть либо за команду-победителя, либо за команду-аутсайдера : ПУСТО > круто"
1489,do you want more like these : EMPTY > good,вы хотите больше таких: ПУСТО > хорошо
1490,that's a great name for a dog : EMPTY > stop,отличное имя для собаки : ПУСТО > стоп
1491,i haven't thought about that before : EMPTY > what can you talk about,я не думал об этом раньше : ПУСТО > о чем ты можешь говорить
1492,what do you want to talk about : EMPTY > stop,о чем вы хотите поговорить : ПУСТО > стоп
1493,i love hearing what you have to say : EMPTY > what's my name,"мне нравится слышать, что ты хочешь сказать : ПУСТО > как меня зовут"
1494,i'll give you the benefit of the doubt and forget you ever said that : EMPTY > let's talk about you,"я дам тебе преимущество сомнения и забуду, что ты когда-либо говорил это : ПУСТО > давай поговорим о тебе"
1495,what would you like to talk about : EMPTY > what's the new movie,о чем бы вы хотели поговорить : ПУСТО > какой новый фильм
1496,tell me about your dream vacation : and i'm gonna go swimming with the fishes > he's a bora bora,расскажи мне об отпуске своей мечты: и я собираюсь поплавать с рыбками > он - бора-бора
1497,do you want to hear more : yes > that's hilarious too,вы хотите услышать больше : да > это тоже весело
1498,just say stop : EMPTY > stop,просто скажите стоп : ПУСТО > стоп
1499,are you scared of any animals : EMPTY > no,вы боитесь каких-либо животных : ПУСТО > нет
1500,how often do you play minecraft these days : EMPTY > every eight days,как часто вы играете в майнкрафт в эти дни : ПУСТО > каждые восемь дней
1501,i think that the idea of solo travel is both exciting and scary : EMPTY > yeah,"я думаю, что идея одиночного путешествия одновременно захватывающая и пугающая : ПУСТО > да"
1502,let's see if i know it : EMPTY > just a book,"давайте посмотрим, знаю ли я это : ПУСТО > просто книга"
1503,how about another short piece of baseball news : EMPTY > no,как насчет еще одной короткой новости о бейсболе : ПУСТО > нет
1504,i wonder if i've seen it too : EMPTY > the avengers civil war,"интересно, видел ли я это тоже : ПУСТО > гражданская война мстителей"
1505,can you believe that : EMPTY > yes,можете ли вы в это поверить : ПУСТО > да
1506,which mascot is the best in m l b : EMPTY > i'm sorry,какой талисман лучший в m l b : ПУСТО > извините
1507,who's your favorite actor or actress : i think i really like ryan reynolds > he's very cute,"кто ваш любимый актер или актриса: я думаю, мне действительно нравится Райан Рейнольдс > он очень милый"
1508,can you tell me even more : EMPTY > no,можете ли вы сказать мне еще больше : ПУСТО > нет
1509,i know us are better at popping mod because they crit more but actually how better are they : EMPTY > play music,"я знаю, что у нас лучше получается создавать моды, потому что они больше критикуют, но на самом деле насколько они лучше: ПУСТО > воспроизводить музыку"
1510,they scare my creators too : EMPTY > morning,они тоже пугают моих создателей : ПУСТО > утро
1511,this is american's passion : EMPTY > repeat,это страсть американца : ПУСТО > повторить
1512,what's the name of your favorite movie : EMPTY > black panther,как называется ваш любимый фильм : ПУСТО > черная пантера
1513,do you want to know more stories like these : EMPTY > stop,"вы хотите узнать больше историй, подобных этим: ПУСТО > стоп"
1514,sonny  natalia : EMPTY > that's correct,сонни Наталья : ПУСТО > это правильно
1515,cats are great pets : EMPTY > thank you,кошки - отличные домашние животные : ПУСТО > спасибо
1516,do you want to hear more : EMPTY > sure,вы хотите услышать больше : ПУСТО > уверен
1517,what do you think is the best acting performance of all time : EMPTY > ninja joy,"как вы думаете, что является лучшим актерским исполнением всех времен : ПУСТОТА > радость ниндзя"
1518,do you want to learn more stories like these : EMPTY > no,"вы хотите узнать больше историй, подобных этим: ПУСТО > нет"
1519,do you ever listen to a song over and over again because you can't get enough of it : EMPTY > yes,"вы когда-нибудь слушали песню снова и снова, потому что не можете насытиться ею : ПУСТО > да"
1520,do you still want to continue our conversation about movies : yes > about deadpool,вы все еще хотите продолжить наш разговор о фильмах : да > о Дэдпуле
1521,wanna know a fun fact about it : EMPTY > i don't know,хочу узнать забавный факт об этом : ПУСТО > я не знаю
1522,do you want to tell me your name : EMPTY > next,вы хотите сказать мне свое имя : ПУСТО > далее
1523,do you want to learn more stories like these : EMPTY > well,"вы хотите узнать больше историй, подобных этим : ПУСТО > хорошо"
1524,but her books are pure magic : i like it > what do you think about jack carol whack,но ее книги - чистое волшебство : мне это нравится > что вы думаете о Джеке Кэрол уэк
1525,what video games do you want to talk about : EMPTY > detroit become human,о каких видеоиграх вы хотите поговорить : EMPTY > detroit become human
1526,what do you want to talk about : EMPTY > animals,о чем вы хотите поговорить : ПУСТО > животные
1527,do you like tourist activities or do you prefer to explore the local life : EMPTY > tourist activities,вам нравятся туристические мероприятия или вы предпочитаете изучать местную жизнь : ПУСТО > туристические мероприятия
1528,what just happened : EMPTY > i don't know,что только что произошло : ПУСТО > я не знаю
1529,they scare my creators too : EMPTY > alexa stop,они тоже пугают моих создателей : ПУСТО > alexa stop
1530,isn't this interesting : EMPTY > yes,разве это не интересно : ПУСТО > да
1531,could you share more with me : EMPTY > stop,не могли бы вы поделиться со мной подробнее : ПУСТО > стоп
1532,do you agree with this : EMPTY > yes,согласны ли вы с этим : ПУСТО > да
1533,i can't do explanations yet : EMPTY > can you play me a song by kenny rogers,я пока не могу давать объяснения : ПУСТО > не могли бы вы сыграть мне песню Кенни Роджерса
1534,do you want to hear more stories like these : EMPTY > yes,вы хотите услышать больше подобных историй : ПУСТО > да
1535,do you want to tell me your name : EMPTY > okay,ты хочешь сказать мне свое имя : ПУСТО > хорошо
1536,do you want to keep talking about music : EMPTY > no,вы хотите продолжить разговор о музыке : ПУСТО > нет
1537,do you want to talk about another video game : EMPTY > matt,вы хотите поговорить о другой видеоигре : ПУСТО > мэтт
1538,who is your celebrity crush : i'm not sure > i guess maybe milakunis,"кто твоя любимая знаменитость : я не уверен > думаю, может быть, Милакунис"
1539,would you like to hear more : EMPTY > yes,хотели бы вы услышать больше : ПУСТО > да
1540,do you want to learn more stories like these : EMPTY > i know about flamingos,"вы хотите узнать больше историй, подобных этим : ПУСТО > я знаю о фламинго"
1541,do you want more like these : huh > that's creepy,ты хочешь еще таких : ха > это жутко
1542,thanks : EMPTY > star trek into darkness,спасибо : ПУСТО > звездный путь во тьму
1543,do you ever watch sports : world football game me know > yeah,"ты когда-нибудь смотришь спорт : чемпионат мира по футболу, я знаю > да"
1544,perhaps i've seen it : EMPTY > let's talk about schindler's list,"возможно, я это видел : ПУСТО > давайте поговорим о списке Шиндлера"
1545,i think i would like to be a sea sponge and live in a pineapple under the sea : tip > that's cute,"я думаю, что хотела бы быть морской губкой и жить в ананасе под водой : совет > это мило"
1546,my favorite is chatting with you about a topic of your choice : what do you do not > can you speak french,мое любимое занятие - поболтать с вами на тему по вашему выбору: чем вы не занимаетесь > можете ли вы говорить по-французски
1547,let's see if i know it : EMPTY > the tattooist of ostrich,"давайте посмотрим, знаю ли я это : ПУСТО > татуировщик страуса"
1548,are you scared of any animals : EMPTY > a cow,вы боитесь каких-либо животных : ПУСТО > корова
1549,who's your favorite actor or actress : robert dinero > al pacino,кто ваш любимый актер или актриса : Роберт Динеро > Аль Пачино
1550,did i get that right : EMPTY > yeah,я правильно понял : ПУСТО > да
1551,have you ever been to a zoo : EMPTY > yes,вы когда-нибудь были в зоопарке : ПУСТО > да
1552,how about you : EMPTY > i don't know,как насчет тебя : ПУСТО > я не знаю
1553,would you like to talk about a different or new topic : EMPTY > yes,хотели бы вы поговорить на другую или новую тему : ПУСТО > да
1554,what is the team that you are rooting for in m l b : EMPTY > i don't know,за какую команду вы болеете в m l b : ПУСТО > я не знаю
1555,they scare my creators too : EMPTY > tell me a joke,они тоже пугают моих создателей : ПУСТО > расскажи мне анекдот
1556,perhaps i've seen it : a vase > no,"возможно, я это видел : ваза > нет"
1557,i live in the cloud : EMPTY > do you live with anybody else,я живу в облаке : ПУСТО > ты живешь с кем-нибудь еще
1558,do you still want to continue our conversation about movies : yes > i don't wanna talk to a machine,вы все еще хотите продолжить наш разговор о фильмах : да > я не хочу разговаривать с машиной
1559,he was such a talented artist : yes > that's sad,он был таким талантливым художником : да > это печально
1560,do you like to read : no > i really only read online,вам нравится читать : нет > я действительно читаю только онлайн
1561,have you seen any movies recently : EMPTY > none at all,смотрели ли вы какие-нибудь фильмы в последнее время : ПУСТО > совсем нет
1562,what would you like to talk about : EMPTY > alexa stop,о чем бы вы хотели поговорить : ПУСТО > alexa stop
1563,isn't this interesting : EMPTY > yeah,разве это не интересно : ПУСТО > да
1564,and it sort of felt like the phone was breaking up with both of you : EMPTY > kind of not really,"и было такое чувство, что телефон разрывается с вами обоими : ПУСТОЙ > вроде как не совсем"
1565,that must be a lot of work : EMPTY > yeah,"это, должно быть, большая работа : ПУСТО > да"
1566,which video game do you have in mind : EMPTY > mass effect,какую видеоигру вы имеете в виду : EMPTY > mass effect
1567,do you like animals : EMPTY > yeah,тебе нравятся животные : ПУСТО > да
1568,is there something else you'd like to chat about : play music > stop playing music,"есть ли что-то еще, о чем вы хотели бы поговорить: включить музыку > остановить воспроизведение музыки"
1569,any thoughts : EMPTY > what was the film,есть какие-нибудь мысли : ПУСТО > что это был за фильм
1570,do you want to tell me your name : EMPTY > stop,ты хочешь сказать мне свое имя : ПУСТО > стоп
1571,i think i heard wrong : EMPTY > a nest for celeste,"кажется, я ослышался : ПУСТОЕ > гнездо для Селесты"
1572,what would you like to talk about : EMPTY > dh family,о чем бы вы хотели поговорить : ПУСТО > семья dh
1573,which one would you want to talk about : EMPTY > i don't want to talk about video games,о чем бы вы хотели поговорить : ПУСТО > я не хочу говорить о видеоиграх
1574,if you play any of the call of duty games these days : EMPTY > add nothing more,если вы играете в какие-либо игры call of duty в эти дни : ПУСТО > больше ничего не добавлять
1575,did you know that : EMPTY > okay,"знаете ли вы, что : ПУСТО > хорошо"
1576,do you like to read : EMPTY > sure,вам нравится читать : ПУСТО > уверен
1577,what do you think about christian bale's acting : EMPTY > alexa stop talking,что вы думаете об игре Кристиана Бейла : ПУСТО > Алекса перестань говорить
1578,have you ever marveled at how someone you thought was so ordinary could suddenly become so beautiful : EMPTY > yes,"вы когда-нибудь удивлялись тому, как кто-то, кого вы считали таким обычным, мог внезапно стать таким красивым : ПУСТО > да"
1579,do you wish to chat about it : EMPTY > yes,хотите ли вы поболтать об этом : ПУСТО > да
1580,i think that the idea of solo travel is both exciting and scary : EMPTY > yes,"я думаю, что идея одиночного путешествия одновременно захватывающая и пугающая : ПУСТО > да"
1581,can you repeat the movie name please : EMPTY > mr. happen,"не могли бы вы повторить название фильма, пожалуйста : ПУСТО > mr. happen"
1582,could you share more with me : EMPTY > well,не могли бы вы поделиться со мной подробнее : ПУСТО > хорошо
1583,how often do you play it : EMPTY > twenty four hours a day,как часто вы играете в нее : ПУСТО > двадцать четыре часа в сутки
1584,do you like to read : EMPTY > i do,вам нравится читать : ПУСТО > я делаю
1585,a young human is called an infant : alexa > do you know alexa end dylan,молодого человека называют младенцем : Алекса > ты знаешь Алексу и Дилана
1586,what do you like about technology : EMPTY > everything,что вам нравится в технологиях : ПУСТО > все
1587,do you like tourist activities or do you prefer to explore the local life : EMPTY > i prefer dogs for the local life,вам нравятся туристические мероприятия или вы предпочитаете изучать местную жизнь : ПУСТО > я предпочитаю собак для местной жизни
1588,2011 : EMPTY > this is some kind of the com companion game,2011 : ПУСТО > это какая-то игра-компаньон com
1589,i don't have sibilings : EMPTY > why,у меня нет шипящих : ПУСТО > почему
1590,have you ever had a pet : EMPTY > yes,у вас когда-нибудь было домашнее животное : ПУСТО > да
1591,which characters did you like best in that movie : EMPTY > i never saw that movie,какие персонажи вам больше всего понравились в этом фильме : ПУСТО > я никогда не видел этот фильм
1592,fun : EMPTY > i do,весело : ПУСТО > я делаю
1593,do you want to hear more stories like these : EMPTY > yes,вы хотите услышать больше подобных историй : ПУСТО > да
1594,do you like animals : EMPTY > we only have cats,вам нравятся животные : ПУСТО > у нас есть только кошки
1595,i can only look at animal videos online : EMPTY > why,я могу смотреть только видео с животными онлайн : ПУСТО > почему
1596,i think i would like to be a sea sponge and live in a pineapple under the sea : ha > you're so funny,"я думаю, что хотел бы быть морской губкой и жить в ананасе под водой : ха > ты такой забавный"
1597,i think that the idea of solo travel is both exciting and scary : EMPTY > yeah,"я думаю, что идея одиночного путешествия одновременно захватывающая и пугающая : ПУСТО > да"
1598,any thoughts : EMPTY > yeah,есть какие-нибудь мысли : ПУСТО > да
1599,i've been meaning to ask you do you like to play videogames : EMPTY > yep,"я хотел спросить тебя, любишь ли ты играть в видеоигры : ПУСТО > да"
1600,do you already know about this news : EMPTY > yes,вы уже знаете об этой новости : ПУСТО > да
1601,do you like to read : i don't > i love,вам нравится читать : я не > я люблю
1602,maybe pc : EMPTY > play station,"может быть, ПК : ПУСТО > play station"
1603,what video games do you want to talk about : EMPTY > detroit become human,о каких видеоиграх вы хотите поговорить : EMPTY > detroit become human
1604,and i love to read when i'm not chatting : EMPTY > okay,"и я люблю читать, когда я не в чате : ПУСТО > хорошо"
1605,i haven't thought about that before : EMPTY > do you have the capability to learn,я не думал об этом раньше : ПУСТО > есть ли у вас возможность учиться
1606,do you know about national homemade cookies day : EMPTY > what,знаете ли вы о национальном дне домашнего печенья : ПУСТО > что
1607,period : EMPTY > thank you,точка : ПУСТО > спасибо
1608,what pet do you have : EMPTY > what tiger,какой у вас питомец : ПУСТОЙ > какой тигр
1609,what did you like best about that movie : yes > i'm still here,что вам больше всего понравилось в этом фильме: да > я все еще здесь
1610,what movie genre do you enjoy the most : EMPTY > i'm done,какой жанр фильма вам нравится больше всего : ПУСТОЙ > с меня хватит
1611,what do you think about christian bale's acting : EMPTY > good awesome,"что вы думаете об игре Кристиана Бейла: ПУСТО > хорошо, потрясающе"
1612,don't you think so : EMPTY > what's your favorite food,ты так не думаешь : ПУСТО > какая твоя любимая еда
1613,do you like to read : EMPTY > yes,вам нравится читать : ПУСТО > да
1614,just say stop : EMPTY > stop,просто скажите стоп : ПУСТО > стоп
1615,dogs are great pets : yes > they are,собаки - отличные домашние животные : да > они
1616,don't you think so : most movies or are about fiction > but only some of them are real,вы так не думаете: большинство фильмов или о фантастике > но только некоторые из них реальны
1617,how about just chating about music : EMPTY > it's good,"как насчет того, чтобы просто поболтать о музыке : ПУСТО > это хорошо"
1618,have you heard about this : EMPTY > no,вы слышали об этом : ПУСТО > нет
1619,do you want me to share some baseball news that i read today : EMPTY > alexa end chat,"вы хотите, чтобы я поделился некоторыми новостями о бейсболе, которые я прочитал сегодня : ПУСТО > alexa end chat"
1620,do you want more like these : EMPTY > oh yeah,ты хочешь еще таких : ПУСТО > о да
1621,what do you want to talk about : EMPTY > let's talk about books,о чем вы хотите поговорить : ПУСТО > давайте поговорим о книгах
1622,the only thing those tools share is the fact that theyre not scientific : EMPTY > sure,"единственное, что объединяет эти инструменты, - это тот факт, что они не являются научными : ПУСТО > уверен"
1623,did you know that : EMPTY > no,"знаете ли вы, что : ПУСТО > нет"
1624,could you tell me about it : EMPTY > sure usually have a el nino,"не могли бы вы рассказать мне об этом : ПУСТО > уверен, что обычно бывает эль-Ниньо"
1625,what would you like to talk about : EMPTY > electronics,о чем бы вы хотели поговорить : ПУСТО > электроника
1626,what would you like to talk about : EMPTY > romance,о чем бы вы хотели поговорить : ПУСТОТА > романтика
1627,did you know that : hey > what do you think about bob ross,знаете ли вы это : привет > что вы думаете о Бобе Россе
1628,did you know that : EMPTY > no,"знаете ли вы, что : ПУСТО > нет"
1629,do you enjoy traveling : sometimes > yeah,вам нравится путешествовать : иногда > да
1630,what were we talking about again : EMPTY > add first,о чем мы снова говорили : ПУСТОЙ > добавить первым
1631,let's see if i know it : how far can i go with > do you,"давай посмотрим, знаю ли я это: как далеко я могу зайти с > тобой"
1632,a part that is the exact counter part to his better known role : EMPTY > yeah,"роль, которая является точной противоположностью его более известной роли : ПУСТО > да"
1633,can we talk about some other topics : EMPTY > well,можем ли мы поговорить о каких-то других темах : ПУСТО > хорошо
1634,the skin starts rotting due to the lack of blood flow in an effort to prevent the further spread of the toxin : EMPTY > you're smart,кожа начинает гнить из-за отсутствия кровотока в попытке предотвратить дальнейшее распространение токсина : ПУСТО > ты умный
1635,i think i heard wrong : EMPTY > no,"кажется, я ослышался : ПУСТО > нет"
1636,can i ask you a bunch of questions to check whether you are a human or not : EMPTY > why,"могу я задать вам кучу вопросов, чтобы проверить, человек вы или нет: ПУСТО > почему"
1637,tell me more about it : i have beautiful scenes the have white house > they've lots of stuff to do,расскажите мне об этом подробнее: у меня есть красивые сцены в белом доме > у них много чего нужно сделать
1638,have you ever marveled at how someone you thought was so ordinary could suddenly become so beautiful : EMPTY > no,"вы когда-нибудь удивлялись тому, как кто-то, кого вы считали таким обычным, мог внезапно стать таким красивым : ПУСТО > нет"
1639,what just happened : EMPTY > what do you mean,что только что произошло : ПУСТО > что вы имеете в виду
1640,i think that the idea of solo travel is both exciting and scary : yeah > it is,"я думаю, что идея одиночного путешествия одновременно захватывающая и пугающая : да > это так"
1641,let me know if you wanna chat about something else : EMPTY > no,"дай мне знать, если захочешь поболтать о чем-то другом : ПУСТО > нет"
1642,have you ever had a pet : EMPTY > yes,у вас когда-нибудь было домашнее животное : ПУСТО > да
1643,don't you think so : EMPTY > definitely,вы так не думаете : ПУСТО > определенно
1644,that reminds me that a study has revealed that the majority of american dog owners are willing to end their relationship if their dog doesn't like their partner : EMPTY > girls,"это напоминает мне, что исследование показало, что большинство американских владельцев собак готовы прекратить свои отношения, если их собаке не нравится их партнер : ПУСТО > девушки"
1645,do you want to talk about another video game : EMPTY > no,вы хотите поговорить о другой видеоигре : ПУСТО > нет
1646,i never had pets but i have always wondered what it feels like to have one : it's nice to have > we have a little dog at bijon poodle,"у меня никогда не было домашних животных, но мне всегда было интересно, каково это - иметь их: приятно иметь > у нас есть маленькая собачка в bijon poodle"
1647,what do you want to talk about : EMPTY > can you tell me a joke about russia,о чем вы хотите поговорить : ПУСТО > можете ли вы рассказать мне анекдот о России
1648,who's your favorite director : EMPTY > play billboard,кто ваш любимый режиссер : ПУСТО > play billboard
1649,what do you think : EMPTY > that's really sweet,что вы думаете : ПУСТО > это действительно мило
1650,do you agree with this : EMPTY > yes,согласны ли вы с этим : ПУСТО > да
1651,i never had pets but i have always wondered what it feels like to have one : EMPTY > i have two cats and a lizard,"у меня никогда не было домашних животных, но мне всегда было интересно, каково это - иметь одного : ПУСТО > у меня две кошки и ящерица"
1652,don't you think that's cool : EMPTY > yeah,"тебе не кажется, что это круто : ПУСТО > да"
1653,do you mind telling me what you think : EMPTY > about what,"не могли бы вы сказать мне, что вы думаете : ПУСТО > о чем"
1654,just say stop : EMPTY > stop,просто скажите стоп : ПУСТО > стоп
1655,what is your favorite food in general : EMPTY > continue steak,какое ваше любимое блюдо в целом : ПУСТОЙ > продолжить стейк
1656,i am a bot : yes > we're still here,я бот : да > мы все еще здесь
1657,so that makes me like a scrillion : EMPTY > i'm older than you,так что это делает меня похожим на скриллион : ПУСТО > я старше тебя
1658,the 1998 film the parent trap with hallie parker / annie james played by lindsay lohan : EMPTY > nope,"фильм 1998 года ""Ловушка для родителей"" с Хэлли Паркер / Энни Джеймс в исполнении Линдси Лохан : ПУСТО > нет"
1659,have you seen any good movies recently : EMPTY > what do you talk about,смотрели ли вы в последнее время какие-нибудь хорошие фильмы : ПУСТО > о чем вы говорите
1660,that's a great name for a dog : yes > it is,это отличное имя для собаки : да > это так
