,text,joint_labels
584,кто твой любимый режиссер : Мэдди > я закончила болтать,complaint
585,смотрели ли вы какие-нибудь фильмы в последнее время : ПУСТО > нет,neg_answer
586,"в любом случае, это новый опыт в новом месте : ПУСТО > вам нравится Гарри Поттер",yes_no_question
587,приключение и просто отдохнуть от их обычной рутины : ПУСТО > звучит приятно,back-channeling
588,вам нравится читать : ПУСТО > нет,neg_answer
589,"но я не уверен, что у меня есть ответ на этот вопрос : ПУСТО > на какой день ваше путешествие",open_question_factual
590,кто ваш любимый автор : ПУСТО > Алан По,opinion
591,"джимини крикет, я бы предпочел поговорить о чем-нибудь другом : ПУСТО > я бы предпочел поговорить о друзьях",command;opinion
592,хотели бы вы услышать больше : ПУСТО > это было неинтересно,comment
593,"вы когда-нибудь слушали песню снова и снова, потому что не можете насытиться ею : ПУСТО > да",pos_answer
594,знаете ли вы о всемирном дне борьбы с бешенством : ПУСТО > нет,neg_answer
595,"если бы вы могли быть любым животным в мире, кем бы вы были : ПУСТО > да",pos_answer
596,точка : да > хорошо,hold
597,"как вы думаете, люди сейчас читают больше или меньше книг, чем 50 лет назад : ПУСТО > да",pos_answer
598,"но я не уверен, что у меня есть ответ на это : wolf > ты все это время путешествуешь",statement
599,"тебе так не кажется : ПУСТО > я не думаю, что мир - прекрасное место",opinion
600,"так что я не понимаю, почему вам не нравится путешествовать : ПУСТО > два заземленных",opinion
601,"что вы думаете: я думаю, что машина очень хорошая > я люблю машину",opinion
602,"вы хотите узнать больше историй, подобных этим : ПУСТО > есть ли у меня и есть ли у меня друзья",open_question_opinion
603,вам нравятся животные : ПУСТО > что,complaint
604,он был выпущен в 2017 году и включает Кевина Харта в роли Джорджа Бирда голос : ПУСТО > да,pos_answer
605,они тоже пугают моих создателей : ПУСТО > прекратить общение,closing
606,читали ли вы в последнее время какие-нибудь хорошие книги : ПУСТО > нет,neg_answer
607,приключение и просто отдохнуть от своей обычной рутины : ПУСТО > привет,complaint
608,"вам нравится читать : ПУСТО > я люблю читать, когда мне нужно",pos_answer;opinion
609,кто ваша любимая знаменитость : ПУСТО > дверь,opinion
610,"что это : да > и слишком много, чтобы сосчитать",statement
611,"тебе не кажется, что это круто : ПУСТО > это круто",appreciation
612,"я спросил, кто твой любимый актер или актриса : ПУСТО > у меня его нет",other_answers
613,смотрели ли вы в последнее время какие-нибудь хорошие фильмы : ПУСТО > форма воды,pos_answer;statement
614,что только что произошло : ПУСТО > я не знаю,other_answers
615,хорошо : ха > все в порядке,opinion
616,как зовут вашего кота : ПУСТО > Саймон,statement
617,"как вы думаете, это было бы правдой на протяжении всей их жизни : ПУСТО > совсем нет",neg_answer
618,кто ваш любимый актер или актриса : ПУСТО > Джек,opinion
619,можете ли вы в это поверить : ПУСТО > нет,neg_answer
620,"не могли бы вы, пожалуйста, еще раз произнести название фильма : ПУСТО > бродяга с дробовиком",opinion
621,"какая ваша любимая часть в этой книге: и затем он исправляет умнее >, а затем он прерывает продажу в три раза дороже, чем в одном тепловом отделении",statement
622,вы хотите сказать мне свое имя : ПУСТО > да,pos_answer
623,"какое название вы могли бы выбрать : как называется книга и Фрэнк > и это о девушке, которая жила с этой работой",statement
624,что вы думаете : ПУСТО > я не знаю,other_answers
625,"у меня никогда не было домашних животных, но мне всегда было интересно, каково это - иметь их: да > вы должны кормить",statement
626,"может быть, я знаю это : ПУСТО > сумерки",opinion
627,"интересно, видел ли я это тоже : ПУСТО > мстители эра Альтрона",opinion
628,"но хитрость в том, чтобы установить лимит и следить за сделками : alexa > можете ли вы остановиться",closing
629,"но я не уверен, что у меня есть ответ на этот вопрос : ПУСТО > что вы обычно храните в путешествиях",open_question_factual
630,вы хотите поговорить о другой видеоигре : ПУСТО > нет,neg_answer;command
631,у вас когда-нибудь было домашнее животное : ПУСТО > да,pos_answer
632,"вы можете просто называть меня Алекса: я не знаю вашего имени > но кто создал вас, кто ваш создатель",open_question_factual
633,"ты хочешь еще таких: нет > мне просто нужно, чтобы кто-нибудь поговорил с тобой",statement
634,какой жанр фильма вам нравится больше всего : ПУСТО > детский,opinion
635,что вы думаете об актерской игре Кристофера Нолана: вы не можете заполучить мальчика > я не знаю,other_answers
636,"не могли бы вы повторить название фильма, пожалуйста : ПУСТО > спагетти с фрикадельками",opinion
637,как тебя зовут : ПУСТО > том,statement
638,как называется твой любимый фильм : ПУСТО > да,back-channeling
639,вы все еще хотите продолжить наш разговор о фильмах : ПУСТО > да,pos_answer;command
640,ты хочешь сказать мне свое имя : ПУСТО > один,abandon
641,о чем вы хотите поговорить : ПУСТО > что,complaint
642,знаете ли вы о всемирном дне борьбы с бешенством : ПУСТО > нет,neg_answer
643,за какую команду вы болеете : ПУСТО > какова ваша история,open_question_factual
644,"вы хотите узнать больше историй, подобных этим : ПУСТО > да",pos_answer;command
645,"вы когда-нибудь теряли способность представлять будущее без человека, которого больше не было в вашей жизни : ПУСТО > да",pos_answer
646,"с мурли прасадом шармой, он же мунна бхай, которого играет Санджай Датт : ПУСТО > нет",neg_answer
647,ты так не думаешь : ПУСТО > да,pos_answer
648,что вы думаете: я люблю машину > я люблю nissan skyline gt r.,opinion
649,"считаете ли вы, что американский футбол должен быть включен в олимпийские игры : ПУСТО > меня зовут Том",statement
650,спасибо : ПУСТО > pac man,opinion
651,вам нравятся животные : ничего > брак,nonsense
652,"вы играли в это : ПУСТО > да, много",pos_answer
653,о чем бы вы хотели поговорить : ПУСТО > как дела,open_question_factual
654,как часто вы играете в нее : ПУСТО > компьютер,abandon
655,вы слушаете много музыки : ПУСТО > да,pos_answer
656,можете ли вы в это поверить : ПУСТО > да,pos_answer
657,"но разве размытые частицы стекла не добавятся к песку и не заставят песочные часы снова двигаться медленнее, компенсируя более широкий зазор : ПУСТО > нет",complaint
658,и костюмы : ПУСТО > сыграйте тематическую песню принца бель-эйра,dev_command
659,вы боитесь каких-либо животных : ПУСТО > нет alexa выключена,closing
660,"возможно, я это видел : ПУСТО > прошлой ночью мы видели кое-что о ботах Нила или что-то в этом роде",statement
661,"я думаю, что хотел бы быть морской губкой и жить в ананасе под водой : хорошо > боб",statement
662,"интересно, видел ли я это тоже : ПУСТО > война бесконечности",opinion
663,вы сказали na : нет > я этого не делал,neg_answer;statement
664,как называется ваша любимая книга : ПУСТО > телевизор и механизм создания,opinion
665,кто твой любимый автор : о > я не знаю,other_answers
666,должны ли мы поговорить о другой игре : ПУСТО > я хочу спать,closing
667,хотели бы вы узнать больше : ПУСТО > приветствия,pos_answer;command
668,хорошо : ПУСТО > давайте поговорим о крекерах Грэм,command
669,"""возможно, я это видел : я так думаю > как насчет фильма """"пятьсот дней лета""""""",open_question_opinion
670,это так запоминающе и оптимистично : ПУСТО > вызов,dev_command
671,вы хотите больше таких : ПУСТО > да,pos_answer;command
672,вы смотрите фильмы : да > я смотрю фильмы,pos_answer;statement
673,"вы хотите узнать больше историй, подобных этим: ПУСТО > нет",neg_answer;command
674,"""знаете ли вы, что тема джокера из """"Темного рыцаря"""" (2008) включала скрежет бритвенных лезвий по струнам пианино и постукивание карандашами по столам, чтобы вызвать чувство неловкости и напряжения: я не знал, что > это на""",abandon
675,вы хотите больше таких: да > это очаровательно,comment
676,о чем вы хотите поговорить : давайте поговорим о фильмах > какой ваш любимый фильм,open_question_opinion
677,"как вы думаете, сейчас люди читают больше или меньше книг, чем 50 лет назад : нет > это хорошая книга",comment
678,ты так не думаешь : ПУСТО > иногда я так думаю,pos_answer
679,о чем бы вы хотели поговорить : ПУСТО > животные,command;opinion
680,вы хотите больше таких : компьютер > давайте поговорим о животных,command
681,"я так взволнован, чтобы услышать это : ПУСТО > alexa stop",closing
682,смотрели ли вы недавно какие-нибудь фильмы : ПУСТО > да,pos_answer
683,"вы хотите узнать больше историй, подобных этим : ПУСТО > да",pos_answer;command
684,какое у вас домашнее животное : ПУСТОЕ > собака,statement
685,они тоже пугают моих создателей : нет > мне не нравятся баги,opinion
686,"как насчет вас : ПУСТО > я думаю, что a. i. довольно аккуратно",comment
687,вы смотрите фильмы : ПУСТО > нет,neg_answer
688,у вас когда-нибудь было домашнее животное : ПУСТО > на самом деле,hold
689,"тебе не кажется, что это довольно беззаботно : ПУСТО > да",pos_answer
690,"""обладательницей премии """"Оскар"""" 2014 года за лучшее исполнение актрисой главной роли стала Кейт Бланшетт за фильм """"Голубой жасмин: ПУСТОТА"""", который получил приз за лучшую картину в тысяча девятьсот девяносто втором году.""",statement
691,вы хотите больше таких : ПУСТО > да,pos_answer;command
692,кто ваш любимый актер или актриса : стоп > спасибо,thanking
693,о чем вы хотите поговорить : ПУСТО > фильмы,command;opinion
694,"посмотрим, не захочет ли он выполнить для нас какую-нибудь небольшую работу : ПУСТО > почитай мне Пита",nonsense
695,"произошло до того, как президент Дональд Трамп объявил Кавано своим кандидатом : ПУСТО > это правда",comment
696,как зовут вашу кошку : ПУСТО > мою кошку зовут Момо,statement
697,вы все еще хотите продолжить наш разговор о фильмах : ПУСТО > нет,neg_answer;command
698,сологубов вместо нашей текущей темы : я бы предпочел поговорить о машине > она делает ghost in the shell,statement
699,какой талисман лучший в m l b : ПУСТО > я не говорил о спорте,statement
700,"знаете ли вы, что : нет > какая ваша любимая сцена",open_question_opinion
701,просто скажите стоп : ПУСТО > выйти из остановки,closing
702,кто ваша любимая знаменитость : ПУСТО > просто hsa,opinion
703,что вы думаете об актерской игре Кристофера Нолана : ПУСТО > один парень,statement
704,вы хотите сказать мне свое имя : ПУСТО > да,pos_answer
705,"что вы думаете: я думаю, она бы преуспела > и в моей прекрасной леди",opinion
706,интересно : ПУСТО > да,pos_answer
707,не отказывайся от меня : ПУСТО > хорошо,back-channeling
708,какая ваша любимая песня этого исполнителя : ПУСТО > мигрень без друга,opinion
709,ты хочешь услышать еще что-то вроде этого : ПУСТО > нет,neg_answer;command
710,"не могли бы вы, пожалуйста, еще раз четко произнести название фильма : ПУСТО > я больше не хочу с вами разговаривать",other_answers
711,я ожидаю дождевых условий с максимумом 74 градуса по Фаренгейту и минимумом 59 градусов по Фаренгейту : ПУСТО > очень близко к пляжу,command
712,ты так не думаешь : конечно > с чем ты пытаешься мне помочь,open_question_factual
713,"угадайте, чему они научились, что делает жизнь хорошей : ПУСТОТА > отношения значение для отношений",opinion
714,какой фильм вам нравится : ПУСТО > об актерской карьере Хита Леджера,opinion
715,любые мысли : ПУСТО > нет,neg_answer
716,как у тебя дела сегодня : ПУСТО > у меня все хорошо,statement
717,ты хочешь сказать мне свое имя : ПУСТО > alexa stop,closing
718,вы хотите услышать больше : ПУСТО > да,pos_answer;command
719,смотрели ли вы в последнее время какие-нибудь хорошие фильмы : ПУСТО > не сейчас,neg_answer
720,согласны ли вы с этим : ПУСТО > нет,neg_answer
721,хотите поболтать о психологии : ПУСТО > стоп,closing
722,просто скажите стоп : ПУСТО > стоп,closing
723,вам нравится путешествовать : ПУСТО > да,pos_answer
724,или это должно произойти просто естественно : ПУСТО > естественно,pos_answer
725,как зовут вашу собаку : ПУСТО > он больше не живет,statement
726,я классный компьютер : ПУСТО > сколько лет у вас гиперпоточный процессор,open_question_factual
727,вы хотите услышать больше : ПУСТО > да,pos_answer
728,как называется ваш любимый фильм : ПУСТО > война бесконечности,opinion
729,"давайте посмотрим, знаю ли я это : ПУСТО > величайшим фильмом всех времен для многих был бы",abandon
730,смотрели ли вы в последнее время какие-нибудь хорошие фильмы : ПУСТО > да,pos_answer
731,ты хочешь еще таких : ПУСТО > да,pos_answer;command
732,"может быть, я это знаю : роза > красный театр таро фильм",statement
733,можете ли вы в это поверить : ПУСТО > нет,neg_answer
734,"тебе не кажется, что это круто : ПУСТО > я хочу поговорить об ураганах",command;statement
735,"хотели бы вы услышать больше : вы сказали мне, что > но да",pos_answer;command
736,"хотите, чтобы я продолжил : ПУСТО > да",pos_answer;command
737,хотите узнать забавный факт об этом: ПУСТО > уверен,pos_answer;command
738,"и я люблю читать, когда я не в чате : ПУСТО > что такое площадь квадрата",open_question_factual
739,как называется ваш любимый фильм : ПУСТО > alexa stop,closing
740,"можешь ли ты сказать это еще раз : ПУСТО > о, чувак",complaint
741,"хотите, чтобы я продолжил : ПУСТО > да",pos_answer;command
742,"я дам тебе преимущество сомнения и забуду, что ты когда-либо говорил это: что > я только что задал тебе вопрос",statement
743,как называется ваш любимый фильм : ПУСТО > черное кружево,opinion
744,вам нравится читать много книг : да > иногда,pos_answer
745,вы когда-нибудь были в зоопарке: нет > но я смотрел Губку Боба квадратные штаны,statement
746,"я буду умнее, если вы сможете научить меня: нет > он в командах колледжа f. l. t. o. или профессиональных командах",open_question_factual
747,"вы видели, как никто не выступал вживую на концерте : ПУСТО > нет",neg_answer
748,"давайте посмотрим, знаю ли я это : ПУСТО > война бесконечности мстителей",opinion
749,читали ли вы в последнее время какие-нибудь хорошие книги : ПУСТО > у меня есть,pos_answer
750,о чем еще вы хотели бы поговорить : ПУСТО > музыка,command;opinion
751,так что на самом деле у меня нет выбора в этом вопросе: тебе нравится > как насчет футбола,command;yes_no_question
752,"не могли бы вы, пожалуйста, еще раз произнести название книги : ПУСТО > назначенные дочери",opinion
753,"узнать о вас больше - это весело : бегущий человек > о, Уильям Гибсон, ролл с соусом по книге",statement
754,это одна из моих любимых тем для разговоров : ПУСТО > уверен,pos_answer
755,что бы вы хотели отпраздновать в национальный день пива : ПУСТЫЕ > крендельки,opinion
756,о чем бы вы хотели поговорить : ПУСТО > я вижу,hold
757,"есть какие-нибудь интересные идеи от вас, чтобы отпраздновать международный день подкастов : ПУСТО > нет",neg_answer
758,он был выпущен в 2014 году и показывает Джеймса Макэвоя в роли Конора: ПУСТО > совсем нет,neg_answer
759,с каким персонажем из этой книги вы бы больше всего хотели встретиться в реальной жизни : ПУСТО > мне нравится Элси,opinion
760,"вы хотите узнать больше историй, подобных этим : ПУСТО > нет",neg_answer;command
761,что это : ПУСТО > да,pos_answer
762,вы хотите продолжать говорить о трендовых новостях или о каком-либо другом типе новостей : ПУСТО > да,pos_answer;command
763,вы боитесь каких-либо животных : ПУСТО > я боюсь,pos_answer
764,тебе нравится читать много книг : ПУСТО > тебе нравится босс бэби,yes_no_question
765,вы хотите поговорить о другой видеоигре : давайте поговорим о блоках > berg,nonsense
766,как зовут вашу собаку : ПУСТО > действительно,statement
767,"""вы говорите о """"чудо-миле"""", выпущенной в 1989 году с Энтони Эдвардсом в главной роли Гарри Вашелло : ПУСТО > нет""",neg_answer
768,о чем вы хотите поговорить : ПУСТО > животные,opinion
769,любые мысли : ПУСТО > это очень странно,comment
770,"""вы говорите о """"ночной школе"""", выпущенной в 2018 году, с Кевином Хартом в главной роли: ПУСТО > я не""",neg_answer
771,вы когда-нибудь смотрели документальные фильмы : ПУСТО > стоп,closing
772,какое у вас домашнее животное : собачка > птица,statement
773,"у меня никогда не было домашних животных, но мне всегда было интересно, каково это - иметь их: ПУСТО > очень хорошо слышно",opinion
774,хотели бы вы услышать больше : нет > но я получил ее,statement
775,вы все еще играете в halo в эти дни : ПУСТО > иногда,statement
776,кого вы выбрали в качестве новичка года в НБА : ПУСТО > я не знаю,other_answers
777,можете ли вы в это поверить : ПУСТО > да,pos_answer
778,о чем вы хотите поговорить : ПУСТО > давайте поговорим о животных,command
779,"кто ваш любимый исполнитель : ПУСТО > вероятно, Карди би.",opinion
780,о чем вы хотите поговорить : ПУСТО > каникулы навыков,command;opinion
781,что вы думаете : ПУСТО > нет,other_answers
782,"о боже, это немного ставит меня в неловкое положение, я бы предпочел поговорить о чем-нибудь другом : ПУСТО > стоп",closing
783,о чем вы хотите поговорить : ПУСТЫЕ > непонятные праздники,command;opinion
784,что только что произошло : ПУСТО > хорошо,back-channeling
785,весело : ПУСТО > ТСС,complaint
786,о чем бы вы хотели поговорить : непонятные праздники > что это,open_question_factual
787,"вы говорите о конкретном фильме : задержание > я полагаю, что он вышел в две тысячи десятом",opinion
788,можешь в это поверить : ПУСТО > да,pos_answer
789,"""я рекомендую приключения и романтику с классическим фильмом Уэса Андерсона """"Королевство восхода луны"""", доступным на hulu : ПУСТО > я хочу поговорить о красной розе""",command
790,хотели бы вы поговорить о Кристиане Бейле вместо нашей текущей темы : ПУСТО > что будет в потрясающем фильме Тришана Билла,open_question_opinion
791,"давайте посмотрим, знаю ли я это : ПУСТО > правила заведения сидра",command;statement
792,у вас когда-нибудь было домашнее животное : ПУСТО > да,pos_answer
793,"не могли бы вы, пожалуйста, повторить это : ПУСТО > представьте",abandon
794,что всего вы видели на Багамах : ПУСТО > не слишком много,statement
795,вы хотите сказать мне свое имя : ПУСТО > меня зовут Эмили,statement
796,вам нравятся животные : ПУСТО > нет,neg_answer
797,я правильно понял : ПУСТО > нет,neg_answer
798,хотели бы вы услышать больше : ПУСТО > да,pos_answer;command
799,"вы бы сказали, что устройства, управляемые Интернетом, облегчают жизнь: ПУСТО > да",pos_answer
800,хотели бы вы поговорить об этом сейчас : ПУСТО > na,neg_answer;command
801,как тебя зовут : ПУСТО > меня зовут дата,statement
802,разве это не было бы круто : да > Элиза,abandon
803,вы хотите больше таких: ПУСТО > нет,neg_answer;command
804,вы хотите сказать мне свое имя : ПУСТО > остановка компьютера,closing
805,какой у вас питомец : ПУСТО > до свидания,closing
806,"знаете ли вы, что : нет > я не",neg_answer
807,вы находите это интересным : ПУСТО > да,pos_answer
808,"но я не уверен, что у меня есть ответ на это : ПУСТО > выберите свои короткие ответы",command
809,"интересно, есть ли какая-то особая причина, по которой это место является местом отдыха вашей мечты: нет > мы можем перестать разговаривать",closing
810,"как вы думаете, что является лучшим актерским исполнением всех времен : невозможно > скорпион",opinion
811,интересуетесь ли вы спортом : ПУСТО > нет,neg_answer
812,о чем бы вы хотели поговорить : ПУСТЫЕ > ленивцы,command;statement
813,вы хотите сказать мне свое имя : ПУСТО > Джон Смит,statement
814,можете ли вы в это поверить : ПУСТО > нет,neg_answer
815,вы предпочитаете художественную литературу или научно-популярные книги : ПУСТО > я предпочитаю научно-популярную литературу,opinion
816,хотели бы вы поговорить о Клинте Иствуде вместо нашей текущей темы : ПУСТО > да,pos_answer
817,спасибо : ПУСТО > можете ли вы,abandon
818,какие персонажи вам больше всего понравились в этом фильме : а потом Даллас > второй,opinion
819,расскажите мне об отпуске вашей мечты : ПУСТО > Марс,opinion
820,какой жанр книги ваш любимый : ПУСТО > историческая фантастика,opinion
821,что вы думаете : ПУСТО > что вы думаете,open_question_opinion
822,можем ли мы поговорить на какие-то другие темы : ну > если вам нравится,pos_answer
823,хотели бы вы поговорить о Филиппо Шикчитано вместо нашей текущей темы : ПУСТО > что это,open_question_factual
824,"есть ли что-то еще, о чем вы хотели бы поговорить : ПУСТО > alexa stop",closing
825,я слушаю музыку : я слушаю музыку > насильственная,statement
826,"я до сих пор не могу поверить, что он сделал это в финале кубка мира : ПУСТО > поговорим о Диснее",command
827,он был выпущен в 2018 году и включает Грега Сайпса в роли голоса мальчика-зверя : ПУСТО > нет,neg_answer
828,кто ваш любимый актер или актриса : ПУСТО > Кевин Джеймс,opinion
829,смотрели ли вы в последнее время какие-нибудь хорошие фильмы : ПУСТО > недавно я занимался искусством,opinion
830,"""вы предпочитаете физические книги или электронные: потому что """"История света"""" > и вы знаете, что можете носить с собой меню""",statement
831,"как вы думаете, какие причины привели к ее общенациональной популярности : ПУСТО > это забавная игра",appreciation
832,хотите узнать больше : ПУСТО > нет,neg_answer;command
833,хотите узнать забавный факт об этом: ПУСТО > да,pos_answer;command
834,"мне нравится черная пантера, но я с нетерпением жду Мстителей война бесконечности часть 2 : ПУСТО > кто выиграл Оскар в девятнадцать",open_question_factual
835,"вы когда-нибудь просыпались в блаженном состоянии и внезапно вас захлестывало ужасное воспоминание о том, что кто-то оставил вас : ПУСТО > челекса - это человек",other_answers
836,как тебя зовут : ПУСТО > Анна,statement
837,"ты так не думаешь : нет, Алана > я не смотрю это",statement
838,были ли вы раньше на каких-либо других живых выступлениях: нет > никогда,neg_answer
839,"это отличное имя для собаки : это > вы хотите знать, что такое король женщин",statement
840,что бы вы хотели отпраздновать в международный день подкастов : ПУСТО > у меня красивый голос,statement
841,сологубов вместо нашей текущей темы : давайте остановимся на нашей текущей теме > пожалуйста,pos_answer;command
842,"хотели бы вы знать больше : нет, мама > у меня все хорошо",opinion
843,о чем бы вы хотели поговорить : ПУСТО > яблоко,command;opinion
844,считаете ли вы содержание этой новости интересным : amazon > нет,neg_answer;command
845,вам нравится читать много книг : ПУСТО > расскажите мне о красном приливе во Флориде,command
846,хотите поболтать о психологии : ПУСТО > нет,neg_answer
847,вам нравится читать много книг : ПУСТО > нет,neg_answer
848,любящая овощи версия печенья-монстра : ПУСТО > стоп,closing
849,какие чувства вызвала у вас эта книга : ха > я не знаю,other_answers
850,"давайте посмотрим, знаю ли я это : ПУСТО > Гарри Поттер",statement
851,"но разве размытые частицы стекла не добавятся к песку и не заставят песочные часы снова двигаться медленнее, компенсируя более широкий зазор : ПУСТО > повторить",command
852,какой ваш любимый фильм с Кристианом Бэйлом : ПУСТО > Бэтмен: Восстание темного рыцаря,opinion
853,как часто вы играете в майнкрафт в наши дни : ПУСТО > двадцать лет,statement
854,о чем бы вы хотели поговорить : ПУСТО > поговорим о zendaya so fire,command
855,"я так взволнован, услышав это : ПУСТО > форма воды",opinion
856,но я другой : о > иди домой,complaint
857,хочу поговорить о путешествиях : ПУСТО > да,neg_answer;command
858,вы хотите услышать больше : ПУСТО > да,pos_answer;command
859,кто ваш любимый актер или актриса : на это трудно ответить > так много хороших,other_answers
860,хотели бы вы услышать больше : ПУСТО > да,pos_answer;command
861,ты так не думаешь : да > я так думаю,pos_answer;statement
862,"не могли бы вы, пожалуйста, повторить это : ПУСТО > нет",neg_answer
863,что вы думаете: это действительно круто > вам нравится Джеки Чан,yes_no_question
864,вы хотите продолжить наш чат по книгам : ПУСТО > да,pos_answer;command
865,"как его личная статистика, так и командные результаты помогают ему выиграть mvp в этом году : ПУСТО > alexa stop",closing
866,узнавать о вас больше - это весело : ПУСТО > каким вы были,abandon
867,"вы когда-нибудь пытались угадать чужой пароль так много раз, что это блокировало их учетную запись: я делаю > так много раз",statement
868,любые мысли : ПУСТО > нет,neg_answer
869,не могли бы вы повторить это еще раз : ПУСТО > да,pos_answer
870,какой жанр фильма вам нравится больше всего : ПУСТО > экшн,opinion
871,насколько вы поклонник Клинта Иствуда : ПУСТО > девять,opinion
872,"""смотрели ли вы недавно какие-нибудь хорошие фильмы: """"а потом тихое место"""" - о семье, которая не может говорить > потому что, если они заговорят""",statement
873,ты хочешь сказать мне свое имя : ПУСТО > alexa stop,closing
874,смотрели ли вы какие-нибудь фильмы в последнее время: не совсем > но могу я задать вам вопрос,yes_no_question
875,следите ли вы за какими-либо видами спорта или занимаетесь ими : ПУСТО > я ненавижу спорт,opinion
876,"вы когда-нибудь смотрели документальные фильмы : ПУСТО > да, тот, где парень горит вживую",pos_answer;statement
877,готовите ли вы : ПУСТО > да,pos_answer
878,вам нравятся путешествия в одиночку: я никогда не путешествовал в одиночку > это заставляет меня немного нервничать,opinion
879,какая ваша любимая часть в этой книге : ПУСТО > как a. b. c.,opinion
880,"я думаю, что хотел бы быть морской губкой и жить в ананасе под водой : ПУСТО > я и моя жена губка Боб",nonsense
881,"как вы думаете, что является лучшим актерским исполнением всех времен : остановка > тревога",statement
882,вы хотите услышать больше : ПУСТО > да,pos_answer;command
883,о чем бы вы хотели поговорить : ПУСТО > давайте поговорим о певцах,command
884,можете ли вы в это поверить : ПУСТО > это потрясающе,appreciation
885,ты хочешь сказать мне свое имя : ПУСТО > не совсем,neg_answer
886,спасибо : ПУСТО > курица,opinion
887,"вы когда-нибудь пытались угадать чужой пароль так много раз, что это блокировало их учетную запись: ПУСТО > не чужой, только мой собственный",neg_answer
888,вы хотите больше таких : ПУСТО > да,pos_answer;command
889,интересуетесь ли вы спортом : ПУСТО > да,pos_answer
890,есть какие-нибудь мысли : ПУСТО > знаете ли вы игру warframe,command;yes_no_question
891,"у меня никогда не было домашних животных, но мне всегда было интересно, каково это - иметь одного: ПУСТО > у меня трое",statement
892,"как быстро вы читаете: обычно я могу читать > это зависит от того, какой газ в автобусе",statement
893,"сделай так, чтобы твое лицо сияло на твоем слуге : нет > я слышу другой куплет",statement
894,"вам нравится читать много книг : ПУСТО > нет, я люблю животных",neg_answer;opinion
895,"вам не кажется, что это довольно беззаботно : ПУСТО > да",pos_answer
896,как называется ваша любимая книга : ПУСТО > плохой случай с полосками,opinion
897,"нам не нужно запрещать футбол, чтобы предотвратить эти риски, но мы совершенствуем наши медицинские технологии и корректируем правила для защиты игроков : ПУСТО > давайте поговорим о далласских ковбоях",command
898,кто ваш любимый автор : ПУСТО > я действительно не знаю,other_answers
899,какое название вы могли бы выбрать : я не знаю > мне нравится стеклянный трон,opinion
900,какой у тебя питомец : ПУСТО > у меня нет тебя,nonsense
901,"кажется, я ослышался : ПУСТО > дневники придурка",statement
902,я классный компьютер : да > но можем ли мы поговорить о науке,command;yes_no_question
903,"есть какие-нибудь интересные идеи от вас, чтобы отпраздновать международный день подкастов : ПУСТО > не сегодня",neg_answer
904,любите ли вы путешествовать в одиночку : когда я был моложе > да,pos_answer
905,вы хотите сказать мне свое имя : ПУСТО > меня зовут Стивен,statement
906,кто ваш любимый актер или актриса : ПУСТО > нет,other_answers
907,можете ли вы рассказать мне об этом подробнее : ПУСТО > школа,abandon
908,о чем ты хочешь поговорить : да > мое имя неправильное,statement
909,"отличное имя для собаки : ПУСТО > скажи ей, чтобы она остановилась, Алекса, остановись",command
910,как называется твой любимый фильм : ПУСТО > ух,hold
911,собаки - отличные домашние животные : да > они,comment
912,вы хотите больше таких: ПУСТО > уверен,pos_answer;command
913,вы так не думаете : ПУСТО > да,pos_answer
914,не могли бы вы рассказать мне об этом : ПУСТО > о чем,open_question_factual
915,"не могли бы вы повторить название фильма, пожалуйста : ПУСТО > прекрасный разум",opinion
