,speaker,text,code
148355,A,In March I was wearing shorts.,sd
148356,B,Wow.,ba
148357,A,"I was wearing shorts in March up at college,",sd
148358,A,"and, uh, we,",%
148359,A,what they said is that this area has had its summer weather in the spring.,sd
148360,B,Huh.,b
148361,A,Is what they said what happened.,qh
148362,B,Huh.,b
148363,A,"I hope that,",sd
148364,A,"Oh, I don't know.",h
148365,A,"But,",%
148366,A,I hope that doesn't mean we're going to get an early winter.,sd
148367,B,No.,nn
148368,B,I wouldn't think so.,sv
148369,B,"I wouldn't,",%
148370,B,not as early as it came.,sd
148371,B,"I mean your talking September, maybe.",sv
148372,A,Yeah.,b
148373,B,That's a little early.,sv
148374,B,"Still the,",%
148375,A,Uh-huh.,b
148376,A,"Yeah,",b
148377,A,I was wearing shorts in March.,sd
148378,A,You know it was nippy,sd
148379,B,Uh-huh.,b
148380,A,"but, um, like it was still in the seventies.",sd
148381,B,Yeah.,b
148382,A,"You know, high sixties low seventies in March.",sd
148383,B,Yeah.,b
148384,B,"And we were there, we were in New Jersey last October",sd
148385,A,Uh-huh.,b
148386,B,and it was hotter there than it was here.,sd
148387,A,Yes.,b
148388,B,It was just like a heat wave.,sd
148389,A,Uh-huh.,b
148390,A,"Yeah,",b
148391,A,"we haven't,",%
148392,B,and we just died.,sd
148393,A,"Oh, my gosh.",ba
148394,B,"It was really hot,",sd
148395,B,so. But I like it here.,sd
148396,A,Huh.,b
148397,B,"I wouldn't, I wouldn't trade it for snow any day.",sd
148398,A,Really?,bh
148399,B,Yeah.,ny
148400,A,"See I like, I like the snow",sd
148401,A,"but I like to watch it fall,",sd
148402,A,"and I just like it where it's deep enough, you know, but not too deep.",sd
148403,B,Right.,b
148404,B,And I can handle a vacation in it,sd
148405,B,"and, you know, but my husband is from New Jersey",sd
148406,B,and he wouldn't go back either.,sd
148407,B,"He did all the, shoveling and everything else.",sd
148408,A,Really?,bh
148409,B,He said it was a pain.,sd
148410,B,"So,",%
148411,A,"Well, isn't it weird at Christmas time without snow?",qy
148412,B,No.,nn
148413,B,I don't think so.,sd
148414,B,"Well, see last year we had snow at Christmas time.",sd
148415,A,Oh.,b
148416,B,"So it really wasn't, it was weird because we had snow",sd
148417,B,"It's like, wow, it actually fell on the right day.",sd
148418,B,"So, uh, no,",nn
148419,B,it's not.,sd
148420,B,"In fact, uh, you know, we're used to running around in, you know, spring clothes in December,",sd
148421,B,"and so when it throws in a real cool winter, we get broken pipes and, and all that kind of stuff and because Texas is, just isn't built for you know, real cold weather for long periods of time.",sd
148422,A,Yeah.,b
148423,A,"Well, it's real dry down there.",sd
148424,A,"You don't have the humidity either, do you?",qy
148425,B,"No,",nn
148426,B,"not, not were we are.",sd
148427,B,"Now in Houston and stuff they've got it, they've got it where no hairsprayer works.",sd
148428,B,"It's so humid at times,",sd
148429,B,"but here it's, it's just about right.",sd
148430,B,"It's, it's pretty dry and, not too dry where, you know you just, it hurts to breathe,",sd
148431,A,Uh-huh.,b
148432,B,but we're just about right.,sd
148433,A,Yeah.,b
148434,B,"We're just having this, all this rain,",sd
148435,B,and late rain has made it kind of uncomfortable.,sd
148436,B,"Made it, the humidity real high.",sd
148437,A,"Yeah,",b
148438,A,"muggy, huh?",^2
148439,B,"But no,",nn
148440,B,I like it.,sd
148441,B,"Well, we're right in a good stop because we're, you know, we get over in the, over the hundreds in the summer,",sd
148442,A,Uh-huh.,b
148443,B,"but it's, it's not, it's a dry heat",sd
148444,B,"and it's not really as hot and muggy as it would be being over a hundred plus ninety degree humidity, ninety percent humidity,",sd
148445,A,Yeah.,b
148446,B,so.,%
148447,A,"See that's what's bad up here is when we do get the real, you know, hundred and the high nineties, we have the humidity to go with it,",sv
148448,B,Oh.,b
148449,A,so you're like real mucky,sd
148450,A,"and you, you know,",qy
148451,A,your legs stick together just from walking you know.,sd
148452,B,Yeah.,b
148453,B,"Yeah,",b
148454,B,"I know what,",ba
148455,A,"So, um,",%
148456,B,So we like it where we're at.,sd
148457,B,If it's not a whole bunch of everything at once type stuff.,sd
148458,A,Uh-huh.,b
148459,A,Yeah.,b
148460,B,"So. But no,",nn
148461,B,it's interesting when it gets really cold here,sd
148462,B,"and people forget that they're, live in Texas",sd
148463,B,and they don't know how to drive in snow,sd
148464,B,"and, you know. But, uh, I wouldn't trade it for anything",sd
148465,A,"Oh, that's good.",ba
148466,B,I was born in Texas,sd
148467,B,"and I visited other areas,",sd
148468,B,and I'm just a sun person I think.,sd
148469,B,I've gotten used to it.,sd
148470,A,"Well, I don't know",h
148471,A,"Well, I guess that's really about all.",sd
148472,B,"Yeah,",b
148473,B,weather is not real hard to talk about,sv
148474,B,It doesn't last real long either.,sv
148475,B,"I thought the weather is the last thing you talk about,",sd
148476,B,but in this case it's the only thing to talk about.,sd
148477,B,"But, well, Michelle, it's great talking to,",fc
148478,A,Okay.,"fo_o_fw_""_by_bc"
148479,A,"Um, the last movie that I have seen,",sd
148480,A,"it's been, it's been a couple of months.",sd
148481,A,"I saw, um, SLEEPING WITH THE ENEMY and FLATLINERS.",sd
148482,B,"Yes,",b
148483,B,I saw that one.,sd
148484,A,Those were the last two that I've seen.,sd
148485,B,What was the second one?,br
148486,A,FLATLINERS.,sd
148487,B,I didn't see that one.,sd
148488,A,Oh.,b
148489,B,"Did you see those because of, uh, Julia Roberts, or for, uh, the subject matter of the two?",qy
148490,A,"Oh, it was just,",sd
148491,A,"well, someone had,",sd
148492,A,"I had seen the advertisement for FLATLINERS on T V,",sd
148493,A,"and I thought I'd like it,",sd
148494,A,"and then, uh, one of my friends who went to see SLEEPING WITH THE ENEMY, and she told me to go.",sd
148495,A,It was good.,sd
148496,A,So that's why I saw that one.,sd
148497,B,Uh-huh,b
148498,B,"Well, I've, uh,",%
148499,B,I saw SLEEPING WITH THE ENEMY,sd
148500,B,"and I, um, I've seen, uh, well , just recently, um, WHAT ABOUT BOB?",sd
148501,A,"No,",nn
148502,A,"I haven't gotten to see you know, any real recent ones.",sd
148503,A,I like comedies better than I do dramas.,sd
148504,B,"I, uh, am not one for the, uh,",sd
148505,B,"I don't need the suspense movies or the, the movies with lots of, uh, the horror movies with, uh, trying to shake you out of your chair.",sd
148506,A,Uh-huh.,b
148507,A,Did you care for SLEEPING WITH THE ENEMY?,qy
148508,B,"Um, I'm not sure",no
148509,B,"I, uh, I saw it and, uh, because my wife wanted to see it.",sd
148510,A,Uh-huh.,b
148511,B,"Uh, but on the other hand, I'm not sure I would have gone otherwise,",sd
148512,B,"and having gone, uh,",%
148513,B,"well, it really wasn't on a theme that I was, uh, uh, that into,",sd
148514,B,"or, as I say, I prefer the light movies that, uh,",sd
148515,B,"my style of entertainment is, is comedy, uh, primarily and then into action films.",sd
148516,A,Uh-huh,b
148517,A,"well, I didn't care for the movie myself.",sd
148518,B,What?,br
148519,A,I didn't really care for the movie either.,sd
148520,B,"Yeah,",b
148521,B,"you kind of have to like to be, uh, drawn to this point where you aren't sure what's going to happen.",sv
148522,A,"Yeah,",b
148523,A,uh-huh.,b
148524,A,"Well, okay,",b
148525,A,"on likewise then, did you see PRETTY WOMAN?",qy
148526,B,"Uh, yes.",ny
148527,A,Do you enjoy that one?,qy
148528,B,"Uh, it was interesting,",na
148529,A,Uh-huh.,b
148530,B,"well, I'm trying to think of the other one I saw recently, the one on, um, DEFENDING YOUR LIFE.",sd
148531,A,"Oh, I haven't even heard of that one.",sd
148532,B,"Well, that was one where, uh,",sd
148533,B,"it's kind of like,",%
148534,B,to me it's somewhat like PRETTY WOMAN.,sv
148535,B,"The, the story line, um,",sd
148536,B,"if you accept a few of the basic starting points, I guess the rest falls in place.",sd
148537,B,"Uh, it was hard to accept that, uh, this, uh, multimillionaire wheeler dealer would, uh, would, you know, find himself and allow himself to get into that situation.",sd
148538,A,"Uh-huh,",b
148539,A,yeah.,%
148540,A,"Well, I really liked PRETTY WOMAN.",sd
148541,A,"You know, I just,",%
148542,A,"well, you just kind of went with it.",sd
148543,A,"Like you said, you had to accept the beginning of it and just kind of go.",sd
148544,B,Yeah.,b
148545,B,It's sort of a modern CINDERELLA type of story.,sv
148546,A,Yeah.,b
148547,A,"But, um, FLATLINERS, now, it's a drama,",sd
148548,A,"and I don't usually like them,",sd
148549,A,and I really enjoyed it.,sd
148550,A,"I, um, I don't know,",h
148551,A,"it was kind of,",%
148552,A,it made you think a lot I think.,sv
148553,B,Uh-huh.,b
148554,A,Did you see GHOST?,qy
148555,B,Yes.,ny
148556,A,"Okay,",bk
148557,A,"now, did you care for that one?",qy
148558,B,"Uh, that was,",%
148559,B,I enjoyed that one.,na
148560,B,"I, in that I, I guess I, I hate to be too surprised in a movie,",sd
148561,B,"and in that one you could, you could pretty well guess where it was, going to end up.",sd
148562,B,"You weren't sure exactly how it would get there,",sv
148563,B,but you knew where it would end up.,sv
148564,A,Uh-huh.,b
148565,A,"See, now, I didn't,",%
148566,A,"I thought it was an okay movie,",sv
148567,A,but it wasn't something that I would enjoy seeing twice or three times.,sd
148568,B,Uh-huh.,b
148569,A,"I didn't think so, um,",sd
148570,A,I really didn't care for the ending of it.,sd
148571,A,"I thought it was just of like you didn't know this was going to happen,",sv
148572,A,"when, you know,",%
148573,A,"but, um, I don't know, you know.",h
148574,A,"Well, of course, uh, a bunch of girls had told me and warned me,",sd
148575,A,"and they said, ""Oh, it's a real tearjerker,"" and da, da, da, da, da.",sd
148576,A,"Meanwhile, I sat through the movie and said well, when are you, when are you supposed to start crying, you know",sd
148577,B,Yeah.,b
148578,A,"I didn't really, Uh, I didn't really find it to be a tearjerker",sd
148579,B,"Well, whenever she starts crying",sd
148580,B,"Well, do you go to many movies more than once?",qy
148581,A,"Um, if I see them more than once, I see them on video.",na
148582,B,Uh-huh.,b
148583,A,"But like you said, I, I enjoy the comedies a lot better.",sd
148584,A,"In fact, that's where I've seen most of my movies, have been on video.",sd
148585,B,Uh-huh.,b
148586,B,"Well, these days it's, uh,",%
148587,A,You see it on video just as soon as it is on the movie screen.,sv
148588,B,"Well, if you don't, with some of the movies, if you don't go to them within the first four weeks, the movie may have, uh, left town, never to show up again until it comes back in video.",sv
148589,A,Uh-huh.,b
148590,B,"So, uh, unless a movie is popular and stays around, uh, you probably will see it on video these days more likely than at the movie.",sv
148591,A,"Yeah,",b
148592,A,uh-huh.,b
148593,B,"So we have, um,",%
148594,B,"well, I think just most people have V C R now",sv
148595,B,and we probably watch twice as many movies at home as we do at movie theaters.,sd
148596,A,"Oh, yeah.",b
148597,A,Uh-huh.,b
148598,A,"No,",nn
148599,A,"I saw one, it was a drama also,",sd
148600,A,"and I can't think of the name of it now, that, um,",sd
148601,A,"it was a book before it came out in a movie,",sd
148602,A,"and it was, it it was a drama.",sd
148603,B,Did you go to DANCES WITH WOLVES?,qy
148604,A,I wanted to see that.,sd
148605,A,I didn't get to.,sd
148606,B,"I, at least what I hear on that one, that it's coming out a second time in a, in a longer version even though it was a long movie.",sd
148607,A,"Oh, really?",bh
148608,B,It's sort of the uncut version.,sd
148609,B,At least that was some of the rumors.,h
148610,B,"We'll have to see, because it's, uh, there was some talk about that.",sd
148611,B,"I,",%
148612,B,maybe it will come out this fall.,sd
148613,B,"There,",%
148614,B,"we're sort of in the middle of the summer, um, season of a lot of new movies coming out,",sd
148615,B,"but then there's these, um, periods like early fall before Christmas or early spring when there's sort of a quiet period where if you bring something out again, it, uh, will increase the revenues from the movie.",sv
148616,A,Uh-huh.,b
148617,A,"Well, um, what movies are showing down there now?",qw
148618,B,"Oh, I, I'd actually have to get a newspaper out.",sd
148619,B,"My approach to movies is I kind of hear about them, uh,",sd
148620,B,"I keep track of them a little,",sd
148621,B,"but, you know, ask me to name the ten that are out there right now,",sd
148622,B,"and I'd have to say, uh, I, uh, I don't know.",sd
148623,B,"I, I just look at the newspaper before I decide to go",sd
148624,B,"and,",%
148625,A,"Yeah,",b
148626,A,that's pretty much what I do.,sd
148627,A,"I, I know for sure that that one about,",sd
148628,A,what was that one about Bob?,qw
148629,B,"Uh, it's kind of, WHERE'S BOB? or WHAT ABOUT BOB?",sd
148630,A,"I think it's just,",sv
148631,A,"Yeah,",b
148632,A,I think it's just playing now up here.,sv
148633,B,Yeah.,b
148634,B,"Because some of them, they, uh, they'll start in one area of the country,",sv
148635,B,"and if they it's,",%
148636,A,or radio heard faintly in Okay.,"fo_o_fw_""_by_bc"
148637,A,"I, I guess first of all I'll just say we haven't done much, uh, gardening.",sd
148638,A,We do lawn work all the time.,sd
148639,A,"But, uh, our gardening we lost,",sd
148640,A,"remember the last two freezes,",qy^d
148641,A,I don't know how long you've been here,qy^d
148642,B,Yeah,ny
148643,B,I do,sd
148644,A,But we lost our bushes in those and have been waiting to plant new ones.,sd
148645,A,"And so, as far as our bushes, we don't have any",sd
148646,A,but we do have some blackberry bushes.,sd
148647,A,And  and they were really hearty and stayed on,sd
148648,B,"Oh, really.",b
148649,A,and we've done really well with them.,sd
148650,B,Did you plant those yourself?,qy
148651,A,Uh-huh.,ny
148652,A,Yeah.,ny
148653,B,Oh.,b
148654,A,And so they've been really good,sd
148655,A,"and the kids, I had to,",sd
148656,A,the first year I had to tell the kids not to pick them when they were red because they were supposed to be blackberries.,sd
148657,A,"But, uh, we go out,",sd
148658,A,"it, it's hard to go out when it's this hot.",sd
148659,B,Uh-huh.,b
148660,A,"And, uh, but, uh, keep the weeds out of them and, and keep them off the ground so the ants don't eat them.",sd
148661,A,And they're okay.,sd
148662,B,Oh.,b
148663,A,"Yeah,",b
148664,B,That's nice.,ba
148665,B,"I, I love blackberries",sd
148666,B,"and we, uh,",%
148667,B,"when I was smaller, we, my family lived in Tennessee",sd
148668,B,"and there used to be wild blackberries that we'd go out and pick, my brother and I.",sd
148669,B,"But, I don't have any down here.",sd
148670,A,Yeah.,b
148671,A,"Yeah,",b
148672,A,"uh, we have some flowers that have,",sd
148673,A,"they're just are real hearty also,",sd
148674,A,and they're bold,sd
148675,A,and they come up every year,sd
148676,A,"but, uh, they're getting too thick,",sd
148677,A,I need to go thin them out.,sd
148678,A,I don't know what kind of flowers they are.,sd
148679,A,They're real common around here.,sd
148680,A,"They're, they're orange",sd
148681,A,"and they look like a lily, sort of.",sd
148682,B,"Oh, I think I know what they,",sv
148683,B,I can't remember what the name of them are either.,sd
148684,A,"No,",nn
148685,A,but I think they're real pretty when it rains because their petals don't soak the rain in.,sd
148686,A,"They, they keep the, the rain on the outside, little rain drops",sd
148687,B,Oh.,b
148688,A,"and, and they look real pretty after the rain.",sd
148689,A,And so I really like them,sd
148690,A,"but I need to get out and, and, um, do that.",sd
148691,A,"Now as far as our grass, it grows crazy here.",sd
148692,A,It just keeps growing and growing,sd
148693,A,and sometimes my son does it.,sd
148694,A,"But it just is,",%
148695,A,"I don't, I don't know.",h
148696,A,I've lived in Utah my whole life,sd
148697,A,and we can't seem to get ours green.,sd
148698,A,I don't know.,h
148699,B,"Down here, the grass?",br
148700,A,Yeah,ny
148701,B,"Well, I'm,",%
148702,B,we've had problems with our yard.,sd
148703,B,"We,",%
148704,B,it was one big weed is what it was.,sd
148705,A,Uh-huh.,b
148706,B,It was just horrible.,sd
148707,B,And my neighbors on either side of me have beautiful lawns,sd
148708,B,and we have this God awful ugly thing.,sd
148709,B,"And   and I know they must think, you know, I wish those people would do something about their yard.",sd
148710,A,"Crappy I know,",^2
148711,A,we have that too.,sd
148712,B,"But my husband got some new fertilizer and stuff, that, that seems to be helping",sd
148713,B,"and he put it on the front yard to see how, you know, it would do and stuff before he put it on the backyard.",sd
148714,A,Uh-huh.,b
148715,B,But we've got a Great Dane in the back,sd
148716,A,Uh-huh.,b
148717,B,and she has eaten everything I have put out there.,sd
148718,B,She's eaten my crepe myrtle trees.,sd
148719,A,Oh dear.,ba
148720,B,"I know,",ba
148721,B,and she's eaten the bushes.,sd
148722,B,"I've tried to, I spent like eight hours planting this nice garden out there",sd
148723,A,No.,nn
148724,B,"and I barricaded it up, so she couldn't get into it.",sd
148725,A,Uh-huh.,b
148726,B,And I went and took a shower and looked back out there,sd
148727,B,and she was already in it.,sd
148728,B,And I was so mad.,sd
148729,A,Had somehow gotten in.,bf
148730,B,So I can't do anything back,sd
148731,A,Yeah.,b
148732,A,Yeah.,b
148733,B,But I've tried out in the front,sd
148734,B,"but like you said that, that freeze that came.",sd
148735,A,Uh-huh.,b
148736,B,"I had some bushes that, uh, some shrubs I put out front",sd
148737,B,and it killed those too.,sd
148738,B,"So, I'm just real discouraged with the whole thing.",sd
148739,B,I just don't even want to do anything.,sd
148740,A,"The, the other problem that we have,",sd
148741,A,"well it's funny because the one, the two bushes on the ends of the house that I think are ugly, they lived",sd
148742,A,"and so I, I don't know.",h
148743,B,"Yeah,",b
148744,B,"that, that happened to us.",sd
148745,B,"We have these,",sd
148746,A,So like I wanted to go out and kill them too.,sd
148747,B,I know.,ba
148748,A,They had no right to live.,sd
148749,A,"But anyway, uh, under our trees we get a, a north sun",sd
148750,A,"and, uh, the,",%
148751,A,it looks like our trees don't have any grass under them.,sd
148752,B,"Oh, I know.",ba
148753,B,Ours don't.,sd
148754,A,"And we just can't grow, uh, grass underneath there.",sd
148755,B,"I know,",ba
148756,B,we can't either.,sd
148757,B,"But I've got two good size cottonwood trees out in my front yard. Uh, you know one on either side of the yard.",sd
148758,A,Uh-huh.,b
148759,B,"And, and they're big",sd
148760,B,"and they're real full and everything, you know, in the summer time",sd
148761,B,"but it, it's killing everything underneath where the leaves are shading the tree",sd
148762,A,Yeah.,b
148763,B,"but toward the end of the summer, you know, when everything starts dying off and whatnot and then the light can get through the tree, then the grass starts growing.",sd
148764,B,"But, by then it's so late then the winter comes and it stops.",sd
148765,B,"You know, it's, it's  it's a never ending cycle.",sv
148766,A,Right.,b
148767,A,"It's a vicious cycle, isn't it?",qy
148768,B,"Yeah,",ny
148769,B,it really is.,sd
148770,A,"It just really,",sd
148771,B,"So we've been trying to get something or to pull some grass underneath there and, and whatnot.",sd
148772,B,"So,",%
148773,A,"Well, I don't,",%
148774,A,we've never done anything like this,sd
148775,A,"but we've been thinking, you know, if we built up, uh, you know, either a wood, wooden like trench thing around where our bushes were and filled it like with a nice dirt then maybe we could plant some either flowers, or, or some new bushes in there that would live.",sd
148776,B,Uh-huh.,b
148777,A,And so I think that we're going to try that.,sd
148778,B,Huh.,b
148779,A,"I, I think the I think that's pretty much what we have decided.",sd
148780,A,Now I have two long windows,sd
148781,B,Yeah.,b
148782,B,Really,b
148783,B,well I don't really have to worry about that that much because my sons' bedrooms are in the front,sd
148784,B,and they've got mini-blinds and stuff.,sd
148785,A,Yeah.,b
148786,B,"But only, only one is really like in the flower bed part",sd
148787,B,and the other one is out on the porch.,sd
148788,A,Yeah.,b
148789,B,So there's not really much I can do about that.,sd
148790,A,"That's what our two rooms are on the front, too, with these long windows.",sd
148791,A,"One is a bedroom for our, our oldest son",sd
148792,A,"and one is, uh, an office that my husband and I work in.",sd
148793,A,"And so, I, I really don't like it too much because then the back of our house faces that,",sd
148794,A,"well, the flowers are out by the back of the house,",sd
148795,A,"so, and that's why the front room is.",sd
148796,A,So that's not too bad.,sd
148797,B,Yeah.,b
148798,A,"But, I like to look at the flowers.",sd
148799,A,They're pretty.,sd
148800,B,"I do too,",aa
148801,B,that's why I look at my neighbors yard,sd
148802,A,Yeah.,b
148803,B,I don't have anything to look at,sd
148804,B,so I look at theirs.,sd
148805,A,"But it's funny because, uh, you try so hard I think sometimes to, to, anyway I do, to do our yard",sv
148806,B,Uh-huh,b
148807,A,and then it's like the wind blows everything whether the weeds from your yard to your neighbors or yours  to them,sd
148808,B,Yeah,b
148809,A,"or and so even if you did get it under control, it seems like in just a few months it would all be back",sv
148810,A,and,%
148811,B,Yeah.,b
148812,B,"It, it's really a pain.",sd
148813,B,My husband works a lot,sd
148814,B,"so, um, a lot,",sd
148815,A,It's hard to get out a lot and do that yard work.,^2
148816,B,Yeah,b
148817,B,"I'm,",%
148818,B,it's usually me and the kids that go out and mow the yard,sd
148819,B,and and I just I really do not appreciate having to go out there and do it.,sd
148820,A,Uh-huh.,b
148821,B,"I hate to mow the yard, more than anything else.",sd
148822,B,I hate to mow that yard.,sd
148823,A,I know.,ba
148824,A,"It is, it's not my favorite, thing in the world either.",sd
148825,A,I'm glad I have an old enough son to do it for me now.,sd
148826,B,"Yeah,",b
148827,B,well mine's getting there.,sd
148828,B,"He helps,",sd
148829,B,he does half,sd
148830,B,"and I do half,",sd
148831,A,Uh-huh.,b
148832,A,Yeah.,b
148833,A,Yeah,b
148834,A,"Well that is one chore that we will pay him for, if he'll go do the yard work out, outside,",sd
148835,B,"Oh sure I'll be more then glad to pay him  if he'd just go out there and do it and, and do it to where I don't have to go back out and redo it.",sv
148836,A,Right.,aa
148837,A,Exactly.,aa
148838,B,"That, that's my only thing with him.",sd
148839,A,Exactly.,aa
148840,B,"That's why I'm help, having him help me now fade at end of",sd
148841,A,"Okay,","fo_o_fw_""_by_bc"
148842,A,"well, some of the things I like to do are,",sd
148843,A,I like to knit.,sd
148844,A,"I knit sometimes,",sd
148845,A,and I sew,sd
148846,B,Uh-huh.,b
148847,A,"and, uh, I like to sew sometimes for my kids.",sd
148848,A,"I, I sew clothes for them every once in a while.",sd
148849,B,Uh-huh.,b
148850,A,And I make quilts.,sd
148851,B,"Oh, wow,",ba
148852,B,that's the next project that I'd like to learn to do.,sd
148853,B,I do mostly hand needlework like cross stitch and crewel embroidery,sd
148854,B,"and I'm, I'm beginning to get a little bored with cross stitch.",sd
148855,B,I was thinking maybe need to learn to quilt.,sd
148856,A,"After a while, cross stitch, I",sd
148857,A,I don't know.,h
148858,A,I have to put it away,sd
148859,B,It gets boring.,sv
148860,A,and then I have to bring it back.,sd
148861,B,Uh-huh.,b
148862,A,"You know. And, and, uh, I don't know why that is.",sd
148863,A,I don't know if it's looking at the little things every time.,sd
148864,B,"Well, it reaches a point where it doesn't seem to be very challenging, I think.",sv
148865,A,"Yeah,",aa
148866,A,that might be it.,aa
148867,B,But I do a lot of it in the car.,sd
148868,A,That might,aa
148869,A,"and yet, there's,",%
148870,B,"We,",%
148871,A,"Oh, do you?",bh
148872,B,"Yeah,",ny
148873,B,we commute from Plano to Dallas,sd
148874,A,Oh.,b
148875,B,so I have nearly an hour both ways that I can really get a lot of work done,sd
148876,B,and I found that cross stitch is the easiest to do in the car.,sd
148877,A,"Oh, I bet.",ba
148878,A,Yeah.,b
148879,B,I don't know that I could even think about quilting.,sd
148880,B,"You have to have a pretty good frame, don't you, to do any kind of quilting work?",qy
148881,A,Yeah.,ny
148882,A,Yeah.,ny
148883,A,"Uh, I've not really done any, too much challenging, uh, stuff.",sd
148884,A,"I, I can do it with a, a needle and thread you know, but, uh, and get about five small stitches in, which is pretty good,",sd
148885,B,Uh-huh.,b
148886,A,but it's very long.,sd
148887,B,Uh-huh.,b
148888,A,"It's very tedious if you don't have a whole group, you're not finishing a quilt in a long time",sd
148889,B,"Oh, I bet.",ba
148890,A,"So, uh,",%
148891,B,"But, it's such a lost art.",sv
148892,A,"So, uh, I like to just mostly do the tie quilts.",sd
148893,B,Uh-huh.,b
148894,A,That's so much easier.,sd
148895,B,Yes.,aa
148896,A,"But, uh, the other ones are very pretty.",sd
148897,A,"They're, uh,",%
148898,A,"we have a quilt on our bed that's,",sd
148899,A,"instead of, like, yarn they tied, uh, ribbon into it.",sd
148900,B,Uh-huh.,b
148901,B,Oh.,b
148902,A,And it's real pretty.,sd
148903,B,I bet.,ba
148904,A,It's real pretty.,sd
148905,B,There's so many things I wish I had learned to do with my mother.,sd
148906,B,She had crocheted a full bedspread.,sd
148907,B,It's kind of a hobnail looking thing.,sd
148908,A,"Oh, wow.",ba
148909,B,"And when I look at it now, she's been dead for a long time I think oh, why didn't I learn these crafts and skills from her because she could crochet and do so many of the old things that aren't in vogue right now that people just don't know how to do.",qh
148910,A,Uh-huh.,b
148911,A,Uh-huh.,b
148912,A,Now did you say you could knit?,qy
148913,B,No.,nn
148914,A,Oh.,b
148915,B,Uh-huh.,b
148916,B,Haven't tried that either.,sd
148917,A,"Well, I was going to say because, Because if you could knit, you could crochet.",sv
148918,B,I want to learn to crochet.,sd
148919,B,"I,",%
148920,B,Really?,bh
148921,A,"It's just like doing one handed as long as you learn how to, to weave the, the yarn in between your fingers on your left hand.",sv
148922,B,Uh-huh.,b
148923,A,And then you just use your right hand with the hook.,sv
148924,B,Uh-huh.,b
148925,A,"And that's not,",%
148926,A,it's really not too difficult.,sd
148927,A,"You could learn that, I'm sure and pick that up.",sv
148928,B,Yeah.,b
148929,B,Yeah.,b
148930,A,"If you, I think if you can do any handicraft, you can learn to crochet.",sv
148931,B,Uh-huh.,b
148932,A,It's not too difficult.,sd
148933,B,"It's funny, when you were talking about sewing, I love to do anything by hand with a needle.",sd
148934,A,Yeah,b
148935,B,But I'm totally intimidated if I sit down at a sewing machine.,sd
148936,B,"I never learned,",sd
148937,B,and I get real nervous whereas usually the other needlework stuff is relaxing to me.,sd
148938,A,Isn't that interesting.,qh
148939,B,But I just have a phobia about not being able to actually sew.,sd
148940,A,I think that's really interesting.,sv
148941,B,Uh-huh.,b
148942,A,Huh.,b
148943,A,"And yet, you know, I think about, you know,",sd
148944,A,you said you do a lot of needlework,sd
148945,A,"and, and there are some beautiful, just gorgeous patterns that people do.",sd
148946,B,Uh-huh.,b
148947,A,"And I, I just think that, uh, that's one of, one of the arts that I think are really pretty.",sd
148948,A,And a lot of people don't do that either.,sv
148949,B,Uh-huh.,b
148950,A,"You know, and so,",%
148951,B,"Well, it's hard to find the time.",sd
148952,B,"I, I wouldn't if I didn't have this car time ability probably because at night if I sit down, I'm doing something with the kids or just not sitting down at all",sv
148953,A,Yeah.,b
148954,A,Yeah.,b
148955,A,That's true.,aa
148956,A,"You know, and, and I always think, well, I can do this and watch T V or something you know.",sd
148957,B,Uh-huh.,b
148958,A,"And, uh, it seems like I always get my mind carried away to something else",sd
148959,A,and then it doesn't quite work,sd
148960,B,"Well, it,",%
148961,A,"or,",%
148962,B,I'm at the age where bifocals or trifocals would be necessary.,sd
148963,B,"It's so I find myself putting glasses on to, to watch T V and then taking them off to do needlework",sd
148964,B,and I get frustrated doing that,sd
148965,B,so Just give it up.,sd
148966,A,"And, you know, I like to sketch.",sd
148967,A,"I can, I can sketch something, like if I see a picture, like, out of a book, I can sketch that",sd
148968,B,Ooh.,b
148969,A,"and that's nice and everything,",sd
148970,A,"but, you know, it's funny,",sd
148971,A,I can't I can't draw it out of my own head kind of thing.,sd
148972,B,Uh-huh.,b
148973,A,I wish I could.,sd
148974,A,"And, and yet I can't do, you know, like, like, uh, craft, uh, on wood.",sd
148975,B,Uh-huh.,b
148976,A,I can't do that painting thing.,sd
148977,B,Yeah.,b
148978,A,"And yet,",%
148979,B,I'm the same way.,aa
148980,B,"If I see something, I can copy it,",sd
148981,B,but I certainly can't create.,sd
148982,B,I admire people that have that in their minds already.,sd
148983,A,"Yeah,",aa
148984,A,"me, too.",aa
148985,A,"Me, too.",aa
148986,A,I know a woman who's just wonderful at that.,sd
148987,B,Uh-huh.,b
148988,A,And I look at it,sd
148989,A,"and, you know, you look at those things",sd
148990,A,and you wish so badly that you could do them.,sv
148991,A,"I guess, if you wanted to, you could take classes and learn.",sv
148992,A,I guess that's the only way I could do it.,sd
148993,B,"Well, sometimes, even with that. I, I think you have to have some,",sd
148994,A,"Okay,","fo_o_fw_""_by_bc"
148995,A,what kind of fishing do you do?,qw
148996,B,"Well, mostly, uh, a, a little fresh water fish,",sd
148997,B,but mostly lake fishing like rainbow trout and stuff because I used to live in Utah.,sd
148998,A,Uh-huh.,b
148999,B,"But, uh, down here I haven't fished much in Texas.",sd
149000,A,That's one of the few things I've ever fished for is rainbow trout.,sd
149001,B,"Oh, they're really not,",sd
149002,B,I think they're good to eat.,sv
