en,ru
"and, uh, you know, if, if you could have a thought of something like, uh, like a, uh, uh, a Peace Corps sort of organization. I mean, this would be so useful, just in, uh, for instance, just helping old folks.","и, э-э, вы знаете, если бы, если бы у вас могла возникнуть мысль о чем-то вроде, э-э, типа, э-э, э-э, организации типа Корпуса мира. Я имею в виду, это было бы так полезно, просто, э-э, например, просто помогать старикам."
"Uh-huh,","Ага,"
exactly.,точно.
"You know, they, you know they need help,","Ты знаешь, они, ты знаешь, что им нужна помощь,"
"they don't have anybody to depend on,","им не на кого положиться,"
"and it would be nice to have somebody come over and cut their yard or paint their house, or do minor repairs, or something like that.","и было бы неплохо, если бы кто-нибудь пришел и подстриг их двор, или покрасил их дом, или сделал мелкий ремонт, или что-то в этом роде."
"You know, I've, I've I,","Ты знаешь, я, я, я,"
"my, my parents are in their late sixties now,","моим родителям сейчас под шестьдесят,"
"and, um, so many of the people that live around them are unable to do those things for themselves anymore.","и, гм, так много людей, которые живут вокруг них, больше не в состоянии делать эти вещи для себя."
Yeah.,Да.
"And, it's, it's really hard on them,","И это, это действительно тяжело для них,"
"and the, you know, the thought that I, I see the, uh, the mall rats, you know, walking around the mall, nothing better to do than just walk around the mall all day long, when they could be doing something to help someone.","и, знаете, мысль о том, что я, я вижу, э-э, торговых крыс, вы знаете, разгуливающих по торговому центру, нет ничего лучше, чем просто бродить по торговому центру весь день напролет, когда они могли бы что-то сделать, чтобы кому-то помочь."
Uh-huh.,Угу.
Yeah.,Да.
"And, uh, you know, there's a, uh, a nice warm feeling,","И, э-э, вы знаете, возникает, э-э, приятное теплое чувство,"
"I remember getting out of doing things like that when I was younger,","Я помню, как перестал заниматься подобными вещами, когда был моложе,"
Yeah.,Да.
"I mean, I was a Boy Scout","Я имею в виду, я был бойскаутом"
"and the whole bit and,","и весь этот кусочек, и,"
"Yeah,","Да,"
"my mom's in the same position, late sixties,","моя мама в таком же положении, ей под шестьдесят,"
"and, and it got to the, got to the point where, I mean, me and my brother both were, were gone, and she couldn't maintain the house, without large expenditures of money.","и, и это дошло до того, дошло до того, что, я имею в виду, мы с моим братом оба уехали, и она не могла содержать дом без больших затрат денег."
Yeah.,Да.
"You know, it finally got to a point where she just had to sell it and move into an apartment.","Вы знаете, в конце концов дошло до того, что ей просто пришлось продать его и переехать в квартиру."
"And, uh, I, I'm not, I'm not saying that that wouldn't have happened anyway,","И, э-э, я, я не, я не говорю, что этого бы все равно не произошло,"
"but it would have been nice if there had been somebody to come around and take care of the little things. You know, like the, like the yard work and little repairs, and painting and stuff like that.","но было бы неплохо, если бы нашелся кто-нибудь, кто мог бы прийти и позаботиться о мелочах. Ну, знаете, например, работа во дворе, небольшой ремонт, покраска и все такое прочее."
Yeah.,Да.
"I think there'd, there'd be a, you know, a, uh, economic benefit for, you know, everyone concerned, those doing the work, and those receiving the, the, uh, the services.","Я думаю, что была бы, ну, знаете, экономическая выгода для, ну, знаете, всех заинтересованных сторон, тех, кто выполняет работу, и тех, кто получает, ну, услуги."
"Oh yeah,","О да,"
sure.,конечно.
"Sure,","Конечно,"
"I mean, I mean, the kids who would be giving the service are going to get a lot more out of it than just money.","Я имею в виду, я имею в виду, что дети, которые будут оказывать эту услугу, получат от этого гораздо больше, чем просто деньги."
Yeah.,Да.
"You know, that,","Вы знаете, что,"
"I, I remember when I was a kid, I used to do little, little things for the old folks around the neighborhood,","Я, я помню, когда я был ребенком, я делал маленькие-пребольшие вещи для стариков по соседству,"
"and, uh, I know how it made me feel.","и, э-э, я знаю, что это заставило меня почувствовать."
"You know, you uh,","Ты знаешь, ты э-э-э,"
people just don't help people anymore.,люди просто больше не помогают другим.
"They're, they're out for themselves","Они, они сами по себе"
"and,","и,"
Yeah.,Да.
"I think, uh, President Bush covered that in his, uh, State of the Union Address this year when he said that, you know, it's time for, you know, the individuals to start thinking about what they can do to help each other out instead of counting on government to do everything.","Я думаю, э-э, президент Буш затронул это в своем, э-э, Обращении к государству Союза в этом году, когда он сказал, что, знаете, пришло время, знаете, отдельным людям начать думать о том, что они могут сделать, чтобы помочь друг другу, вместо того, чтобы рассчитывать на то, что правительство сделает все."
"Yeah,","Да,"
"well that's, that's the, that's the point we've gotten to, you know.","ну, это, это, это тот момент, к которому мы подошли, ты знаешь."
Every time somebody wants something they always turn to the government.,"Каждый раз, когда кто-то чего-то хочет, они всегда обращаются к правительству."
"And, the government's going to be limited.",И правительство будет ограничено.
"I, where are they going to get the money?","Я, где они собираются взять деньги?"
They're going to get it from us.,Они собираются получить это от нас.
And we can do it a lot more efficiently than the government.,"И мы можем сделать это намного эффективнее, чем правительство."
Yeah.,Да.
We don't need to add fourteen layers of bureaucracy to a program.,Нам не нужно добавлять к программе четырнадцать уровней бюрократии.
Exactly.,Точно.
"Um, the thing that Carter works on, uh, Habitats For Humanity, I was involved in that uh, in Montgomery, before I came up to North Carolina,","Эм, то, над чем работает Картер, эм, Среда обитания для человечества, я был вовлечен в это, эм, в Монтгомери, прежде чем приехал в Северную Каролину,"
Uh-huh,Ага
"and, uh, it was, it was a pretty neat little program.","и, э-э, это была, это была довольно аккуратная маленькая программа."
"We'd just go out,","Мы бы просто пошли куда-нибудь,"
"and they would buy a plot of land, and contractors and builders,","и они купили бы участок земли, и подрядчиков, и строителей,"
"and everybody else would donate their, their time,","и все остальные пожертвовали бы своим, своим временем,"
"and, uh, the materials were at cost.","и, э-э, материалы были по себестоимости."
And we'd put up houses.,И мы бы построили дома.
"And, that was kind, that was kind of neat.","И это было мило, это было в некотором роде опрятно."
"I, uh, in a way, I think it's a little bit inefficient,","Я, э-э, в некотором смысле, я думаю, что это немного неэффективно,"
"but, but it's better than nothing.","но, но это лучше, чем ничего."
Yeah.,Да.
"And, and at least I had the opportunity of seeing two families move into decent housing.","И, по крайней мере, у меня была возможность увидеть, как две семьи переезжают в приличное жилье."
"Um, course, on the other hand, I can start complaining very loudly about people on public assistance who are quite capable of doing something for themselves, but just won't. Because it's far more advantageous for them to sit there and just draw, uh, welfare money than it is to work.","Хм, конечно, с другой стороны, я могу начать очень громко жаловаться на людей, получающих государственную помощь, которые вполне способны что-то сделать для себя, но просто не хотят. Потому что им гораздо выгоднее сидеть там и просто получать, э-э, деньги на социальное обеспечение, чем работать."
Yes.,Да.
"Uh, we did a, uh, a cost comparison in one of my courses,","Э-э, мы провели, э-э, сравнение затрат на одном из моих курсов,"
"and we took all the benefits that a family, that a, a married couple with two kids would get under welfare, and what they would be making at minimum wage.","и мы взяли все льготы, которые семья, супружеская пара с двумя детьми получила бы в рамках социального обеспечения, и то, что они зарабатывали бы при минимальной заработной плате."
"And they came out four thousand dollars better a year, by taking welfare.","И они зарабатывали на четыре тысячи долларов больше в год, принимая пособие."
Yes.,Да.
So there's no incentive for them to do anything.,Так что у них нет стимула что-либо делать.
Far better for them to sit on their butts and draw the money.,Для них гораздо лучше сидеть на задницах и вытягивать деньги.
Yeah.,Да.
"One of the things they tried to push through in Maryland, and, uh, weren't very successful was that if you were an able-bodied person on welfare, you had to do some work.","Одна из вещей, которую они пытались протолкнуть в Мэриленде и, э-э, не очень преуспели, заключалась в том, что если ты трудоспособный человек, получающий пособие, ты должен был выполнять какую-то работу."
You had to do something.,Ты должен был что-то сделать.
"And,","И,"
Yeah.,Да.
"and that's been tried, that was tried in Alabama too,","и это уже пытались сделать, это тоже пытались сделать в Алабаме,"
and it got shot down.,и его сбили.
Yeah.,Да.
I and I don't understand the reasoning for it.,Я и я не понимаем причин этого.
I really don't.,Я действительно не знаю.
"It, it seems perfectly logical that if somebody's going to take public money, then they should return something to the public.","Кажется совершенно логичным, что если кто-то собирается взять государственные деньги, то он должен что-то вернуть обществу."
"I mean, if nothing else, go out along an interstate and pick up garbage.","Я имею в виду, если ничего другого нет, поезжайте вдоль автомагистрали между штатами и соберите мусор."
That's exactly what they were trying to get them to do.,"Это именно то, что они пытались заставить их сделать."
Yeah.,Да.
"What do they, what do they do in Maryland,","Что они, что они делают в Мэриленде,"
do they use highway people,они используют людей с большой дороги
or do they use prisoners?,или они используют заключенных?
"Um, both.","Эм, и то, и другое."
Yeah.,Да.
"that's the way they did it in Alabama, too.",точно так же они поступили и в Алабаме.
"Yeah,","Да,"
they use both.,"они используют и то, и другое."
"usually you'd see these big chain gangs out there, picking up trash.","обычно вы видели бы там эти большие сетевые банды, собирающие мусор."
"Uh, they have a, they have another program in Maryland that's called Adopt A Highway.","Э-э, у них есть, у них есть еще одна программа в Мэриленде, которая называется ""Усынови шоссе""."
"Uh-huh,","Ага,"
uh-huh.,угу.
"Yeah,","Да,"
we have that here in North Carolina.,"у нас это есть здесь, в Северной Каролине."
"Well, good afternoon to you, Mary.","Что ж, добрый день тебе, Мэри."
"First,  let me ask you, what's, what's the weather like up there to begin with?","Во-первых, позвольте мне спросить вас, какая погода там, наверху, для начала?"
"And good,","И хороший,"
"Well, well, today, uh, when I got up it was twenty-nine degrees.","Так, так, сегодня, э-э, когда я встал, было двадцать девять градусов."
"Yes,","Да,"
and it managed to get up to about fifty this afternoon,и сегодня днем ему удалось подняться примерно до пятидесяти
"but it's been cloudy, overcast and threatening rain all day.","но весь день было облачно, пасмурно и грозил дождь."
That sounds more like our winter weather down here.,Это больше похоже на нашу здешнюю зимнюю погоду.
"And we've also had extremely strong winds, fifteen to twenty miles an hour,  for the day.","И еще у нас в течение дня был чрезвычайно сильный ветер, от пятнадцати до двадцати миль в час."
Um.,Хм.
"Well, you know, I bet that's what we, that storm we had last night.","Ну, ты знаешь, бьюсь об заклад, это то, что мы, та буря, которая была у нас прошлой ночью."
Is that right?,Это правильно?
"Oh, we had a frog strangler go sweeping through here, uh, yesterday and last night.","О, у нас тут вчера и прошлой ночью был лягушачий душитель, который прочесывал окрестности."
And we're expecting another one tonight.,И мы ожидаем еще одного сегодня вечером.
"Oh, really?","О, правда?"
"Oh, I mean it was raining so hard you could swim down the street.","О, я имею в виду, что шел такой сильный дождь, что можно было плавать по улице."
"We had one of those two days ago. But not, uh, but, uh, no rain at all yesterday and, uh, no rain today.","У нас был один из таких два дня назад. Но не, э-э, но, э-э, вчера вообще не было дождя, и, э-э, сегодня дождя нет."
Uh-huh.,Угу.
"Well, it's probably on its way up there.","Что ж, вероятно, он уже на пути туда."
It was heading north.,Он направлялся на север.
Thanks a lot,Большое спасибо
couldn't you send us some nice weather?,не могли бы вы прислать нам какую-нибудь хорошую погоду?
"Well, it was nice today.","Что ж, сегодня было приятно."
"Oh, was it?","О, так это было?"
"Uh, in between the thunder showers,","Э-э, в перерывах между грозовыми ливнями,"
yes.,да.
"Well, the, one thing's for sure we can always discuss the weather,","Что ж, одно можно сказать наверняка, мы всегда можем обсудить погоду,"
how some ever we can't do very much to change it.,"как иногда мы мало что можем сделать, чтобы это изменить."
"Well, you know, what they say about the weather here in Texas?","Ну, вы знаете, что говорят о погоде здесь, в Техасе?"
What's that?,Что это такое?
"If you, if you don't like it, wait five minutes, it'll change.","Если тебе, если тебе это не нравится, подожди пять минут, все изменится."
"Oh, yes,","О, да,"
well that's about the way our weather is here also.,"что ж, примерно такая же погода и у нас здесь."
Uh-huh.,Угу.
"And I grew up in Saint Louis,","И я вырос в Сент-Луисе,"
and Saint Louis was much the same.,и Сент-Луис был почти таким же.
Uh-huh.,Угу.
"Well, tell me, uh, is, is it normally that cold up there in, in the Spring?","Ну, скажи мне, э-э, там обычно так холодно весной?"
"No,","Нет,"
it's not.,это не.
"This is, uh, about, uh, ten degrees cooler than usual.","Здесь, э-э, примерно, э-э, на десять градусов холоднее, чем обычно."
But about a week ago we were up to eighty and eighty-five degrees.,Но примерно неделю назад у нас было до восьмидесяти - восьмидесяти пяти градусов.
You're kidding?,Ты шутишь?
"No,","Нет,"
"no,","нет,"
"it, uh, it fluctuates from one extreme to the other it seems.","это, э-э, кажется, колеблется от одной крайности к другой."
"You, are you sure you didn't leave your refrigerator door open?","Ты, ты уверен, что не оставил дверцу своего холодильника открытой?"
I'm sure I didn't.,"Я уверен, что я этого не делал."
I was ready to turn on the air conditioning.,Я был готов включить кондиционер.
"It, no, it really was extremely warm.","Это, нет, это действительно было очень тепло."
It only got down to about sixty-five in the evening.,Вечером было всего около шестидесяти пяти.
Um-hum.,Хм-хм.
"We had about three or four days of that,","У нас было на это около трех или четырех дней,"
"and then all of a sudden a cold front came down and, uh, temperatures dropped thirty degrees in a very short length of time.","а потом внезапно обрушился холодный фронт, и, э-э, температура упала на тридцать градусов за очень короткий промежуток времени."
"And, uh, it has gone down gradually each day.","И, э-э, это постепенно снижалось с каждым днем."
"This morning it was twenty-nine,","Сегодня утром было двадцать девять,"
yesterday it was about thirty-two.,вчера было около тридцати двух.
"Uh,  cars were scraping, ice off their cars this morning if they've been sitting out all night.","Э-э, машины этим утром соскребали лед со своих машин, если они просидели на улице всю ночь."
Oh.,Ой.
"So it,  it really wasn't too, wasn't too pleasant","Так что это, это действительно было не слишком, не слишком приятно"
"Oh, Mother Macree.","О, матушка Макри."
"No,","Нет,"
I should say not.,"Я бы сказал, что нет."
"Well, I, I, sincerely hope that you don't have that terrible storm we had.","Что ж, я, я искренне надеюсь, что у вас не будет той ужасной бури, которая была у нас."
"Oh, I hope,  not.","О, я надеюсь, что нет."
"I hope,  it doesn't reach you up there.","Я надеюсь, что это не дойдет до вас там, наверху."
"Well, they are predicting rain and thunderstorms,","Что ж, они предсказывают дождь и грозу,"
and I wouldn't be a bit surprised by what we would not be getting the same weather you had.,"и я бы ни капельки не удивился тому, что у нас не будет такой же погоды, как у вас."
"Well, I,","Что ж, я,"
"let's hope it,","будем надеяться, что это,"
"well, if it's the same as what we had, at least it'll be warmer.","что ж, если это то же самое, что было у нас, по крайней мере, будет теплее."
"Uh, yeah.","Э-э, да."
"Yes,","Да,"
"warm rain,","теплый дождь,"
"well, of course, by the time it gets up here it may run into a cold front coming down from Canada.","ну, конечно, к тому времени, когда он доберется сюда, он может столкнуться с холодным фронтом, идущим из Канады."
"Yeah,","Да,"
"oh, boy,","о, боже,"
"the, that, whew, that would be tear disastrous. If you,  had that rain storm and freezing weather.","то, что, фух, это было бы просто катастрофично. Если бы у вас была такая гроза с дождем и морозная погода."
Yes.,Да.
Yes.,Да.
Oh.,Ой.
"We had, uh, a week ago they had golf ball size hail coming down in one part of the, uh, of the city of Dayton itself.","У нас был, э-э, неделю назад в одной части, э-э, самого города Дейтон выпал град размером с мяч для гольфа."
Uh-huh.,Угу.
"And, uh, then we just had about an inch and a half or two inches of rain in less than an hour.",А потом у нас выпало всего полтора-два дюйма дождя меньше чем за час.
It was just coming down by the bucketfulls and a great deal of lightning.,"Он просто валил как из ведра, и было много молний."
"Oh,  yes.","О, да."
"So,  it, it wasn't, uh, it wasn't conditions to being out in it","Так что это, это не было, э-э, это не было условием для того, чтобы быть в этом"
and I had just gotten home.,и я только что вернулся домой.
We had a lot of tornado warnings also.,У нас также было много предупреждений о торнадо.
"And I had gotten home shortly before that, uh, the rain started.","И я вернулся домой незадолго до того, как... э-э-э... начался дождь."
"So, uh, I felt a little more secure that I was at home rather than having to be out driving in it.","Так что, э-э, я чувствовал себя немного в большей безопасности, находясь дома, а не за рулем в нем."
Uh-huh.,Угу.
"Well, uh, I heard on the news this morning that, um, one of our local schools, uh, lost the roof of their gymnasium.","Ну, э-э, я услышал в новостях этим утром, что, э-э, одна из наших местных школ, э-э, потеряла крышу своего спортзала."
Is that right?,Это правильно?
And they suspected may have been a tornado.,"И они подозревали, что это мог быть торнадо."
Uh-huh.,Угу.
"But, uh, uh, thank God for small favors, the, uh, uh,","Но, э-э-э, благодарю Бога за маленькие одолжения, э-э-э,"
"what do they call them? The, the, the marching band or something?",как они их называют? Марширующий оркестр или что-то в этом роде?
Yeah.,Да.
"Uh, uh, had just quit rehearsal about a half hour before.","Э-э-э, только что закончил репетицию примерно за полчаса до этого."
"Oh, they,","О, они,"
"that was, very, very fortunate for them because that could have really been disastrous.","это было очень, очень удачно для них, потому что это могло бы действительно обернуться катастрофой."
"Oh, and how.","О, и еще как."
"Well, of course this is tornado season, uh,","Ну, конечно, сейчас сезон торнадо, э-э,"
"in to, uh,","в, э-э-э,"
"we have many tornadoes spawned in this area. And northern Indiana,","у нас в этом районе возникло много торнадо. И северная Индиана,"
"now we're in the southwestern part of, uh, Ohio,  just forty miles north, due north of Cincinnati,","сейчас мы находимся в юго-западной части, э-э, Огайо, всего в сорока милях к северу, прямо к северу от Цинциннати,"
Uh-huh.,Угу.
"and, uh, but, uh, northern Indiana, has many tornadoes come roaring across.","и, э-э, но, э-э, по северной Индиане с ревом проносится много торнадо."
"And we get the backlash off of it, if not the part of the tornado itself.","И мы получаем от этого негативную реакцию, если не часть самого торнадо."
Uh-huh.,Угу.
"So, uh, we, you know, we get a lot of bad weather in this area.","Итак, э-э, мы, вы знаете, у нас в этом районе часто бывает плохая погода."
"But of course you're supposed to be the sun belt,","Но, конечно, предполагается, что ты - солнечный пояс,"
and I do know that you get some freezing weather down there on occasion.,"и я действительно знаю, что у вас там иногда бывает довольно морозная погода."
"Oh, yeah.","О, да."
"Well, during the winter,","Ну, а зимой,"
"yes,","да,"
we do.,мы делаем.
"Uh, we've had, uh, well, past four or five years, I guess, at least one day during the year when just everything would just close down because we'd have freezing rain.","Э-э, у нас был, э-э, ну, за последние четыре или пять лет, я думаю, по крайней мере, один день в году, когда все просто закрывалось, потому что шел ледяной дождь."
Um-hum.,Хм-хм.
"And, uh, of course people down here, they just don't know how to handle themselves","И, э-э, конечно, люди здесь, внизу, они просто не знают, как вести себя"
"and,","и,"
Right.,Верно.
"Yes,","Да,"
"I was going to say that it does make a difference when you're not accustomed, to, uh,  having to,  drive in it.","Я собирался сказать, что это действительно имеет значение, когда вы не привыкли, э-э, к необходимости ездить в нем."
"Well, uh,  not only that,","Ну, э-э, не только это,"
"but, we're, we're don't have the equipment to handle it either.","но у нас, у нас тоже нет оборудования, чтобы справиться с этим."
"Right,","Правильно,"
right.,верно.
"Uh,  they go out there,","Э-э, они выходят туда,"
"And,","И,"
"and the,","и,"
"well all you can do with, with, uh, freezing rain of course, is spread sand on the ice.","ну, все, что вы можете сделать с, э-э, ледяным дождем, конечно, это посыпать лед песком."
Right.,Верно.
"And, but, uh, you know, we don't even have vehicles that will do that.","И, но, э-э, вы знаете, у нас даже нет транспортных средств, которые могли бы это сделать."
Um-hum.,Хм-хм.
Right.,Верно.
"Well, uh, well here what they do and I, I contend that it's certainly not the right thing to do, they spread salt.","Ну, э-э, ну вот что они делают, и я, я утверждаю, что это, конечно, неправильно, они рассыпают соль."
"And of course the salt does melt the ice,","И, конечно, соль действительно растопляет лед,"
"but then what melts immediately freezes and becomes, uh, a perpetual problem.","но тогда то, что тает, немедленно замерзает и становится, э-э, вечной проблемой."
"Oh, it sure does do that.","О, это действительно так."
"Yeah,","Да,"
"they, well we, they do that down here too.","они, ну, мы, они тоже делают это здесь, внизу."
They mix the salt in with the sand.,Они смешивают соль с песком.
"Well, sand, and, uh,","Ну, песок, и, э-э-э,"
"but I have learned to do, is, uh, now that I am alone, is, uh, to carry bags of salt in the trunk of my car.","но я научился делать, э-э, теперь, когда я один, это, э-э, таскать мешки с солью в багажнике своей машины."
"Um, not only in case I need it for that for traction but for additional weight,  in the, back of the car.","Хм, не только на случай, если мне это понадобится для тяги, но и для дополнительного веса в задней части машины."
Yes.,Да.
Uh-huh.,Угу.
"And then of course kitty litter is also excellent for that. I don't know whether you've ever thought in terms of,  that","И тогда, конечно, наполнитель для кошачьего туалета также отлично подходит для этого. Я не знаю, думали ли вы когда-нибудь в терминах того, что"
Uh-huh.,Угу.
"I've,","Я,"
"but,","но,"
"no,","нет,"
I'm a dog lover myself.,Я сам любитель собак.
yeah.,да.
"Well Well, the dogs don't use litter.","Ну-ну, собаки не пользуются подстилкой."
"But kitty litter is excellent for, uh, getting under the wheels of cars","Но наполнитель для кошачьих туалетов отлично подходит для того, чтобы, э-э, попадать под колеса машин"
and what have you and giving you traction.,"и то, что есть у вас, и то, что дает вам тягу."
I guess it would be.,"Я думаю, так оно и было бы."
Uh-huh.,Угу.
"Yeah,","Да,"
"it, uh, works out, uh, really quite well.","это, э-э, получается, э-э, действительно довольно хорошо."
"Course I have, I have a dog also.","Конечно, есть, у меня тоже есть собака."
"My son brought me a little Lhasa Apso, uh, for my birthday last Thanksgiving.","Мой сын принес мне маленькое Лхасское апсо, э-э, на мой день рождения в прошлый день благодарения."
Oh.,Ой.
He brought him from Dallas.,Он привез его из Далласа.
"He,","Он,"
"Oh, wasn't that nice of him?","О, разве это не мило с его стороны?"
"Yes,","Да,"
"that, uh,","это, э-э,"
"he just thought I had been without a dog, uh, for three years.","он просто подумал, что я был без собаки, э-э, в течение трех лет."
That was long enough.,Этого было достаточно долго.
"Uh,","Ух,"
"He, he had,","Он, у него был,"
"I have, uh, a, a Chowperd myself.","У меня у самого есть, э-э, похлебка."
"Oh, a what?","О, что?"
A Chowperd.,Похлебка.
Now that one I'm not familiar with.,"Так вот, с этим я не знаком."
"Well, she's part Chow and part Shepherd.","Ну, она наполовину чау-чау, наполовину овчарка."
"Uh, okay.","Эм, ладно."
"Okay,","Окей,"
that makes sense then,тогда это имеет смысл
Uh-huh.,Угу.
"But she's the best, the best of both breeds.","Но она лучшая, лучшая из обеих пород."
"I believe,","Я верю,"
"Yes,","Да,"
"right,","право,"
"well, I've always had big dogs before. Never had a little dog before.","ну, раньше у меня всегда были большие собаки. У меня никогда раньше не было маленькой собачки."
"Well, June,  is medium sized.","Ну, Джун, среднего размера."
"And,","И,"
Yes,Да
"well, Oh, well, I had a German shorthair that was frightened of storms.","ну, о, ну, у меня была немецкая короткошерстная кошка, которая боялась штормов."
But she is scared to death of thunder storms.,Но она до смерти боится грозы.
"The minute it would begin to storm, he would just panic.","В ту минуту, когда начинался шторм, он просто впадал в панику."
Uh-huh.,Угу.
"And, uh, I had to push him down when he was fourteen,","И, э-э, мне пришлось столкнуть его вниз, когда ему было четырнадцать,"
"and two months later I had to put my yellow Lab down,  because he had leukemia.","а два месяца спустя мне пришлось отказаться от своей желтой лаборатории, потому что у него была лейкемия."
Oh.,Ой.
"And, uh, then, uh, then there was no point in having all my acreage.","И, э-э, тогда, э-э, тогда не было никакого смысла владеть всей моей площадью."
I had four and a half acres with game preserve on three sides.,У меня было четыре с половиной акра с охотничьим заповедником с трех сторон.
"Oh, that must be nice.","О, это, должно быть, здорово."
"Oh, well, it was great.","О, что ж, это было здорово."
I loved it.,Мне это нравилось.
"But then I didn't need all that anymore, so I finally sold that,","Но потом мне все это больше не понадобилось, так что в конце концов я продал это,"
and I'm in a fair size condo.,и я нахожусь в кондоминиуме приличных размеров.
And I have a nice size patio.,И у меня есть большой внутренний дворик.
Uh-huh.,Угу.
"And, uh, so this little dog has plenty of room to run.","И, э-э, так что у этой маленькой собачки достаточно места, чтобы побегать."
"Well, good.","Что ж, хорошо."
"Yeah,","Да,"
"and he is a, a cutie",и он такой милашка
"and, uh, but I've never had a dog I had to keep taking to the groomer's to have groomed either","и, э-э, но у меня никогда не было собаки, которую мне приходилось бы постоянно водить к грумеру, чтобы ее почистили."
"No,","Нет,"
"well,  now, you know, it sounds like you ought to be in a condo down in Miami Beach somewhere. Or better yet, down around Saint Petersburg, Florida.","ну, теперь, знаете, это звучит так, как будто вы должны быть в кондоминиуме где-нибудь в Майами-Бич. Или, еще лучше, в окрестностях Санкт-Петербурга, штат Флорида."
"And it's,","И это,"
Is that right?,Это правильно?
Uh-huh.,Угу.
That's what I call home.,"Это то, что я называю домом."
"Oh, is that right?","О, это правда?"
I lived there for ten years.,Я прожил там десять лет.
"Oh, well I was there once way, way back in nineteen-sixty, I think for just a week's vacation.","О, ну, я был там однажды, очень, очень давно, в тысяча девятьсот шестидесятом, я думаю, всего на недельный отпуск."
Uh-huh.,Угу.
"But, uh, I, that's about the only time I've been to Florida, except passing through on the way to someplace else.","Но, э-э, я, это, пожалуй, единственный раз, когда я был во Флориде, если не считать того, что проезжал мимо по пути куда-то еще."
Yep.,Ага.
"But, uh,","Но, э-э,"
"Well, I lived there in the seventies.","Ну, я жил там в семидесятых."
Uh-huh.,Угу.
"And, uh, I, I love it.","И, э-э, мне, мне это нравится."
I have two sons still living down there.,У меня там все еще живут два сына.
Um-hum.,Хм-хм.
"Well, uh, uh, most of my friends do spend a lot of time down in Florida.","Ну, э-э-э, большинство моих друзей действительно проводят много времени во Флориде."
"But, uh, I have just, that's just not been my thing.","Но, э-э, я просто... это просто было не по мне."
We used to always head west or head north.,Раньше мы всегда направлялись на запад или на север.
"Now that I'm alone why, uh, I, uh, prefer to travel overseas if I'm going anywhere.","Теперь, когда я один, почему, э-э, я, э-э, предпочитаю путешествовать за границу, если я куда-нибудь собираюсь."
"Oh, uh-huh.","О, угу."
"And, uh, course there too you never know what the weather's going to be.","И, э-э, конечно, там тоже никогда не знаешь, какая будет погода."
"When you,  start getting over, to,","Когда ты, начнешь приходить в себя, к,"
"Well, that's,  that's why I was suggesting, uh, that Saint Petersburg is got, got to be the finest weather in the world.","Ну, вот, вот почему я предположил, э-э, что в Санкт-Петербурге, должно быть, самая прекрасная погода в мире."
"Oh, is that right?","О, это правда?"
"Oh, I, I loved it down there.","О, мне, мне понравилось там, внизу."
Um.,Хм.
"Course you could tell, always tell which were the, the  and which ones were the snowbirds.","Конечно, вы могли бы сказать, всегда сказать, кто были те, а кто из них были снежными птицами."
Yeah.,Да.
"Oh, is that right?","О, это правда?"
"Yeah,","Да,"
"the snowbirds were the,","снежные птицы были,"
"Okay,","Окей,"
"so I think, I think what we should talk about is, uh, the war.","так что я думаю, я думаю, о чем нам следует поговорить, так это, э-э, о войне."
Okay.,Хорошо.
The war that just went on.,"Война, которая только что продолжалась."
"See, I, I don't agree with it.","Видите ли, я, я не согласен с этим."
First of all I don't believe in war.,"Во-первых, я не верю в войну."
Uh-huh.,Угу.
"And then, the United States has this attitude by saying, you know, thank you for keeping us our freedom and stuff like that.","И потом, Соединенные Штаты придерживаются такого отношения, говоря, знаете, спасибо вам за то, что сохранили нам нашу свободу и тому подобное."
"And I think it's all independent because, it's, it has nothing to do with the United States.","И я думаю, что все это независимо, потому что это не имеет никакого отношения к Соединенным Штатам."
You didn't gain anything from it.,Вы ничего от этого не выиграли.
Uh-huh.,Угу.
And it wasn't our freedom that you were saving.,И ты спасал не нашу свободу.
"It was just,","Это было просто,"
"the thing, the thing that, that, that I saw was okay,","то, что, то, что я видел, было в порядке,"
Iraq wants to raise oil prices.,Ирак хочет повысить цены на нефть.
Uh-huh.,Угу.
"Kuwait wants to take Iraq out of the whole system,  by leaving them independent.","Кувейт хочет вывести Ирак из всей системы, оставив их независимыми."
Uh-huh.,Угу.
Uh-huh.,Угу.
"And so, when Iraq, you know, saw this, they said let's take over the country, which is a good idea,","И вот, когда Ирак, вы знаете, увидел это, они сказали, давайте захватим страну, и это хорошая идея,"
right?,верно?
Uh-huh.,Угу.
"Then the United States says, okay, our, our oil prices are going to go up.","Тогда Соединенные Штаты говорят, хорошо, наши, наши цены на нефть будут расти."
"And like for example, see, okay, like Lithuania right, they declared themselves an independent country with a president,","И как, например, видите, хорошо, как Литва правильно, они объявили себя независимой страной с президентом,"
