,en,ru
199,"Basically this girl i know exposes"" everything on facebook. For e.g. If I have a conversation with her","По сути, эта девушка, которую я знаю, выкладывает ""все подряд"" на facebook. Например, если у меня будет разговор с ней"
200,squamous epithelium ;cartilage ;blood ;cuboidal epithelium,плоский эпителий ; хрящ ; кровь ; кубовидный эпителий
201,I am fairly new to drawing anime and I really want to get into the more gothic style.  I was wondering if anyone knew any tutorials or pictures that would help me.  I am stuck on how exactly to do the clothing. Thank you!,"Я довольно новичок в рисовании аниме, и я действительно хочу перейти к более готическому стилю.  Мне было интересно, знает ли кто-нибудь какие-нибудь учебные пособия или картинки, которые могли бы мне помочь.  Я зациклился на том, как именно делать одежду. Спасибо!"
202,"I'm planning a romantic getaway with my cousin this weekend, can someone give me some points to take it to the next level?","Я планирую романтическое путешествие со своим двоюродным братом на эти выходные, может кто-нибудь дать мне несколько советов, чтобы вывести это на новый уровень?"
203, , 
204,"Since all the jobs have been outsourced to either machines or immigrants, the service sector has taken prominence over the country. When people have to service others and deal with often difficult customers, do they return the favor by acting like a prick when they go out? This seems to be the pattern here because if you are abused during work you might start believing that it is normal to be treated that way. Soon enough, everybody starts accepting shitty jobs as the norm and give a hard time on or off the job. Prove me wrong by giving examples of working in another country and compare the two experiences.","Поскольку все рабочие места были переданы на аутсорсинг либо машинам, либо иммигрантам, сектор услуг занял видное место по всей стране. Когда людям приходится обслуживать других и иметь дело с часто трудными клиентами, отвечают ли они тем же, ведя себя как придурок, когда уходят? Похоже, это закономерность, потому что, если с вами обращаются жестоко во время работы, вы можете начать верить, что это нормально, когда с вами так обращаются. Достаточно скоро все начинают воспринимать дерьмовую работу как норму и тяжело переносят ее на работе или вне ее. Докажите, что я ошибаюсь, приведя примеры работы в другой стране и сравнив два опыта."
205,So I'm 18 years old. And my family has a high risk in heart disease. My dad has had 2 heart attacks already.  ;So i did some snooping on my health records on kaisers website. and In 2008 i was 15 i already had high cholesterol . it was like 263 and normal is less than 199 ;recently i went to the doctors i weight 112 my pulse was 82 and my blood pressure was 116/71 ;1.does it sound like im at high risk?  ;2.should i get more blood tests done ;3. How can i prevent this from getting worse ;4. Im freaking out ADVICE PLEASE D:,"Итак, мне 18 лет. И у моей семьи высокий риск сердечных заболеваний. У моего отца уже было 2 сердечных приступа.  ; Итак, я немного покопался в своих медицинских записях на веб-сайте kaisers. а в 2008 году мне было 15, у меня уже был высокий уровень холестерина. было около 263, а в норме меньше 199; недавно я ходила к врачам, мой вес 112, пульс 82, кровяное давление 116/71;1.звучит ли это так, будто я в группе высокого риска?  ; 2.должен ли я сдать дополнительные анализы крови; 3. Как я могу предотвратить ухудшение ситуации;4. Я схожу с ума от СОВЕТА, ПОЖАЛУЙСТА, D:"
206,"i dont want answers like*you cant* i want to know how? i would very much like to be a teacher, or a game designer?.","я не хочу ответов типа *ты не можешь*, я хочу знать, как? я бы очень хотел быть учителем или геймдизайнером?."
207,its been over a year so im not sure how to go about doing it... someone help me thanks,"прошло больше года, так что я не уверен, как это сделать ... кто-нибудь, помогите мне, спасибо"
208,"When people say someone has a deep"" voice","Когда люди говорят, что у кого-то глубокий ""голос"
209,"I just got a 9 week year old puppy, she has none of her shots but has had 2 dewormings, we're gonna take her this weekend to get her shots up to date. Would it be okay if I let her run around in the backyard for a bit? Or should I just wait until she gets her shots? Thanks for the help :)","У меня только что появился 9-недельный щенок, ей не делали ни одной прививки, но сделали 2 дегельминтизации, мы собираемся взять ее в эти выходные, чтобы обновить ее прививки. Ничего, если я позволю ей немного побегать на заднем дворе? Или мне просто подождать, пока ей сделают уколы? Спасибо за помощь :)"
210,To be more specific about this question. Well my father thinks playing video games on the 3D tv will burn LED? And I tell him that the PS3 reduces the LED of the Sony 3D LED. And he doesn't believe me. How in the world can a video game system burn a Sony 3D LED in the first place? ; ;*Easy 10 points*,"Чтобы быть более конкретным в этом вопросе. Ну, мой отец думает, что, играя в видеоигры на 3D-телевизоре, будет гореть светодиод? И я говорю ему, что PS3 уменьшает яркость светодиода Sony 3D LED. И он мне не верит. Как вообще система видеоигр может сжигать 3D-светодиод Sony? ; ;* Легкие 10 баллов*"
211, , 
212,"Ok, Ive been talking to this girl a lot lately, were on summer break now so weve just been texting a lot. and I think she likes me, and im into her, just by the way our conversations go, I think she does like me. ; ;Anyway, I was planning on visiting her, but then she said she wouldnt want me to sleep over, because she thought it might be weird if I met her friends and family and slept over at her house since we werent dating. Is this like a hint that she wants me to ask her out? or could it possibly mean shes not into me? Im just a little confused ; ;Any suggestions or thoughts are appreciated. ;Thanks","Ладно, я много разговаривал с этой девушкой в последнее время, сейчас у нас были летние каникулы, так что мы просто много переписывались. и я думаю, что я ей нравлюсь, и она мне нравится, просто по тому, как идут наши разговоры, я думаю, что я ей действительно нравлюсь. ; ; В общем, я планировал навестить ее, но потом она сказала, что не хотела бы, чтобы я ночевал у нее, потому что она подумала, что было бы странно, если бы я встретил ее друзья и семья, и ночевал у нее дома, так как мы не встречались. Это что, намек на то, что она хочет, чтобы я пригласил ее на свидание? или это может означать, что я ей не нравлюсь? Я просто немного в замешательстве ; ; Любые предложения или мысли приветствуются. ;Спасибо"
213,My dad has a gf. She is annoying an always get wat she wants. I see him once a year and she sees him everyday for th last 3.5years. When I wanna do something with him she always wants to come along and of Course he says she can. How do I ignore her for 3weeks??,"У моего отца есть девушка. Она раздражает и всегда получает то, что хочет. Я вижу его раз в год, а она видит его каждый день в течение последних 3,5 лет. Когда я хочу что-то с ним сделать, она всегда хочет пойти со мной, и, конечно, он говорит, что она может. Как мне игнорировать ее в течение 3 недель??"
214,"I am 20 years old and my boyfriend and I have been dating for 6 months and are planning to be together for a long time. I am on a generic brand of Seasonale (4 periods a year) and consider myself a perfect user. I have never missed a pill in the 2 years I have been on my birth control, and I take it at 10:15 every day. (maybe 9:30 once). Up until this point my boyfriend and I have always used condoms, but I am starting to think that I would rather not, but we have a ton of sex (We have been tested together and both are STD free!) My question is what is the effectiveness of my birth control without the condoms. I know the instructions say 99.9% but is this the true effectiveness? And I assume it is a common thing to not use condoms when on birth control when in a committed relationship? I am a bit paranoid and we are just not in any place in life right now for a child.  ; ;Please do not answer with lectures about not being ready for a child so I shouldn't have sex or should use a condom.","Мне 20 лет, и мы с моим парнем встречаемся уже 6 месяцев и планируем быть вместе долгое время. Я пользуюсь универсальным брендом Seasonale (4 раза в год) и считаю себя идеальным пользователем. Я ни разу не пропустила ни одной таблетки за те 2 года, что принимаю противозачаточные, и принимаю их каждый день в 10:15. (может быть, один раз в 9:30). До этого момента мы с моим парнем всегда пользовались презервативами, но я начинаю думать, что предпочла бы этого не делать, но у нас масса секса (мы вместе прошли тестирование, и оба без ЗППП!) Мой вопрос заключается в том, какова эффективность моих противозачаточных средств без презервативов. Я знаю, что в инструкциях указано 99,9%, но является ли это истинной эффективностью? И я полагаю, что это обычное дело - не пользоваться презервативами, когда принимаешь противозачаточные средства, когда состоишь в серьезных отношениях? Я немного параноик, и сейчас у нас просто нет места в жизни для ребенка.  ; ;Пожалуйста, не отвечайте нотациями о том, что я не готова к рождению ребенка, поэтому мне не следует заниматься сексом или использовать презерватив."
215,"i defeated mossdeep city gym and defeated team magma at the space center. steven gave me dive and i went to sootopolis city, but the gym is locked and i went to sky pillar and the door is locked too. how do i unlock the doors?","я победил mossdeep city gym и победил команду magma в космическом центре. Стивен дал мне нырять, и я поехал в Саутполис сити, но спортзал заперт, и я пошел в скай пиллар, и дверь тоже заперта. как мне отпереть двери?"
216,"I got my period 11 days late this month, (this morning) i have been having minor cramping like a normal period but a few hours ago my back felt like i was being stabbed. I  have a 2 and 3 year old, and my husband and i are not worried if i do or dont get pregnant. However, is this a sign of pregnancy? I notices the last few periods i feel a sharp stabbing pain around my left ovary, and now my left back hurts. I feels somewhat like a contraction in my back, and it brought me to my knees. Any one have any clue or thoughts about it? ;I will be going to the doctor this week, but with two toddlers any ideas will relive the stress until then :P","В этом месяце у меня начались месячные с опозданием на 11 дней, (сегодня утром) у меня были незначительные спазмы, как при обычных месячных, но несколько часов назад мне показалось, что в спину вонзили нож. У меня есть дети 2 и 3 лет, и мы с мужем не беспокоимся, забеременею я или нет. Однако является ли это признаком беременности? Я замечаю, что последние несколько менструаций я чувствую острую колющую боль вокруг левого яичника, а теперь у меня болит левая спина. Я чувствую что-то вроде судороги в спине, и это поставило меня на колени. У кого-нибудь есть какие-нибудь зацепки или мысли по этому поводу? ; На этой неделе я пойду к врачу, но с двумя малышами любые идеи помогут пережить стресс до тех пор : P"
217,I'm just curious if there is any Soul Eater conventions in 2011. I'm hoping that there will be some this summer but it doesn't really matter. I WANT TO SEE DEATH THE KID!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,"Мне просто любопытно, будут ли какие-нибудь съезды пожирателей душ в 2011 году. Я надеюсь, что этим летом они будут, но на самом деле это не имеет значения. Я ХОЧУ УВИДЕТЬ СМЕРТЬ РЕБЕНКА!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
218,"i have a huge male bengal cat that sheds a lot, one day we tried it and he seems to love it, if we dont do it then he starts knocking things over until we do, he rolls over and purrs while it happens ; ;will this hurt him? he seems okay","у меня есть огромный бенгальский кот мужского пола, который много линяет, однажды мы попробовали это, и, кажется, ему это понравилось, если мы этого не делаем, он начинает переворачивать вещи, пока мы этого не сделаем, он переворачивается и мурлычет, пока это происходит ; ; это причинит ему боль? кажется, с ним все в порядке"
219,"I understand how the Reiman Sum is the area under the curve, because I 'understand' it 'geometrically,' i.e., the summation of infinite amount of rectangles make the area. But I fail to make this connection with the integral method, I get the math, but I don't 'understand' it conceptually, why the integral is the area.  ; ;Could someone contribute a good explanation, ; ;Thanks,","Я понимаю, как сумма Реймана представляет собой площадь под кривой, потому что я ""понимаю"" это ""геометрически"", то есть суммирование бесконечного количества прямоугольников составляет площадь. Но мне не удается установить эту связь с интегральным методом, я получаю математику, но я не ""понимаю"" ее концептуально, почему интеграл - это площадь.  ; ;Не мог бы кто-нибудь дать хорошее объяснение, ; ; Спасибо,"
220,"I am a female, and I graduate High School in a year, I want this as a path in my life to serve my country and not sit behind my desk or in a room my entire life. So far I have found security forces and explosive ordnance disposal, are there any other careers like this?","Я женщина, и я заканчиваю среднюю школу через год, я хочу, чтобы это был путь в моей жизни, чтобы служить своей стране, а не сидеть за своим столом или в комнате всю свою жизнь. Пока что я нашел службу безопасности и обезвреживание взрывоопасных предметов, есть ли какие-нибудь другие профессии, подобные этой?"
221,"The two cable that were discounted have been placed back.  The car starts and runs but no power to gauges, windows, radio, ac, or radiator fan.  Any other ideas","Два кабеля, которые были уценены, были возвращены обратно.  Автомобиль заводится и работает, но нет питания для датчиков, стеклоподъемников, радио, кондиционера или вентилятора радиатора.  Есть еще какие-нибудь идеи"
222,"From a rational point of view, I understand the need to separate extremely violent individuals from society, but I guess, I have a problem if they are tortured.  It has been proven that solitary confinement can do permanent damage in the mental area.  Also, Guantanamo Bay sounds like a good ally of 007 since there is a war on, but once again, I question the validity of the treatment of these people? ; ;If the basic rights of the very least within a society are infringed upon, our rights are invariably in danger. ; ;What sayest THOU???","С рациональной точки зрения, я понимаю необходимость изолировать крайне жестоких людей от общества, но, полагаю, у меня возникнут проблемы, если их подвергнут пыткам.  Было доказано, что одиночное заключение может нанести непоправимый ущерб психике.  Кроме того, залив Гуантанамо звучит как хороший союзник 007, поскольку идет война, но еще раз, я подвергаю сомнению обоснованность обращения с этими людьми? ; ;Если нарушаются основные права самых малочисленных членов общества, наши права неизменно оказываются в опасности. ; ; Что ТЫ скажешь???"
223,http://emob1191.photobucket.com/albums/z461/Ilove17horses/image-3.png girl 1. ; ; ; ; ;Or girl 2.http://emob1191.photobucket.com/albums/z461/Ilove17horses/image-2.jpg,http://emob1191.photobucket.com/albums/z461/Ilove17horses/image-3.png девушка 1. ; ; ; ; ;Или девушка 2.http://emob1191.photobucket.com/albums/z461/Ilove17horses/image-2.jpg
224,i remember thinking when i was little that ingredients in gum have been known to cause cancer in test animals.  is there any validity to that?,"помню, когда я был маленьким, я думал, что ингредиенты в жевательной резинке, как известно, вызывают рак у подопытных животных.  есть ли в этом какая-то обоснованность?"
225, , 
226,"My cycle was due on the 16th  of July, around the 13th I had unprotected sex, and it didn't come until the 22nd. It lasted 4 days, it was moderate the first two, and light the last two, which is normal. Then right after it ended I've been having light cramping, and breast tenderness, more head aches, and appetite loss since then and my cycle isn't due until the 29th.  I'm kinda confused, and not sure what is going on, can anyone help?","Мой цикл должен был начаться 16 июля, примерно 13-го у меня был незащищенный секс, и он наступил только 22-го. Это продолжалось 4 дня, первые два было умеренным, а последние два - легким, что нормально. Затем, сразу после того, как это закончилось, у меня начались легкие спазмы и болезненность груди, с тех пор усилились головные боли и потеря аппетита, а мой цикл должен начаться только 29-го.  Я немного в замешательстве и не уверен, что происходит, кто-нибудь может помочь?"
227,"Okay. Sorry to sound stereotypical and ignorant (disclaimer) but my son's father or sperm donor and I have been heavily estranged since my son was conceived. After not getting an abortion, he abandoned us and to this day has only seen his son maybe 5 times and no longer than 20 minutes each time. He has given me ZERO support financially, physically or otherwise---so I had been moved on. I am now engaged to a wonderfully supportive guy who has basically adopted my son as his own and we are also expecting another son together in January 2012. I went for chuld support on my oldest son's father back when he was only 3 weeks and to this day the case has never developed (due to them being unable to successfully locate him) So, today I randomly see him at our local mall and I could tell he was shocked. I ignored him and didn't flinch. But this evening, I have gotten a call from his Aunt's house (where he use to stay) and his sister has text me asking me how me and my son are. I hate to be petty, but my number has not changed, and my son's 1st brthday came and went without any acknowledgment from him or ANY of his family---so now that he was shocked after months of no contact to see me---he expects me to be answering to his family's inquiries...and I have no motivation to do so.","Хорошо. Извините, что звучу стереотипно и невежественно (отказ от ответственности), но мы с отцом моего сына или донором спермы сильно отдалились друг от друга с тех пор, как был зачат мой сын. После того, как ему не удалось сделать аборт, он бросил нас и по сей день видел своего сына всего, может быть, 5 раз и каждый раз не дольше 20 минут. Он не оказал мне НИКАКОЙ поддержки ни финансовой, ни физической, ни какой-либо другой - так что я двинулся дальше. Сейчас я помолвлена с удивительно отзывчивым парнем, который фактически усыновил моего сына как своего собственного, и мы также ожидаем еще одного сына вместе в январе 2012 года. Я обратился за медицинской помощью к отцу моего старшего сына, когда ему было всего 3 недели, и по сей день дело так и не получило развития (из-за того, что они не смогли успешно найти его). Итак, сегодня я случайно увидел его в нашем местном торговом центре, и я мог бы сказать, что он был шокирован. Я проигнорировала его и не дрогнула. Но сегодня вечером мне позвонили из дома его тети (где он обычно останавливался), и его сестра написала мне сообщение, спрашивая, как дела у меня и моего сына. Я ненавижу быть мелочным, но мой номер не изменился, и 1-й день рождения моего сына наступил и прошел без какого-либо подтверждения от него или кого-либо из его семьи - так что теперь, когда он был шокирован после нескольких месяцев отсутствия контактов, чтобы увидеть меня - он ожидает, что я отвечу на его запросы семьи... и у меня нет мотивации делать это."
228,"Is there something I can do (delete, clear, empty something) in order for my computer to stream YouTube videos without the constant interruptions? Again, my internet works fine otherwise. I only have this trouble when I am watching a YouTube video.","Могу ли я что-то сделать (удалить, очистить, очистить что-то), чтобы мой компьютер мог транслировать видео с YouTube без постоянных перерывов? Опять же, в остальном мой интернет работает нормально. У меня возникает эта проблема только тогда, когда я смотрю видео на YouTube."
229,How come the show The Boondocks can say the n-word on tv? On any other show like Jerry Springer for example they beep that word out. Why can they say it on The Boondocks though and not have it beeped out?,"Как получилось, что шоу ""Захолустье"" может произносить n-слово по телевизору? На любом другом шоу, таком как Джерри Спрингер, например, они издают звуковой сигнал с этим словом. Однако почему они могут сказать это в глуши и не выдать это звуковым сигналом?"
230,"Like Audrina Patridge (The Hills), Cheryl Cole, Fabiola Gatti, Jessica Simpson, and loads more celebs who have BEAMING white teeth - lovely and bright. ; ;Is it really possible they can be real teeth or are they artificial? If they're real how can I achieve this?? I want bright white teeth like them!!! ; ;Thankyousss","Как Одрина Патридж (The Hills), Шерил Коул, Фабиола Гатти, Джессика Симпсон и множество других знаменитостей, у которых СИЯЮЩИЕ белые зубы - красивые и яркие. ; ; Действительно ли возможно, что это настоящие зубы или они искусственные? Если они реальны, как я могу этого достичь?? Я хочу такие же яркие белые зубы, как у них!!! ; ;Спасибо"
231,"her name is Chara, Hara, Chana, Chiara or something in that scheme ;i tried to run a google search with any of the stated above and more but no luck :( ; ;she's got REALLY long hair that goes down to her butt, it's platinum blonde  ;in the video she was wearing a set of a white corset and panties ;she was surrounded by topless guys in masks dancing and fondling her up ;i can't remember anything else but the fact she had unnaturally enormous boobs","ее зовут Чара, Хара, Чана, Кьяра или что-то в этом роде; я пытался выполнить поиск в Google с любым из указанных выше и более, но безуспешно : ( ; ; у нее ДЕЙСТВИТЕЛЬНО длинные волосы, которые спускаются до задницы, это платиновая блондинка ; на видео она была одета в комплект из белого корсета и трусиков ; ее окружали парни топлесс в масках, танцующие и ласкающие ее; я не могу вспомнить ничего другого, кроме того факта, что у нее были неестественно огромные сиськи"
232,I'm looking for a specific champagne that's got an oval label and the outside of the label is brown and the middle of it is yellow. Any ideas?,"Я ищу конкретное шампанское с овальной этикеткой, внешняя сторона которой коричневая, а середина желтая. Есть какие-нибудь идеи?"
233,Aww its okay thanks for the answers but yeah we are finished asked him last nyt he told me he wasnt using me but he was reminding himself of what could and would have been and that he was only looking for a sexual reltionship,"О, все в порядке, спасибо за ответы, но да, мы закончили, спросила его вчера в Нью-Йорке, он сказал мне, что не использовал меня, но он напоминал себе о том, что могло и должно было быть, и что он искал только сексуальных отношений"
234,"For twin girls, I love boy names on girls, unique names, old fashioned names, rhyming names, and different spellings. ; ;Penelope Skye & Phoebe Everleigh ;Ryann Eloise & Tyler Elayne ;Gabriella Sophia & Isabella Grace ;Sidney Nicole & Whitney Noelle ;Drew Leigh & Devyn Kylee ;Sophia Hollie & Mollie Grace ;Rykelle Rae & Nycole Mae ;Anya Eloise & Peyton Genevieve ;Tabitha Parker & Caylx Anastasia (Caylix) ;Amelia Nicole &","Что касается девочек-близняшек, мне нравятся мужские имена для девочек, уникальные имена, старомодные имена, рифмующиеся имена и разные варианты написания. ; ; Пенелопа Скай и Фиби Эверли; Райэнн Элоиза и Тайлер Илэйн; Габриэлла София и Изабелла Грейс; Сидни Николь и Уитни Ноэль; Дрю Ли и Девин Кайли; София Холли & Молли Грейс ; Райкель Рей и Николь Мэй ; Аня Элоиза и Пейтон Женевьева ; Табита Паркер и Кейлкс Анастасия (Caylix) ; Амелия Николь &"
235,my girlfriend and i have been dating 3 months its been the best 3 months of my life. ive loved her since the first time ive talked to her. she told me yesterday that her parents still dont like me. i really need help on this one how can i get them to like me i really dont wanna lose her shes my life my world id be lost with out her. please help me,"мы с моей девушкой встречаемся 3 месяца, это были лучшие 3 месяца в моей жизни. я полюбил ее с тех пор, как впервые заговорил с ней. вчера она сказала мне, что я все еще не нравлюсь ее родителям. мне действительно нужна помощь в этом вопросе, как я могу заставить их полюбить меня, я действительно не хочу терять ее, она моя жизнь, мой мир, я был бы потерян без нее. пожалуйста, помогите мне"
236,"So I had an interview at Hibbett Sports last week, and to say the least it didn't go too well. BUT they called me back today for a second interview next week. I was planning on getting my nails done tomorrow, like the acrylic fake nails. But I don't want them to tell me I can't have them, and I have to go take them off after having them for only a couple days... Does anyone know the general dress code for Hibbett Sports?","Итак, на прошлой неделе у меня было интервью в ""Хиббетт Спортс"", и, мягко говоря, оно прошло не слишком хорошо. НО они перезвонили мне сегодня для повторного собеседования на следующей неделе. Я планировала завтра сделать маникюр, например, акриловые накладные ногти. Но я не хочу, чтобы они говорили мне, что я не могу их получить, и я должна пойти снять их после того, как они были у меня всего пару дней... Кто-нибудь знает общий дресс-код для Hibbett Sports?"
237,i went to play solitaire etc from the games in the start up menu. I double clicked on one of the games and it came up with a little box that said 'critical error' 'failed to create DirectX Device' ; ;what does this mean and how can I fix it? I've played them loads of times and I don't know why it is stopping me now. please help. thanks,"я пошел играть в пасьянс и т.д. Из игр в стартовом меню. Я дважды щелкнул по одной из игр, и на экране появилось маленькое окошко с надписью ""критическая ошибка"" ""не удалось создать устройство DirectX"" ; ; что это значит и как я могу это исправить? Я играл в них множество раз и не знаю, почему это останавливает меня сейчас. пожалуйста, помогите. спасибо"
238,"Thanks. Unfortunately, that's not the song. The song I'm looking for is a bit more upbeat. I've uploaded it to YouTube so hopefully more people can hear. Someone should recognize it eventually. ; ;http://www.youtube.com/watch?v=ct18cGTTcaA","Спасибо. К сожалению, это не та песня. Песня, которую я ищу, немного более оптимистична. Я загрузил это на YouTube, так что, надеюсь, больше людей смогут услышать. В конце концов, кто-то должен это признать. ; ;http://www.youtube.com/watch?v=ct18cGTTcaA"
239,i want to be punk but not so punk that its creepy. more like Avril Lavigne when she had brown hair. that time (: where can i get the clothes that she wore? the tshirts and the knee length pants...belts? hats? accessories? THANK YOU!,"я хочу быть панком, но не настолько панком, чтобы это было жутко. больше похожа на Аврил Лавин, когда у нее были каштановые волосы. в тот раз (: где я могу взять одежду, которую она носила? футболки и брюки длиной до колен...ремни? шляпы? аксессуары? Спасибо!"
240,"I had some psychological problems during school days and got kicked out from the university. ;I decide to take one year break (of course, meeting with a psychologist once a week) and  ;apply to another university next year. Do I really need to send my previous transcript to university I am going to apply? (I am talking about canadian university) I don't think university in other province won't know since each province has different online application systems.","В школьные годы у меня были некоторые психологические проблемы, и меня выгнали из университета. ;Я решаю взять годовой перерыв (конечно, встречаясь с психологом раз в неделю) и ; подать заявление в другой университет в следующем году. Действительно ли мне нужно отправлять свою предыдущую стенограмму в университет, в который я собираюсь поступать? (Я говорю о канадском университете) Я не думаю, что университет в другой провинции не будет знать, поскольку в каждой провинции разные системы онлайн-подачи заявок."
241,"The picture is black. Actually, it's a diagram. And that diagram is very important for my report. ","Картинка черная. На самом деле, это диаграмма. И эта диаграмма очень важна для моего отчета. "
242, , 
243,"okay,so i finally planned to go on a diet  ;i know its not the *MOST* healthiest way  ;OFC.. ;bt ill jst continue it 4 lyk 3-4 days or max 4 a week.. ;(actually im visiting my frnz n family..n i need 2 reduce weight quickly even if its temporary..after that when i come back i plan 2 work more on it) ;okay so i planned to fast 4 14hours everyday  ;burn 400 calories EVERY HOUR ;eat dinner at night n only drink water when im hungry rest of the time  ;n even do jumping like 80times or more than that.. ;and im even having my skool so that may help in losing weight too.. ;so what say guys?","ладно, итак, я наконец-то планировала сесть на диету; я знаю, что это не САМЫЙ * здоровый способ ; ОФК .. ; но я просто продолжу ее 4 раза в 3-4 дня или максимум 4 раза в неделю .. ; (на самом деле я навещаю свою семью из фрнз..n мне нужно быстро сбросить вес, даже если это временно .. после этого, когда я вернусь, я планирую еще поработать над этим); хорошо, итак, я планировал голодать 4 раза по 14 часов каждый день; сжигать 400 калорий КАЖДЫЙ ЧАС; ужинать вечером; пить воду только тогда, когда я голоден в остальное время; и даже прыгать 80 раз или больше... ; и у меня даже есть своя школа, так что это тоже может помочь в похудении .. ; так что скажете, ребята?"
244, , 
245,@sally-we shall see,@салли - мы увидим
246, , 
247,"Could u help me find a great quote about this: ;You see, I have a huge crush on someone but these days, my heart just doesn't skip a beat anymore when I see him. Then a few days after that, I just found out that  I have a crush on someone else but he's my friend's crush as well. They both seem happy together. My friend flirts with him and all. But it breaks my heart A BIT when I see them. Can u give me a quote even for just a crush heart break one. thanks :)","Не могли бы вы помочь мне найти отличную цитату по этому поводу: ; Видите ли, я по уши влюблена в одного человека, но в эти дни мое сердце просто больше не замирает, когда я вижу его. Затем, через несколько дней после этого, я только что узнала, что влюблена в кого-то другого, но он также влюблен в моего друга. Они оба кажутся счастливыми вместе. Моя подруга флиртует с ним и все такое. Но у меня немного разбивается сердце, когда я их вижу. Можете ли вы дать мне цитату даже для того, кто просто влюблен и разбивает сердце? спасибо :)"
248,Is it grammatically incorrect or just awkward?,Это грамматически неправильно или просто неловко?
249,"Okay, so i need a girl name that is very unique, but not weird like experanza if you know what i mean haha:) anyway, maybe is there a place or just a thing you can think of, that i could use as a girl name for a character? thanks! :))) ;That may be a little confusing so to clarify just in case, i need a unique girl name. Thats it:)","Ладно, итак, мне нужно женское имя, которое было бы очень уникальным, но не странным, как experanza, если вы понимаете, что я имею в виду, ха-ха :) в любом случае, может быть, есть место или просто вещь, которую вы можете придумать, которую я мог бы использовать в качестве женского имени для персонажа? спасибо! :))) ; Это может немного сбить с толку, поэтому, чтобы уточнить на всякий случай, мне нужно уникальное имя девушки. Вот и все :)"
250,Can someone tell me what the Do not call Implementation Act 2003 is....? I know it is something about telemarketing and fees? But what does that mean in english?!?!? lol anyone know? and please not a long drawn out answer....,"Может кто-нибудь сказать мне, что такое Закон о внедрении ""Не звонить"" 2003 года....? Я знаю, что это что-то о телемаркетинге и сборах? Но что это значит по-английски?!?!? лол, кто-нибудь знает? и, пожалуйста, не надо длинного ответа...."
251,"Should I use the Acog on it or just extended mags, when I use the ACOG it is very inacurate and misses the shot when i know the hit markers were on the person. The default scope takes a bit long to zoom in, im an aggresive sniper.","Должен ли я использовать Acog на нем или просто расширенные патроны, когда я использую ACOG, он очень неточен и пропускает выстрел, когда я знаю, что маркеры попадания были на человеке. Увеличение прицела по умолчанию занимает немного больше времени, я агрессивный снайпер."
