en,ru
Any advice for situation with bitchy girls?,Есть какой-нибудь совет по ситуации со стервозными девушками?
Christians: How Exactly do you offer to GOD the blood of jesus?,Христиане: Как именно вы предлагаете БОГУ кровь Иисуса?
My rose bush has no leaves and never bloomed?,"У моего розового куста нет листьев, и он никогда не цвел?"
Any Packers fans out there worried about Randy Moss?,"Кто-нибудь из фанатов ""Пэкерс"" беспокоится о Рэнди Моссе?"
"Which dollar store is best in Baltimore, MD? Anyone have any favorites?","Какой долларовый магазин лучший в Балтиморе, Мэриленд? У кого-нибудь есть какие-нибудь любимые?"
Have asked this recently but more men insight please?? I'm baffled!?,"Спрашивал об этом недавно, но больше мужской проницательности, пожалуйста?? Я сбит с толку!?"
IOS 6 update?!?!?!?!?,Обновление IOS 6?!?!?!?!?
What is the best way to get rid of fleas and keep th away for good?,Каков наилучший способ избавиться от блох и держать их подальше навсегда?
"Car mirror is kinda broken, how can i fix it?","Автомобильное зеркало немного разбито, как я могу это починить?"
When is assassin creed 3 going to be released on wii u?,Когда assassin creed 3 выйдет на wii u?
Can Manual Lymph Drainage dislodge unmetabolized 5-FU?,Может ли ручной лимфодренаж вытеснить неметаболизированный 5-ФУ?
did I break up my friend and his girlfriend?,я разлучил своего друга и его девушку?
GS: What do you think the most beautiful animal is?,"GS: Как вы думаете, какое животное самое красивое?"
why is it so many people exaggerate about personal achievements?,почему так много людей преувеличивают личные достижения?
What do i say at a job interview?,Что мне сказать на собеседовании при приеме на работу?
what exactly is planned parenthood?,что именно такое планируемое родительство?
I have an IPhone 4S with verizon.?,У меня есть iPhone 4S с verizon.?
what is the other video like alien planet?,"что это за другое видео, похожее на ""Чужую планету""?"
Transfer from a UC to Private?,Перевод из Калифорнийского университета в частный?
Does conservapedia have a liberal bias?,Имеет ли conservapedia либеральный уклон?
Where can I get free DSI points?,Где я могу получить бесплатные баллы DSI?
I don't want my relationship to end! Can you help?,"Я не хочу, чтобы мои отношения заканчивались! Вы можете помочь?"
CANADIAN STUDENT VISA APPLICATION AFTER REJECTION?,ЗАЯВЛЕНИЕ НА КАНАДСКУЮ СТУДЕНЧЕСКУЮ ВИЗУ ПОСЛЕ ОТКАЗА?
Name a famous character whoose name ends in -way?,"Назовите известного персонажа, чье имя заканчивается на -way?"
is there anything i can do to keep my navel piercing from rejecting?,"могу ли я что-нибудь сделать, чтобы мой пирсинг в пупке не был отвергнут?"
what type of lesbian am I?,к какому типу лесбиянок я отношусь?
I lost the password needed to pass the parental block for Xbox Live. However the email account no longer exist?,"Я потерял пароль, необходимый для прохождения родительской блокировки для Xbox Live. Однако учетная запись электронной почты больше не существует?"
MATH: Partial Differential Equations?,МАТЕМАТИКА: Дифференциальные уравнения в частных производных?
Why after starting my 36 gallon bow front fish tank is it cloudy?,Почему после запуска моего 36-галлонового переднего аквариума с рыбой в носу становится мутно?
creative names for a magazine based on Pride and Prejudice?,"креативные названия для журнала, основанного на ""Гордости и предубеждении""?"
Does the Spyder Fenix paintball gun have a clamping feedneck?,Есть ли у пейнтбольного пистолета Spyder Fenix зажимная горловина?
Am I missing out on my youth?,Неужели я упускаю свою молодость?
Girl copies my makeup all the time?!?,Девушка все время копирует мой макияж?!?
Website about cost to maintain various cat breeds... can you help me find it?,Веб-сайт о стоимости содержания различных пород кошек ... вы можете помочь мне найти его?
Up to what age do men continue to grow in height?,До какого возраста мужчины продолжают расти в росте?
How to use 'minding my own business' in a sentence?,"Как использовать ""занимаюсь своим делом"" в предложении?"
Can a 14 year old guy can be inject by a whitening gluthatione injection?,Можно ли 14-летнему парню сделать отбеливающую инъекцию глутатиона?
math/physics word problem?,проблема со словом по математике / физике?
Where to buy chocolate wet N wavy weave?,Где купить шоколад мокрого и волнистого плетения?
Mine craft xbox 360 blaze spawn?,Добывать крафт для xbox 360 blaze spawn?
How to make her want me?,Как заставить ее захотеть меня?
Chemistry Titrations and Buffers Help! PLEASE! Having Really Hard Time Grasping This!?,Химические титрования и буферы помогают! пожалуйста! Вам действительно трудно это осознать!?
Will the ASVAB be hard if u r special Ed?,"Будет ли ASVAB жестким, если вы сделаете специальное редактирование?"
What is the coefficient of kinetic friction between the ramp and the crate?,Каков коэффициент кинетического трения между рампой и ящиком?
This is my list of top ten light heavyweights of all time. Do you agree?,Это мой список десяти лучших полутяжеловесов всех времен. Ты согласен?
Should Flight Attendants be concerned about offshoring?,Должны ли бортпроводники беспокоиться об офшоринге?
Which cell phone upgrade should I choose?,Какое обновление мобильного телефона мне следует выбрать?
Could you look at my artwork please?,"Не могли бы вы взглянуть на мои работы, пожалуйста?"
Do rapists prefer armed or unarmed women?,Предпочитают ли насильники вооруженных или безоружных женщин?
"Is my boyfriend shy, or is he avoiding me?","Мой парень застенчивый, или он избегает меня?"
How do you make a girl want to have a sexual relationship?,Как заставить девушку захотеть сексуальных отношений?
Teens: Are you afraid of failure?,Подростки: Вы боитесь неудачи?
Quantitative study vs qualatative study?,Количественное исследование против качественного исследования?
Going in the hot tub while pregnant?,Ходить в горячую ванну во время беременности?
Will People who are in debt to payday loans get refunds or compensation once they shut?,"Получат ли люди, задолжавшие по кредитам до зарплаты, возмещение или компенсацию после их закрытия?"
What are those metal things that help overbites called?,"Как называются эти металлические штуковины, которые помогают при перекусах?"
DSA Driving practical Test: How long does it last?,Практический тест по вождению DSA: как долго он длится?
Where can I find these kinds of music?,Где я могу найти подобную музыку?
"In of mice and men, Is the old man Candy?","В ""Мышах и людях"" старик - конфетка?"
what is the differences and similarities MRI and CT?,в чем различия и сходства МРТ и КТ?
"In your opinion, what is the meaning of love?","По вашему мнению, в чем смысл любви?"
Angel Deck help Magic the Gathering?,Ангельская колода поможет Волшебному собранию?
how to make my interactions and mentions work on twitter?,как заставить мои взаимодействия и упоминания работать в Twitter?
What are funeral slideshows called?,Как называются похоронные слайд-шоу?
How can I get a MARRIAGE CERTIFICATE From HONDURAS?,Как я могу получить СВИДЕТЕЛЬСТВО О БРАКЕ из ГОНДУРАСА?
I need the list of 100 sports words for dumb charade ?,Мне нужен список из 100 спортивных слов для дурацкой шарады?
"Exactly how did the State Department threaten those ""whistleblowers"" if they squealed?","Как именно Госдепартамент угрожал этим ""разоблачителям"", если они проболтаются?"
What is the percentage of my course grade?,Каков процент от моей оценки по курсу?
How to stop being so jealous?,Как перестать быть таким ревнивым?
How can I conserve my Ipod Battery?,Как я могу сэкономить заряд батареи моего Ipod?
I have a flat stomich I weigh 122 and want to start doin sit ups to get a six pack how long would it take?,"У меня плоский живот, я вешу 122 и хочу начать делать приседания, чтобы набрать шесть упаковок, сколько времени это займет?"
"If islam is the religion of peace, why do militant Muslim groups exist?","Если ислам - это религия мира, то почему существуют воинствующие мусульманские группировки?"
"Which is better for playing Wii games and Vitual Consoles, Wii or Wii U?","Что лучше для игры в игры Wii и виртуальные консоли, Wii или Wii U?"
What is the best below Rs 10000/- dual-sim(active) mobile phones?,Какие мобильные телефоны с двумя sim-картами (активные) лучше всего стоят ниже 10000 рупий/-?
What should I do about the earache?,Что мне делать с болью в ухе?
Why are Some English people ignorant? Almost every time I come here for answers about America.?,"Почему некоторые англичане невежественны? Почти каждый раз, когда я прихожу сюда за ответами об Америке.?"
"Asked her to rub my feet and she freaked out? Ladies, please chime in....?","Попросил ее потереть мне ноги, и она взбесилась? Дамы, пожалуйста, присоединяйтесь....?"
how to get justin bieber meet and greet 2013? what do i do?,как организовать встречу Джастина Бибера в 2013 году? что мне делать?
I've almost wasted 2 years after my intermediate! is it gonna harm my career?,Я почти впустую потратил 2 года после получения среднего образования! это повредит моей карьере?
What is good weave for prom?,Какое плетение подойдет для выпускного вечера?
Did Cris Carter and Warren Sapp do cocaine at the Hall of Fame party?,Употребляли ли Крис Картер и Уоррен Сапп кокаин на вечеринке в Зале славы?
What am i doing wrong with my shaving?,Что я делаю не так со своим бритьем?
HD torrent of Star Trek the Original Series?,"HD торрент оригинального сериала ""Звездный путь""?"
Can i sleep with crest 3D white strips on?,Могу ли я спать с белыми полосками crest 3D?
Why do you think they don't make bigger iphones?,"Как ты думаешь, почему они не делают айфоны побольше?"
Help! If I shave my legs and my thigh do I need to shave my arms too?,"Помогите! Если я побрею ноги и бедра, нужно ли мне также брить руки?"
Need Relationship Advice?,Нужен совет по отношениям?
What do you think of all boys schools?,Что вы думаете обо всех школах для мальчиков?
Why do girls often do this it drives me Crazy?,"Почему девушки часто делают это, это сводит меня с ума?"
"Royal Mail Special Delivery, how is it so fast?","Специальная доставка Королевской почтой, как это так быстро?"
Will Saturday Night Live poke fun of President Obama in their upcoming season?,Будет ли Saturday Night Live высмеивать президента Обаму в своем предстоящем сезоне?
what is youjis? because my classmate boy always talk about youjis?,что такое youjis? потому что мой одноклассник всегда говорит о тебе?
My nokia 5130 browser won't start what is the problem?,"Мой браузер nokia 5130 не запускается, в чем проблема?"
Is billiards a racist game?,Является ли бильярд расистской игрой?
My 3 years old weedeater costs $90 for cleaning carburator and changing spark plug. Is it a fair charge?,Мой 3-летний пожиратель сорняков стоит 90 долларов за чистку карбюратора и замену свечи зажигания. Справедливо ли это обвинение?
Does every teenage male question their sexual orientation at some point ( even if they don't admit it)?,Каждый ли мужчина-подросток в какой-то момент подвергает сомнению свою сексуальную ориентацию (даже если они этого не признают)?
How do I correct this to make the program run?,"Как мне исправить это, чтобы программа запустилась?"
please help me..if a girl i know gets nervous around me..does that means she might be a lesbian? i like her?,"пожалуйста, помогите мне.. если девушка, которую я знаю, нервничает рядом со мной .. означает ли это, что она может быть лесбиянкой? она мне нравится?"
Which 16GB micro SD card will work better?,Какая карта micro SD объемом 16 ГБ будет работать лучше?
I work with this girl I like?,"Я работаю с этой девушкой, которая мне нравится?"
What happened to the Falcons?,"Что случилось с ""Соколами""?"
Help with a short story?!?,Помочь с коротким рассказом?!?
"Q. What is the next number of the following sequence 521,523,526,5201,5251,.......?","В. Каково следующее число в следующей последовательности 521,523,526,5201,5251,.......?"
What % of the world is gay?,Какой % населения мира - геи?
Google drive problem. Please help me!!?,"Проблема с Google диском. Пожалуйста, помогите мне!!?"
How to make compost more acidic?,Как сделать компост более кислым?
How to avoid a party bust?,Как избежать срыва вечеринки?
Purple heels and purple dress?,Фиолетовые каблуки и фиолетовое платье?
Why oh Why Bradman is the most overrated batsman of all time?,"Почему, о, почему Брэдман - самый переоцененный игрок с битой всех времен?"
How to repair a hole in carpet?,Как заделать дыру в ковре?
What should I write in the resignation letter? 3 weeks notice denied.?,Что я должен написать в заявлении об отставке? в уведомлении за 3 недели отказано.?
Could my crush still like me after all these years?,Могу ли я все еще нравиться моей пассии после всех этих лет?
how much does a gallon of paint cover in miles?,сколько покрывает галлон краски в милях?
canon rebel t5i ... video help?,canon rebel t5i ... видеопомощь?
Should i use a higher vecosity of oil for my car?,Должен ли я использовать масло с более высокой вязкостью для своего автомобиля?
Digital game problems ?,Проблемы с цифровыми играми?
Tumblr-How to make a reblog open in a new tab?,"Tumblr-Как сделать так, чтобы реблог открывался в новой вкладке?"
Why do we hate difference?,Почему мы ненавидим различия?
what do you want to eat?,что ты хочешь съесть?
Can I save my apps and info on them to another ipad?,Могу ли я сохранить свои приложения и информацию о них на другой ipad?
"Why didn't the dentist cast a crown for me, he just started shoving random sized crowns on?","Почему дантист не отлил мне коронку, а просто начал надевать коронки произвольного размера?"
Friends with Benefits Situation?! I need advice?,Друзья в такой ситуации?! Мне нужен совет?
Why does the mere thought of making a pot of coffee make me want to poop?,"Почему от одной мысли о том, чтобы сварить кофе, мне хочется какать?"
How Many Movies Is Too Many?,Сколько Фильмов - Это Слишком Много?
implantation bleeding or weird period?,кровотечение при имплантации или странные месячные?
How i can improve my english?,Как я могу улучшить свой английский?
Do they sell prescription contacts at conventions?,"Продают ли они контактные линзы, отпускаемые по рецепту, на съездах?"
Which MacBook Pro should I buy?,Какой MacBook Pro мне следует купить?
Asking a guy to hang out?,Приглашаешь парня потусоваться?
How to know if a bestfriend still cares for you after not seeing for a long time?,"Как узнать, заботится ли о вас лучший друг после того, как вы долгое время не виделись?"
My parents didnt tell me were staying here that long?,"Мои родители не говорили мне, что пробудут здесь так долго?"
"Child abuse - NOT important enough for our Prime Minister and Dep PM ,,,,,?","Жестокое обращение с детьми - НЕДОСТАТОЧНО важно для нашего премьер-министра и вице-премьера,,,,,?"
how can i save the earth?,как я могу спасти землю?
Will items from amazon UK ship to the U.S?,Будут ли товары с amazon UK доставляться в США?
14.5 briggs & stratten engine pdf?,14.5 двигатель Бриггса и Страттена pdf?
Which anime can you see being turned into a real movie if the right person does it?,"Какое аниме вы можете увидеть превращенным в настоящий фильм, если это сделает правильный человек?"
Does McDonald do walk-in interview?,Проводит ли McDonald's собеседование при входе?
How is american high school really like?,На что на самом деле похожа американская средняя школа?
Is it true that Vegan diet may still consist of animal products?,"Правда ли, что веганская диета все еще может состоять из продуктов животного происхождения?"
Is there anything weird w/ a 17 dating a 25 year old?,"Есть ли что-нибудь странное в том, что 17-летняя девушка встречается с 25-летним парнем?"
I always feel scared in the dark?,Мне всегда страшно в темноте?
"my fiance is a DACA holder but i am a us citizen, will the process be faster for him to become a us resident?","мой жених является обладателем DACA, но я гражданка США, будет ли процесс получения им статуса резидента США быстрее?"
drink my girlfriends pee?,пить мочу моих подружек?
What to do now?,Что теперь делать?
I don't know how to deal with myself help what do I do?,"Я не знаю, как справиться с собой, помогите, что мне делать?"
Girls at my university are TOO ATTRACTIVE for me?? PLEASE HLEP?,"Девушки в моем университете слишком ПРИВЛЕКАТЕЛЬНЫ для меня?? ПОЖАЛУЙСТА, ХЛЕБНИ?"
Names please help!?,"Имена, пожалуйста, помогите!?"
33 weeks pregnant.?,33 недели беременности.?
Brother leaving for university?,Брат уезжает в университет?
Why does my hair fall out everytime i do an oil treatment?,"Почему у меня выпадают волосы каждый раз, когда я наношу масляный уход?"
How do I report what I believe is a fraudulent e-mail from Yahoo?,"Как мне сообщить о том, что я считаю мошенническим электронным письмом от Yahoo?"
Would the historical Jesus bless a homosexual commitment ceremony? Would he call it marriage?,Благословил бы исторический Иисус церемонию посвящения гомосексуалистов? Назвал бы он это браком?
Can a cake really go bad after 2 hours?,Может ли торт действительно испортиться через 2 часа?
How do people go to Heaven?,Как люди попадают на Небеса?
I cant get ovr my ex i feel like i need to just cave and go back?,"Я не могу расстаться со своим бывшим, я чувствую, что мне нужно просто сдаться и вернуться?"
why cant i retrieve my emails? i can see them on the subject line but cant do anything?,"почему я не могу получить свои электронные письма? я вижу их в строке темы, но ничего не могу сделать?"
"so i've had a crush for a while now, he's a douchebag. how can i move on?","так что я уже некоторое время влюблена в него, он придурок. как я могу двигаться дальше?"
couple pictures ideas?,идеи для пары фотографий?
Talking to my GP about self harm tomorrow?,Завтра говорить с моим лечащим врачом о членовредительстве?
Is there a way i can see which video from youtube i watched most times?,"Есть ли способ, которым я могу увидеть, какое видео с youtube я смотрел больше всего раз?"
"How much do different types of lawyers earn, e.g. Environmental, firm, human rights?","Сколько зарабатывают различные типы юристов, например, юристы по охране окружающей среды, фирмы, правам человека?"
"How to fix TV volume, internal problem?","Как устранить громкость телевизора, внутреннюю проблему?"
My dog is whining and I don't know why.?,"Моя собака скулит, и я не знаю почему.?"
"Vegans, should we impose mass extinction of carnivorous animals? They often eat their prey B-4 its even dead.?","Веганы, должны ли мы навязать массовое вымирание плотоядных животных? Они часто поедают свою добычу Б-4, даже мертвую.?"
"Being an expat, US citizen and hired by US employer.?","Будучи эмигрантом, гражданином США и нанятым американским работодателем.?"
Is Jasmine rice healthy?,Полезен ли жасминовый рис?
Can a 32GB flash drive freeze a 4-year-old Acer laptop?,Может ли флэш-накопитель емкостью 32 ГБ заморозить ноутбук Acer 4-летней давности?
What are some good computer games for 13 year old girls?,Какие есть хорошие компьютерные игры для 13-летних девочек?
Why are Quora answers so much more insightful than Yahoo answers?,"Почему ответы Quora намного более содержательны, чем ответы Yahoo?"
Help with this math question?,Помочь с этим математическим вопросом?
Can I sue the hospital for leaving a cathider in my arm?,"Могу ли я подать в суд на больницу за то, что она оставила катетер в моей руке?"
Windows Movie Maker doesn't start!!!???!!!??,Windows Movie Maker не запускается!!!???!!!??
Baby Girl Names?,Имена маленьких девочек?
"Americans, how do you feel about your secretly"" corrupt demagogues you call politicians?""","Американцы, как вы относитесь к вашим тайным ""коррумпированным демагогам, которых вы называете политиками""?"
"In task manager, what percent should the disk utilization be at on average?","В диспетчере задач, какой процент использования диска должен быть в среднем?"
What is the reality of the history of women in Islam all over the world?,Какова реальность истории женщин в исламе во всем мире?
I've had this stye since Sunday morning and today it's Thursday night and I really need to go somewhere this Saturday. Any ideas?,"У меня этот ячмень с утра воскресенья, а сегодня вечер четверга, и мне действительно нужно куда-нибудь сходить в эту субботу. Есть какие-нибудь идеи?"
Dark souls help needed?,Нужна помощь Dark souls?
Merry Christmas! I just got back from hospital but I need help! I don't know why this happened but I feel at fault? I feel so bad?,"счастливого Рождества! Я только что вернулся из больницы, но мне нужна помощь! Я не знаю, почему это произошло, но я чувствую себя виноватым? Я чувствую себя так плохо?"
I closed down my email by mistake how do I reopen with in 30 hours?,"Я закрыл свою электронную почту по ошибке, как мне снова открыть ее через 30 часов?"
i cant stay in at my yahoo account?,я не могу оставаться в своей учетной записи yahoo?
What to do when someone punchs you in the back of the head?,"Что делать, когда кто-то бьет тебя кулаком по затылку?"
What do you think was John Cena's reaction when Nikki Bella said she liked seeing JBL in a shirt?,"Как вы думаете, какой была реакция Джона Сины, когда Никки Белла сказала, что ей нравится видеть JBL в рубашке?"
If a girl rejects a guy. Does she remember and miss him later in life?,Если девушка отвергает парня. Помнит ли она его и скучает ли по нему позже в жизни?
Does anyone know what this old GSN game was?,"Кто-нибудь знает, что это была за старая игра GSN?"
I'm getting a puppie in a couple of days and i have questions?,"Через пару дней у меня будет щенок, и у меня есть вопросы?"
Why do all wet dogs smell the same?,Почему все мокрые собаки пахнут одинаково?
Should Dred Scott have been free or not?,Должен был Дред Скотт быть свободен или нет?
Seen but no reply?,"Видел, но ответа нет?"
what happens if you break the rules of the midnight game?,"что произойдет, если вы нарушите правила полуночной игры?"
Should I register for 9th grade English in 8th grade?,Должен ли я записаться на 9-й курс английского языка в 8-м классе?
how do I make an email for someone other than myself on my computer?,"как мне создать электронное письмо для кого-то, кроме себя, на моем компьютере?"
Certegy was spun off by Equifax. What was the opening price of Certegy on 7/9/2001?,Сертификат был выделен компанией Equifax. Какова была начальная цена Certegy на 9/7/2001?
I want to know my SSS number please?,"Я хочу знать свой номер SSS, пожалуйста?"
Could I be pregnant????? Please help?,"Могу ли я быть беременна????? Пожалуйста, помогите?"
how long does it take for somebody's blood to leave your system?,"сколько времени требуется, чтобы чья-то кровь покинула ваш организм?"
help!help!?,помогите!помогите!?
"In a sig, fig. chemistry question, What if I got an answer that's bigger than my lower sig. fig?","В сигнатуре, рис. вопрос по химии, что, если я получу ответ, который больше, чем мой нижний показатель? фига?"
Is my nose flat?,"У меня что, нос плоский?"
How soon can I choose to refinance our car?,Как скоро я могу выбрать рефинансирование нашего автомобиля?
Advice after high school . . .?,Совет после окончания средней школы...?
HOLY $*#@! My luck!?,СВЯТЫЕ $*#@! Моя удача!?
how do i give my room a san francisco vibe?,как мне придать своей комнате атмосферу Сан-Франциско?
My mom will never understand me?,Моя мама никогда не поймет меня?
How many of you are proud to have manboobs?,"Кто из вас гордится тем, что у вас есть manboobs?"
Is anyone else feeling bored at the moment?,Кому-нибудь еще сейчас скучно?
Am I sick for getting excited at this?,"Я болен из-за того, что так волнуюсь по этому поводу?"
"Maybe ""Trainwreck"" is just a horrible movie and the gunman was putting them out of their misery?","Может быть, ""Крушение поезда"" - просто ужасный фильм, и стрелок хотел избавить их от страданий?"
"How can God have emotions, yet create other beings with the same emotions? Doesnt that mean he himself has a creator?","Как Бог может обладать эмоциями и в то же время создавать других существ с такими же эмоциями? Разве это не означает, что у него самого есть создатель?"
"I had only one love in my life, l can love again?","У меня была только одна любовь в моей жизни, смогу ли я полюбить снова?"
Why am I so tired?,Почему я так устал?
Long time relationships. I have a question about them?,Длительные отношения. У меня есть вопрос о них?
Can you please help me how to factor it? Thanks. 9x^4+6x^2y^2+y^4?,"Не могли бы вы, пожалуйста, помочь мне, как это учесть? Спасибо. 9x ^ 4+6x ^ 2y ^ 2+y ^ 4?"
A weight lifter raises a 175 kg barbell to a height of 1.95 m. What is the increase in the potential energy of the barbell?,"Штангист поднимает штангу весом 175 кг на высоту 1,95 м. Каково увеличение потенциальной энергии штанги?"
What is a substance with a solubility of more than 300 g/L at room temperature?,Что такое вещество с растворимостью более 300 г/л при комнатной температуре?
"Which of the following sets are equivalent to the set { x, y ,z }?","Какой из следующих наборов эквивалентен набору { x, y,z }?"
What is the Best Brand of Professional Facepaints?,Какая марка профессиональной косметики для лица самая лучшая?
Does anyone have a link to the Love Live School Idol Project movie?,У кого-нибудь есть ссылка на фильм проекта Love Live School Idol Project?
Will this scene become synonymous with Europe in the distant future?,Станет ли эта сцена синонимом Европы в отдаленном будущем?
Relationship advice when dealing with a Leo male?,Советы по отношениям при общении с мужчиной-Львом?
Does anyone know how to do this?,"Кто-нибудь знает, как это сделать?"
When a protein breaks does all the pieces become amino acids again?,"Когда белок распадается, все ли кусочки снова становятся аминокислотами?"
2k16 black market question?,вопрос о черном рынке 2k16?
Will my Dell Lattitude E6400 laptop support a dedicated GPU?,Будет ли мой ноутбук Dell Lattitude E6400 поддерживать выделенный графический процессор?
Braces not allowing chewing?,"Брекеты, не позволяющие жевать?"
why can't i log in?,почему я не могу войти в систему?
Help I fell on my pelvic area. I think?,"Помогите, я упал на область таза. Я думаю?"
US size for size 37 female shoe?,Размер США для женской обуви 37 размера?
"Do you have to have the ""GB"" on the left of a UK number plate when getting new registration printed or is it optional?","Обязательно ли вам печатать ""GB"" слева от номерного знака Великобритании при получении новой регистрации или это необязательно?"
Is it true that the Missouri college fiasco?,"Правда ли, что фиаско в колледже Миссури?"
"_Џ_Do you want to know who you are? Don't ask. Act! Action will delineate and define you."" Is This quoted from the Jeffersonian?","_Џ_ Ты хочешь знать, кто ты такой? Не спрашивай. Действуй! Действие очертит и определит вас"". Это цитата из Джефферсоновского института?"
Does VLC player MP4 audio problems on Windows 10?,Есть ли проблемы со звуком VLC player MP4 в Windows 10?
What are all the ways i can protect my laptop from hackers when ever i use public wifi?,"Какими способами я могу защитить свой ноутбук от хакеров, когда когда-либо пользуюсь общественным Wi-Fi?"
"What are some examples of anime movies and anime series with exceptional, unique, groundbreaking approaches to storytelling?","Назовите несколько примеров аниме-фильмов и аниме-сериалов с исключительными, уникальными, новаторскими подходами к повествованию?"
Buying a fixer upper?,Покупаете закрепляющий верх?
So you've been arrested and might be going away for 50 years what is or would be going through your head.?,"Итак, вы были арестованы и, возможно, уедете на 50 лет, что происходит или могло бы происходить в вашей голове.?"
Can evolution and Christianity really coexist or does there not being an Adam and Eve make Jesus's sacrifice meaningless?,"Могут ли эволюция и христианство действительно сосуществовать, или отсутствие Адама и Евы делает жертву Иисуса бессмысленной?"
Name all the alternatives to university that you know about...?,"Назовите все альтернативы университету, о которых вы знаете...?"
How many members make up the ELECTORAL COLLEGE?,Сколько членов входит в КОЛЛЕГИЮ ВЫБОРЩИКОВ?
CAN'T FIND KNACK ON THE PLAYSTATION STORE!!!?,НЕ МОЖЕТЕ НАЙТИ KNACK В PLAYSTATION STORE!!!?
Why did my penis swell when I was circumcised?,"Почему мой пенис набух, когда мне делали обрезание?"
Asked my ex to get back together and he never responded?,"Попросила моего бывшего снова быть вместе, а он так и не ответил?"
can you take Alex Jones channel serious?,можете ли вы серьезно отнестись к каналу Алекса Джонса?
I'm mixed and I only really like white guys is that ok?,"Я смешанная, и мне по-настоящему нравятся только белые парни, это нормально?"
Isn't it hard to say goodbye to friends who you will never see again?,"Разве не трудно попрощаться с друзьями, которых ты больше никогда не увидишь?"
Are Labour court effective in India especially in Mumbai?,"Эффективен ли суд по трудовым спорам в Индии, особенно в Мумбаи?"
How expensive are theme parks like Disneyland these days?,"Насколько дороги в наши дни тематические парки, такие как Диснейленд?"
Tell me everything about careers in finance.?,Расскажи мне все о карьере в сфере финансов.?
When will my Refund show up on my Capital One Credit Card?,Когда мой возврат будет зачислен на мою кредитную карту Capital One?
Could I be pregnant? Are these symptoms?,Могу ли я быть беременна? Являются ли эти симптомы?
Youtube Weird Boxes and noises?,Странные коробки и шумы Youtube?
"Is there public transport from Montreal to Rockland, Maine?","Есть ли общественный транспорт из Монреаля в Рокленд, штат Мэн?"
My computer said I had a virus and my account sent out a bunch of e-mails that I didn t send. How do I fix it?,"Мой компьютер сказал, что у меня вирус, и моя учетная запись разослала кучу электронных писем, которые я не отправлял. Как мне это исправить?"
Why do atheists deny that Jesus existed?,"Почему атеисты отрицают, что Иисус существовал?"
Swollen thumb?,Распухший большой палец?
Will building a wall on the border between the United States and Mexico stop illegal immigration?,Остановит ли строительство стены на границе между Соединенными Штатами и Мексикой нелегальную иммиграцию?
Is it illegal for teacher to go through your snapchat if you are in trouble for possible chances?,"Является ли незаконным для учителя просматривать ваш snapchat, если у вас проблемы с возможными шансами?"
Help with taking notes?,Помочь с заметками?
Should we ever sometimes revel in worldly excess in order to make a statement for grace?,"Должны ли мы когда-нибудь иногда упиваться мирскими излишествами, чтобы заявить о благодати?"
middle finger sore after smoking?,средний палец болит после курения?
Is she not interested?,Неужели ей это не интересно?
Can the tools we use to enhance our perception of reality improve indefinitely?,"Могут ли инструменты, которые мы используем для улучшения нашего восприятия реальности, совершенствоваться бесконечно?"
"For some reason I can't have an orgasm anymore. I have experienced one several times before. But now no matter how hard I try, I just can't?","По какой-то причине я больше не могу испытывать оргазм. Я уже несколько раз испытывал подобное раньше. Но теперь, как бы я ни старался, я просто не могу?"
"What do YOU call the penis, a dick"" or a ""cock""?""","Как ВЫ называете пенис, ""членом"" или ""петухом""?"""
Im 15 now but when I become 16 I'm deciding on becoming emancipated and moving. So my ? is will the emancipation carry over to another state?,"Сейчас мне 15, но когда мне станет 16, я решу стать эмансипированной и переехать. Итак, мой? будет ли эмансипация перенесена в другое государство?"
What's the absolutely funniest cat video ever?! Post a link :)?,Какое самое смешное видео с кошками когда-либо было?! Разместите ссылку :)?
